track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	0	2894.2700	0.0000	5462.0000	1592.1225	0.0003	-11.4995	6.0000e-02	9.0000e-02	46	8344198	3.0917e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFinvs	Hotspot_0.99	1606	24157.1600	13954.0000	34606.0000	6042.9309	0.0665	-3.9101	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	8.6957	0.0192	0.0385	0.0288
HFinvs	Coldspot_0.1	887940	739353.9200	514776.0000	1028802.0000	142401.7828	1.2010	0.2642	1.5000e-01	1.5000e-01	46	8344198	3.0917e-01	103905	558914693	2.0709e+01	406	887940	3.2900e-02	882.6087	10.6414	0.3907	0.1589
HFinvs	Hotspot_0.9	547069	435522.6900	330700.0000	569913.0000	72711.6104	1.2561	0.3290	9.0000e-02	1.0800e-01	46	8344198	3.0917e-01	103892	80956273	2.9996e+00	304	547069	2.0270e-02	660.8696	6.5563	0.2926	0.6758
HFinvs	Coldspot_0.01	258597	93983.3900	27476.0000	203724.0000	59650.8602	2.7515	1.4602	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	10391	71299683	2.6418e+00	105	258597	9.5816e-03	228.2609	3.0991	1.0105	0.3627
HFinvs	Coldspot_0.001	160983	18571.8200	0.0000	82224.0000	25353.7791	8.6677	3.1157	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	1038	12194602	4.5184e-01	53	160983	5.9648e-03	115.2174	1.9293	5.1060	1.3201
HFNAHRinvs	Hotspot_0.999	0	2629.3600	0.0000	5022.0000	1456.2690	0.0004	-11.3610	7.0000e-02	8.4000e-02	19	8162649	3.0245e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRinvs	Hotspot_0.99	1606	23658.2100	14816.0000	33013.0000	5628.6283	0.0679	-3.8800	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	21.0526	0.0197	0.0385	0.0288
HFNAHRinvs	Coldspot_0.1	795340	675076.3400	480996.0000	964366.0000	136772.1989	1.1781	0.2365	1.9000e-01	1.9000e-01	19	8162649	3.0245e-01	103905	558914693	2.0709e+01	268	795340	2.9469e-02	1410.5263	9.7437	0.2579	0.1423
HFNAHRinvs	Hotspot_0.9	543616	420434.7200	315764.0000	542882.0000	66932.9808	1.2930	0.3707	3.0000e-02	4.5000e-02	19	8162649	3.0245e-01	103892	80956273	2.9996e+00	295	543616	2.0142e-02	1552.6316	6.6598	0.2839	0.6715
HFNAHRinvs	Coldspot_0.01	257553	87270.2700	17823.0000	190678.0000	53465.4316	2.9512	1.5613	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	10391	71299683	2.6418e+00	104	257553	9.5429e-03	547.3684	3.1553	1.0009	0.3612
HFNAHRinvs	Coldspot_0.001	159939	16570.0000	0.0000	65873.0000	23801.3334	9.6518	3.2708	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	1038	12194602	4.5184e-01	52	159939	5.9261e-03	273.6842	1.9594	5.0096	1.3116
HFNAHRno501invs	Hotspot_0.99	0	4606.8700	0.0000	9832.0000	3120.5191	0.0002	-12.1699	7.0000e-02	1.2000e-01	18	2511540	9.3058e-02	10390	5567094	2.0627e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.999	0	495.3600	0.0000	2400.0000	837.7620	0.0020	-8.9552	6.6000e-01	6.6000e-01	18	2511540	9.3058e-02	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.9	49879	72758.4300	40998.0000	123193.0000	24243.0380	0.6855	-0.5447	1.6000e-01	1.9200e-01	18	2511540	9.3058e-02	103892	80956273	2.9996e+00	55	49879	1.8481e-03	305.5556	1.9860	0.0529	0.0616
HFNAHRno501invs	Coldspot_0.1	748564	570394.6600	395527.0000	908260.0000	138199.5360	1.3124	0.3922	8.0000e-02	1.2000e-01	18	2511540	9.3058e-02	103905	558914693	2.0709e+01	256	748564	2.7736e-02	1422.2222	29.8050	0.2464	0.1339
HFNAHRno501invs	Coldspot_0.01	257553	65547.0600	14006.0000	140053.0000	43201.2684	3.9292	1.9742	1.0000e-02	3.0000e-02	18	2511540	9.3058e-02	10391	71299683	2.6418e+00	104	257553	9.5429e-03	577.7778	10.2548	1.0009	0.3612
HFNAHRno501invs	Coldspot_0.001	159939	13429.8200	0.0000	31880.0000	28034.9219	11.9084	3.5739	1.0000e-02	3.0000e-02	18	2511540	9.3058e-02	1038	12194602	4.5184e-01	52	159939	5.9261e-03	288.8889	6.3682	5.0096	1.3116
HFNHinvs	Hotspot_0.99	0	319.6200	0.0000	1835.0000	699.2076	0.0031	-8.3247	7.2000e-01	8.6400e-01	27	181549	6.7268e-03	10390	5567094	2.0627e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	13.2000	0.0000	0.0000	118.1996	0.0704	-3.8278	9.7000e-01	9.7000e-01	27	181549	6.7268e-03	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.01	1044	7681.3600	0.0000	24828.0000	9069.8478	0.1360	-2.8780	4.1000e-01	8.2000e-01	27	181549	6.7268e-03	10391	71299683	2.6418e+00	1	1044	3.8683e-05	3.7037	0.5751	0.0096	0.0015
HFNHinvs	Hotspot_0.9	3453	4092.5100	45.0000	11314.0000	3394.8712	0.8438	-0.2451	5.5000e-01	8.2500e-01	27	181549	6.7268e-03	103892	80956273	2.9996e+00	9	3453	1.2794e-04	33.3333	1.9020	0.0087	0.0043
HFNHinvs	Coldspot_0.001	1044	978.2500	0.0000	10777.0000	2778.8932	1.0671	0.0938	1.4000e-01	4.2000e-01	27	181549	6.7268e-03	1038	12194602	4.5184e-01	1	1044	3.8683e-05	3.7037	0.5751	0.0963	0.0086
HFNHinvs	Coldspot_0.1	92600	46986.1800	18851.0000	76383.0000	17478.6039	1.9708	0.9788	1.0000e-02	6.0000e-02	27	181549	6.7268e-03	103905	558914693	2.0709e+01	138	92600	3.4310e-03	511.1111	51.0055	0.1328	0.0166
