track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1799.0600	548.0000	3284.0000	796.0389	0.0161	-5.9558	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.1739	0.0003	0.1199	0.0060
HFinvs	Hotspot_0.99	9261	33590.2200	22434.0000	46224.0000	7311.9561	0.2757	-1.8587	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	32.6087	0.1110	0.1799	0.1211
HFinvs	Hotspot_0.9	349366	580134.3200	490949.0000	680539.0000	60436.0797	0.6022	-0.7316	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	83379	135028905	5.0418e+00	193	349366	1.3045e-02	419.5652	4.1869	0.2315	0.2587
HFinvs	Coldspot_0.1	2451925	1800053.4300	1464185.0000	2283595.0000	223729.5371	1.3621	0.4459	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	83373	770018278	2.8751e+01	140	2451925	9.1551e-02	304.3478	29.3848	0.1679	0.3184
HFinvs	Coldspot_0.001	447609	191133.7600	14176.0000	504556.0000	149731.1815	2.3419	1.2277	6.0000e-02	6.0000e-02	46	8344198	3.1156e-01	818	55726189	2.0807e+00	1	447609	1.6713e-02	2.1739	5.3643	0.1222	0.8032
HFinvs	Coldspot_0.01	1275540	538442.9000	232356.0000	903408.0000	201681.8891	2.3689	1.2442	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	8326	204658289	7.6416e+00	8	1275540	4.7627e-02	17.3913	15.2866	0.0961	0.6233
HFNAHRinvs	Hotspot_0.999	28	1803.4600	109.0000	3389.0000	948.5915	0.0161	-5.9594	3.0000e-02	3.6000e-02	19	8162649	3.0478e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.2632	0.0003	0.1199	0.0060
HFNAHRinvs	Hotspot_0.99	9261	31386.4100	19065.0000	42966.0000	7305.6720	0.2951	-1.7608	1.0000e-02	2.0000e-02	19	8162649	3.0478e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	78.9474	0.1135	0.1799	0.1211
HFNAHRinvs	Hotspot_0.9	349366	550152.4700	455801.0000	643272.0000	60592.2406	0.6350	-0.6551	1.0000e-02	2.0000e-02	19	8162649	3.0478e-01	83379	135028905	5.0418e+00	193	349366	1.3045e-02	1015.7895	4.2801	0.2315	0.2587
HFNAHRinvs	Coldspot_0.1	2321862	1775694.0300	1389021.0000	2305380.0000	263256.8474	1.3076	0.3869	2.0000e-02	3.0000e-02	19	8162649	3.0478e-01	83373	770018278	2.8751e+01	129	2321862	8.6695e-02	678.9474	28.4450	0.1547	0.3015
