track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1340.0400	28.0000	3198.0000	894.6273	0.0216	-5.5312	6.0000e-02	6.0000e-02	57	9036046	3.1970e-01	852	441389	1.5617e-02	1	28	9.9066e-07	1.7544	0.0003	0.1174	0.0063
HFinvs	Hotspot_0.99	10169	26956.5600	15181.0000	41035.0000	7456.3280	0.3773	-1.4064	1.0000e-02	1.2000e-02	57	9036046	3.1970e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	26.3158	0.1125	0.1761	0.1262
HFinvs	Hotspot_0.9	388873	562064.0800	470805.0000	678466.0000	63339.5059	0.6919	-0.5314	1.0000e-02	1.2000e-02	57	9036046	3.1970e-01	85185	147208246	5.2083e+00	199	388873	1.3759e-02	349.1228	4.3036	0.2336	0.2642
HFinvs	Coldspot_0.1	2741673	2078858.5600	1724864.0000	2471405.0000	230575.5216	1.3188	0.3993	1.0000e-02	1.2000e-02	57	9036046	3.1970e-01	85177	855303584	3.0261e+01	139	2741673	9.7002e-02	243.8596	30.3415	0.1632	0.3205
HFinvs	Coldspot_0.01	1211309	629556.2900	283516.0000	985430.0000	218148.0195	1.9241	0.9442	1.0000e-02	1.2000e-02	57	9036046	3.1970e-01	8505	231711737	8.1981e+00	10	1211309	4.2857e-02	17.5439	13.4053	0.1176	0.5228
HFinvs	Coldspot_0.001	930807	328059.1900	67905.0000	661953.0000	194460.3667	2.8373	1.5045	1.0000e-02	1.2000e-02	57	9036046	3.1970e-01	836	61111167	2.1621e+00	5	930807	3.2932e-02	8.7719	10.3010	0.5981	1.5231
HFNAHRinvs	Hotspot_0.999	28	1307.5500	0.0000	3220.0000	1002.4574	0.0222	-5.4958	9.0000e-02	9.0000e-02	28	8848961	3.1308e-01	852	441389	1.5617e-02	1	28	9.9066e-07	3.5714	0.0003	0.1174	0.0063
HFNAHRinvs	Hotspot_0.99	10169	26453.4500	15745.0000	39365.0000	7111.6258	0.3844	-1.3792	1.0000e-02	1.2000e-02	28	8848961	3.1308e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	53.5714	0.1149	0.1761	0.1262
HFNAHRinvs	Hotspot_0.9	387528	548381.2900	452090.0000	661137.0000	60969.8352	0.7067	-0.5009	1.0000e-02	1.2000e-02	28	8848961	3.1308e-01	85185	147208246	5.2083e+00	198	387528	1.3711e-02	707.1429	4.3794	0.2324	0.2633
HFNAHRinvs	Coldspot_0.1	2622995	2011506.0700	1603621.0000	2512769.0000	262518.7427	1.3040	0.3829	1.0000e-02	1.2000e-02	28	8848961	3.1308e-01	85177	855303584	3.0261e+01	129	2622995	9.2803e-02	460.7143	29.6418	0.1514	0.3067
HFNAHRinvs	Coldspot_0.01	1211309	646411.9200	321782.0000	1064033.0000	241648.0124	1.8739	0.9060	1.0000e-02	1.2000e-02	28	8848961	3.1308e-01	8505	231711737	8.1981e+00	10	1211309	4.2857e-02	35.7143	13.6887	0.1176	0.5228
HFNAHRinvs	Coldspot_0.001	930807	351631.3800	66257.0000	752861.0000	203434.9956	2.6471	1.4044	1.0000e-02	1.2000e-02	28	8848961	3.1308e-01	836	61111167	2.1621e+00	5	930807	3.2932e-02	17.8571	10.5188	0.5981	1.5231
HFNAHRno501invs	Hotspot_0.99	0	9232.1500	1766.0000	19069.0000	5266.2450	0.0001	-13.1726	1.0000e-02	3.0000e-02	27	3197852	1.1314e-01	8518	8057649	2.8508e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
