track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	0	2685.3600	1129.0000	4722.0000	1114.1620	0.0004	-11.3914	1.0000e-02	1.5000e-02	46	8344198	3.0917e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFinvs	Hotspot_0.99	1606	23926.2600	16519.0000	33165.0000	5552.0878	0.0672	-3.8962	1.0000e-02	1.5000e-02	46	8344198	3.0917e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	8.6957	0.0192	0.0385	0.0288
HFinvs	Coldspot_0.1	887940	727890.3400	521941.0000	1044621.0000	159866.8854	1.2199	0.2867	1.6000e-01	1.6000e-01	46	8344198	3.0917e-01	103905	558914693	2.0709e+01	406	887940	3.2900e-02	882.6087	10.6414	0.3907	0.1589
HFinvs	Hotspot_0.9	547069	439954.7300	312364.0000	590117.0000	84173.1826	1.2435	0.3144	1.0000e-01	1.2000e-01	46	8344198	3.0917e-01	103892	80956273	2.9996e+00	304	547069	2.0270e-02	660.8696	6.5563	0.2926	0.6758
HFinvs	Coldspot_0.01	258597	92792.8600	28987.0000	209431.0000	56445.7817	2.7868	1.4786	1.0000e-02	1.5000e-02	46	8344198	3.0917e-01	10391	71299683	2.6418e+00	105	258597	9.5816e-03	228.2609	3.0991	1.0105	0.3627
HFinvs	Coldspot_0.001	160983	19287.7100	0.0000	72381.0000	24937.7501	8.3460	3.0611	1.0000e-02	1.5000e-02	46	8344198	3.0917e-01	1038	12194602	4.5184e-01	53	160983	5.9648e-03	115.2174	1.9293	5.1060	1.3201
HFNAHRinvs	Hotspot_0.999	0	2721.6500	0.0000	5858.0000	1610.3032	0.0004	-11.4108	7.0000e-02	8.4000e-02	19	8162649	3.0245e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRinvs	Hotspot_0.99	1606	24535.3800	15186.0000	34572.0000	6138.3863	0.0655	-3.9325	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	21.0526	0.0197	0.0385	0.0288
HFNAHRinvs	Coldspot_0.1	795340	674207.1600	451037.0000	950112.0000	143676.0907	1.1797	0.2384	1.6000e-01	1.6000e-01	19	8162649	3.0245e-01	103905	558914693	2.0709e+01	268	795340	2.9469e-02	1410.5263	9.7437	0.2579	0.1423
HFNAHRinvs	Hotspot_0.9	543616	419750.7400	335250.0000	540886.0000	68220.7935	1.2951	0.3731	3.0000e-02	4.5000e-02	19	8162649	3.0245e-01	103892	80956273	2.9996e+00	295	543616	2.0142e-02	1552.6316	6.6598	0.2839	0.6715
