track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1715.1800	309.0000	3375.0000	923.7344	0.0169	-5.8870	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.1739	0.0003	0.1199	0.0060
HFinvs	Hotspot_0.99	9261	31978.6000	22063.0000	44967.0000	7133.1877	0.2896	-1.7878	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	32.6087	0.1110	0.1799	0.1211
HFinvs	Hotspot_0.9	349366	570638.2500	455305.0000	679318.0000	63353.8698	0.6122	-0.7078	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	83379	135028905	5.0418e+00	193	349366	1.3045e-02	419.5652	4.1869	0.2315	0.2587
HFinvs	Coldspot_0.1	2451925	1780234.6200	1392298.0000	2131014.0000	236304.1842	1.3773	0.4618	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	83373	770018278	2.8751e+01	140	2451925	9.1551e-02	304.3478	29.3848	0.1679	0.3184
HFinvs	Coldspot_0.01	1275540	519716.3500	206534.0000	891048.0000	228152.4729	2.4543	1.2953	1.0000e-02	1.2000e-02	46	8344198	3.1156e-01	8326	204658289	7.6416e+00	8	1275540	4.7627e-02	17.3913	15.2866	0.0961	0.6233
HFinvs	Coldspot_0.001	447609	178542.5600	9584.0000	461480.0000	149524.8794	2.5070	1.3260	6.0000e-02	6.0000e-02	46	8344198	3.1156e-01	818	55726189	2.0807e+00	1	447609	1.6713e-02	2.1739	5.3643	0.1222	0.8032
HFNAHRinvs	Hotspot_0.999	28	1734.8100	490.0000	3699.0000	935.0300	0.0167	-5.9034	1.0000e-02	1.2000e-02	19	8162649	3.0478e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.2632	0.0003	0.1199	0.0060
HFNAHRinvs	Hotspot_0.99	9261	33091.6800	20015.0000	46844.0000	7568.1550	0.2799	-1.8371	1.0000e-02	1.2000e-02	19	8162649	3.0478e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	78.9474	0.1135	0.1799	0.1211
HFNAHRinvs	Hotspot_0.9	349366	555514.4900	466726.0000	645605.0000	62003.2065	0.6289	-0.6691	1.0000e-02	1.2000e-02	19	8162649	3.0478e-01	83379	135028905	5.0418e+00	193	349366	1.3045e-02	1015.7895	4.2801	0.2315	0.2587
HFNAHRinvs	Coldspot_0.1	2321862	1753503.0400	1338497.0000	2211580.0000	259534.7171	1.3241	0.4050	1.0000e-02	1.2000e-02	19	8162649	3.0478e-01	83373	770018278	2.8751e+01	129	2321862	8.6695e-02	678.9474	28.4450	0.1547	0.3015
HFNAHRinvs	Coldspot_0.01	1182308	527812.5400	171128.0000	965955.0000	221106.2773	2.2400	1.1635	1.0000e-02	1.2000e-02	19	8162649	3.0478e-01	8326	204658289	7.6416e+00	7	1182308	4.4146e-02	36.8421	14.4844	0.0841	0.5777
HFNAHRinvs	Coldspot_0.001	447609	176078.6600	14001.0000	514646.0000	153455.0845	2.5421	1.3460	6.0000e-02	6.0000e-02	19	8162649	3.0478e-01	818	55726189	2.0807e+00	1	447609	1.6713e-02	5.2632	5.4836	0.1222	0.8032
HFNAHRno501invs	Coldspot_0.001	0	80707.6800	0.0000	451248.0000	131306.1700	0.0000	-16.3004	9.0000e-02	1.8000e-01	18	2511540	9.3777e-02	818	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.99	0	6066.6500	699.0000	13706.0000	3920.5527	0.0002	-12.5669	1.0000e-02	3.0000e-02	18	2511540	9.3777e-02	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.999	0	273.9600	0.0000	1247.0000	496.6939	0.0036	-8.1031	6.1000e-01	6.1000e-01	18	2511540	9.3777e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.9	18469	122851.1400	71171.0000	175889.0000	32625.3135	0.1503	-2.7337	1.0000e-02	3.0000e-02	18	2511540	9.3777e-02	83379	135028905	5.0418e+00	6	18469	6.8961e-04	33.3333	0.7354	0.0072	0.0137
HFNAHRno501invs	Coldspot_0.01	95185	197105.8700	44652.0000	563028.0000	171882.6272	0.4829	-1.0502	2.5000e-01	3.0000e-01	18	2511540	9.3777e-02	8326	204658289	7.6416e+00	2	95185	3.5541e-03	11.1111	3.7899	0.0240	0.0465
HFNAHRno501invs	Coldspot_0.1	462521	618275.0800	402747.0000	1015431.0000	186877.9158	0.7481	-0.4187	2.1000e-01	3.0000e-01	18	2511540	9.3777e-02	83373	770018278	2.8751e+01	17	462521	1.7270e-02	94.4444	18.4158	0.0204	0.0601
HFNHinvs	Hotspot_0.9	0	8871.1800	1092.0000	22180.0000	6710.0090	0.0001	-13.1151	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	83379	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.001	0	8249.7700	0.0000	28266.0000	9778.3439	0.0001	-13.0103	2.8000e-01	4.2000e-01	27	181549	6.7788e-03	818	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	328.7900	0.0000	1768.0000	667.5630	0.0030	-8.3654	6.6000e-01	7.9200e-01	27	181549	6.7788e-03	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	40.0500	0.0000	152.0000	221.1991	0.0244	-5.3593	9.5000e-01	9.5000e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	63844.3600	34319.0000	96888.0000	19550.9026	2.0372	1.0266	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	83373	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0132	0.0169
HFNHinvs	Coldspot_0.01	93232	20889.0900	577.0000	49085.0000	14276.5255	4.4630	2.1580	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	8326	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0120	0.0456
HFno501invs	Coldspot_0.001	0	87756.7800	10601.0000	389732.0000	113413.0208	0.0000	-16.4212	2.0000e-02	4.0000e-02	45	2693089	1.0056e-01	818	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.99	0	7021.4600	1663.0000	15886.0000	4147.5815	0.0001	-12.7778	1.0000e-02	3.0000e-02	45	2693089	1.0056e-01	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.999	0	326.0900	0.0000	1332.0000	533.7094	0.0031	-8.3535	4.9000e-01	5.8800e-01	45	2693089	1.0056e-01	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.9	18469	120675.2700	60194.0000	187081.0000	35321.6339	0.1531	-2.7079	1.0000e-02	3.0000e-02	45	2693089	1.0056e-01	83379	135028905	5.0418e+00	6	18469	6.8961e-04	13.3333	0.6858	0.0072	0.0137
HFno501invs	Coldspot_0.1	592584	681248.0700	486118.0000	1040573.0000	177319.2093	0.8699	-0.2012	3.8000e-01	5.7000e-01	45	2693089	1.0056e-01	83373	770018278	2.8751e+01	28	592584	2.2126e-02	62.2222	22.0039	0.0336	0.0770
HFno501invs	Coldspot_0.01	188417	199887.5900	81102.0000	557076.0000	130294.5868	0.9426	-0.0853	6.4000e-01	6.4000e-01	45	2693089	1.0056e-01	8326	204658289	7.6416e+00	3	188417	7.0352e-03	6.6667	6.9963	0.0360	0.0921
invs	Hotspot_0.999	266	2410.7200	639.0000	4830.0000	1289.2441	0.1107	-3.1752	1.0000e-02	1.0000e-02	114	11812711	4.4107e-01	834	469549	1.7532e-02	2	266	9.9321e-06	1.7544	0.0023	0.2398	0.0567
invs	Hotspot_0.99	11915	43449.2300	30428.0000	58250.0000	8338.4129	0.2742	-1.8665	1.0000e-02	1.0000e-02	114	11812711	4.4107e-01	8338	7648169	2.8557e-01	20	11915	4.4489e-04	17.5439	0.1009	0.2399	0.1558
invs	Hotspot_0.9	435546	775788.6200	628675.0000	902155.0000	84137.3799	0.5614	-0.8328	1.0000e-02	1.0000e-02	114	11812711	4.4107e-01	83379	135028905	5.0418e+00	245	435546	1.6263e-02	214.9123	3.6871	0.2938	0.3226
