track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1384.7600	0.0000	3183.0000	1014.9409	0.0209	-5.5785	8.0000e-02	8.0000e-02	57	9036046	3.1970e-01	852	441389	1.5617e-02	1	28	9.9066e-07	1.7544	0.0003	0.1174	0.0063
HFinvs	Hotspot_0.99	10169	26827.6500	16702.0000	38038.0000	7054.7423	0.3791	-1.3995	1.0000e-02	1.5000e-02	57	9036046	3.1970e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	26.3158	0.1125	0.1761	0.1262
HFinvs	Hotspot_0.9	388873	551339.9000	447133.0000	677972.0000	67966.0348	0.7053	-0.5036	1.0000e-02	1.5000e-02	57	9036046	3.1970e-01	85185	147208246	5.2083e+00	199	388873	1.3759e-02	349.1228	4.3036	0.2336	0.2642
HFinvs	Coldspot_0.1	2741673	2060439.8200	1592697.0000	2671775.0000	285542.3064	1.3306	0.4121	2.0000e-02	2.4000e-02	57	9036046	3.1970e-01	85177	855303584	3.0261e+01	139	2741673	9.7002e-02	243.8596	30.3415	0.1632	0.3205
HFinvs	Coldspot_0.01	1211309	657073.1300	293904.0000	1026182.0000	221669.5948	1.8435	0.8824	1.0000e-02	1.5000e-02	57	9036046	3.1970e-01	8505	231711737	8.1981e+00	10	1211309	4.2857e-02	17.5439	13.4053	0.1176	0.5228
HFinvs	Coldspot_0.001	930807	343300.5600	64836.0000	654150.0000	193635.2972	2.7113	1.4390	1.0000e-02	1.5000e-02	57	9036046	3.1970e-01	836	61111167	2.1621e+00	5	930807	3.2932e-02	8.7719	10.3010	0.5981	1.5231
HFNAHRinvs	Hotspot_0.999	28	1396.2200	28.0000	3018.0000	915.8045	0.0208	-5.5904	8.0000e-02	8.0000e-02	28	8848961	3.1308e-01	852	441389	1.5617e-02	1	28	9.9066e-07	3.5714	0.0003	0.1174	0.0063
HFNAHRinvs	Hotspot_0.99	10169	25685.7900	16597.0000	37986.0000	6891.6431	0.3959	-1.3367	2.0000e-02	3.0000e-02	28	8848961	3.1308e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	53.5714	0.1149	0.1761	0.1262
HFNAHRinvs	Hotspot_0.9	387528	551612.5700	446046.0000	675463.0000	70178.3510	0.7025	-0.5094	1.0000e-02	3.0000e-02	28	8848961	3.1308e-01	85185	147208246	5.2083e+00	198	387528	1.3711e-02	707.1429	4.3794	0.2324	0.2633
HFNAHRinvs	Coldspot_0.1	2622995	2043363.7400	1548019.0000	2583850.0000	319018.0784	1.2837	0.3603	3.0000e-02	3.6000e-02	28	8848961	3.1308e-01	85177	855303584	3.0261e+01	129	2622995	9.2803e-02	460.7143	29.6418	0.1514	0.3067
