track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHRnoOutinvs	Hotspot_0.999	28	2623.2238	28.0000	4821.0000	1608.1176	0.0111	-6.4997	7.2400e-02	1.0860e-01	17	13574498	5.0685e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.8824	0.0002	0.1199	0.0060
HFNAHRnoOutinvs	Hotspot_0.99	9261	38084.5156	11190.0000	69032.0000	18422.6881	0.2432	-2.0398	1.1800e-02	3.5400e-02	17	13574498	5.0685e-01	8344	7648169	2.8557e-01	15	9261	3.4579e-04	88.2353	0.0682	0.1798	0.1211
HFNAHRnoOutinvs	Hotspot_0.9	349153	698353.7644	392352.0000	1152074.0000	257502.5240	0.5000	-1.0001	1.8000e-03	1.0800e-02	17	13574498	5.0685e-01	83434	135028905	5.0418e+00	192	349153	1.3037e-02	1129.4118	2.5721	0.2301	0.2586
HFNAHRnoOutinvs	Coldspot_0.1	2308343	2934837.4218	2289556.0000	3715367.0000	437431.0254	0.7865	-0.3464	5.7400e-02	1.0860e-01	17	13574498	5.0685e-01	83658	770018278	2.8751e+01	128	2308343	8.6190e-02	752.9412	17.0050	0.1530	0.2998
HFNAHRnoOutinvs	Coldspot_0.01	1182308	1227894.9118	521566.0000	1612430.0000	294065.9844	0.9629	-0.0546	2.8560e-01	3.4272e-01	17	13574498	5.0685e-01	8406	204658289	7.6416e+00	8	1182308	4.4146e-02	47.0588	8.7098	0.0952	0.5777
HFNAHRnoOutinvs	Coldspot_0.001	447609	407875.6462	0.0000	521230.0000	155708.0530	1.0974	0.1341	8.3060e-01	8.3060e-01	17	13574498	5.0685e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	11.7647	3.2974	0.2387	0.8032
HFNHinvs	Coldspot_0.001	0	11479.8290	0.0000	93232.0000	26130.8276	0.0001	-13.4869	4.2420e-01	6.3630e-01	27	181549	6.7788e-03	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.9	0	6509.1210	792.0000	16298.0000	5024.4492	0.0002	-12.6685	7.2000e-03	4.3200e-02	27	181549	6.7788e-03	83434	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	371.2160	0.0000	1775.0000	805.3143	0.0027	-8.5400	6.1800e-01	7.4160e-01	27	181549	6.7788e-03	8344	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	14.7870	0.0000	0.0000	101.9546	0.0633	-3.9807	9.6540e-01	9.6540e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	70932.0394	25053.0000	123407.0000	31153.5790	1.8336	0.8747	2.1000e-02	6.3000e-02	27	181549	6.7788e-03	83658	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0131	0.0169
