track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Coldspot_0.01	0	29175.6630	0.0000	99083.0000	34547.7151	0.0000	-14.8325	1.6600e-01	6.8250e-01	10	354019	1.3219e-02	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Coldspot_0.001	0	7642.7530	0.0000	47787.0000	21658.8063	0.0001	-12.9001	7.2100e-01	8.6520e-01	10	354019	1.3219e-02	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.99	0	954.1690	0.0000	3816.0000	1400.6150	0.0010	-9.8996	4.5500e-01	6.8250e-01	10	354019	1.3219e-02	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.999	0	58.2770	0.0000	458.0000	235.8144	0.0169	-5.8894	9.0200e-01	9.0200e-01	10	354019	1.3219e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.9	9330	16450.6660	1787.0000	36943.0000	11218.4726	0.5672	-0.8181	2.9000e-01	6.8250e-01	10	354019	1.3219e-02	83376	135028905	5.0418e+00	1	9330	3.4837e-04	10.0000	2.6355	0.0012	0.0069
HFNAHR	Coldspot_0.1	93358	105652.0540	37715.0000	198354.0000	47245.7055	0.8836	-0.1785	4.2900e-01	6.8250e-01	10	354019	1.3219e-02	83358	770018278	2.8751e+01	6	93358	3.4859e-03	60.0000	26.3709	0.0072	0.0121
LFNAHR	Coldspot_0.01	0	23423.9900	0.0000	85293.0000	29878.9772	0.0000	-14.5158	2.8500e-01	4.3950e-01	8	267313	9.9811e-03	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.001	0	6168.9670	0.0000	40431.0000	17264.6829	0.0002	-12.5910	7.7900e-01	9.3100e-01	8	267313	9.9811e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	43.9800	0.0000	216.0000	225.2422	0.0222	-5.4912	9.3100e-01	9.3100e-01	8	267313	9.9811e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.1	36134	84725.7650	22284.0000	168976.0000	43980.5889	0.4265	-1.2294	1.2700e-01	3.8100e-01	8	267313	9.9811e-03	83358	770018278	2.8751e+01	6	36134	1.3492e-03	75.0000	13.5175	0.0072	0.0047
LFNAHR	Hotspot_0.9	15374	11901.8310	302.0000	32227.0000	10243.4430	1.2917	0.3693	2.9300e-01	4.3950e-01	8	267313	9.9811e-03	83376	135028905	5.0418e+00	15	15374	5.7404e-04	187.5000	5.7513	0.0180	0.0114
LFNAHR	Hotspot_0.99	2304	673.8530	0.0000	3478.0000	1256.9921	3.4156	1.7721	1.0700e-01	3.8100e-01	8	267313	9.9811e-03	8338	7648169	2.8557e-01	3	2304	8.6028e-05	37.5000	0.8619	0.0360	0.0301
NAHR	Coldspot_0.01	0	52837.5280	15812.0000	126121.0000	35994.2179	0.0000	-15.6893	1.0000e-03	6.0000e-03	17	603655	2.2540e-02	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Coldspot_0.001	0	12549.5940	0.0000	40668.0000	22202.3038	0.0001	-13.6155	1.1700e-01	2.3400e-01	17	603655	2.2540e-02	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.999	0	106.5760	0.0000	859.0000	323.0201	0.0093	-6.7492	8.3900e-01	8.3900e-01	17	603655	2.2540e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Coldspot_0.1	129492	186648.2570	116940.0000	280771.0000	49104.1031	0.6938	-0.5275	1.1600e-01	2.3400e-01	17	603655	2.2540e-02	83358	770018278	2.8751e+01	12	129492	4.8350e-03	70.5882	21.4513	0.0144	0.0168
NAHR	Hotspot_0.9	24704	28285.4410	10879.0000	52017.0000	12667.4444	0.8734	-0.1953	4.4700e-01	5.3640e-01	17	603655	2.2540e-02	83376	135028905	5.0418e+00	16	24704	9.2241e-04	94.1176	4.0924	0.0192	0.0183
NAHR	Hotspot_0.99	2304	1591.0350	0.0000	4934.0000	1677.4094	1.4478	0.5339	2.7500e-01	4.1250e-01	17	603655	2.2540e-02	8338	7648169	2.8557e-01	3	2304	8.6028e-05	17.6471	0.3817	0.0360	0.0301
