track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Hotspot_0.999	28	3336.5430	1060.0000	4673.0000	1295.0152	0.0087	-6.8466	1.3000e-02	1.9500e-02	20	19403410	7.2450e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.0000	0.0001	0.1199	0.0060
HFNAHR	Hotspot_0.99	9261	49862.8040	22371.0000	72741.0000	15914.2053	0.1857	-2.4286	1.0000e-03	2.0000e-03	20	19403410	7.2450e-01	8344	7648169	2.8557e-01	15	9261	3.4579e-04	75.0000	0.0477	0.1798	0.1211
HFNAHR	Hotspot_0.9	349153	866719.8800	488216.0000	1248088.0000	246127.5206	0.4028	-1.3117	1.0000e-03	2.0000e-03	20	19403410	7.2450e-01	83434	135028905	5.0418e+00	192	349153	1.3037e-02	960.0000	1.7994	0.2301	0.2586
HFNAHR	Coldspot_0.1	2321862	3368658.7450	2696156.0000	4141805.0000	444155.1288	0.6893	-0.5369	1.0000e-03	2.0000e-03	20	19403410	7.2450e-01	83658	770018278	2.8751e+01	130	2321862	8.6695e-02	650.0000	11.9663	0.1554	0.3015
HFNAHR	Coldspot_0.01	1182308	1428198.8900	1180595.0000	1789393.0000	189329.6424	0.8278	-0.2726	5.5000e-02	6.6000e-02	20	19403410	7.2450e-01	8406	204658289	7.6416e+00	8	1182308	4.4146e-02	40.0000	6.0933	0.0952	0.5777
HFNAHR	Coldspot_0.001	447609	493066.4640	447609.0000	649035.0000	82730.7113	0.9078	-0.1395	4.6700e-01	4.6700e-01	20	19403410	7.2450e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	10.0000	2.3069	0.2387	0.8032
LFNAHR	Coldspot_0.001	0	70483.9450	0.0000	252386.0000	114801.0664	0.0000	-16.1050	1.4900e-01	2.8500e-01	20	2334528	8.7168e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	239.5940	0.0000	1390.0000	502.5470	0.0042	-7.9105	7.0900e-01	7.0900e-01	20	2334528	8.7168e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.01	85021	212251.3030	39213.0000	555790.0000	160383.5503	0.4006	-1.3199	1.9000e-01	2.8500e-01	20	2334528	8.7168e-02	8406	204658289	7.6416e+00	5	85021	3.1746e-03	25.0000	3.6419	0.0595	0.0415
LFNAHR	Coldspot_0.1	331795	713802.5860	327756.0000	1243607.0000	287325.6781	0.4648	-1.1052	5.6000e-02	2.8500e-01	20	2334528	8.7168e-02	83658	770018278	2.8751e+01	46	331795	1.2389e-02	230.0000	14.2125	0.0550	0.0431
LFNAHR	Hotspot_0.99	2304	4198.0150	0.0000	10479.0000	3292.6854	0.5489	-0.8653	3.4000e-01	4.0800e-01	20	2334528	8.7168e-02	8344	7648169	2.8557e-01	3	2304	8.6028e-05	15.0000	0.0987	0.0360	0.0301
LFNAHR	Hotspot_0.9	63261	110077.6390	42894.0000	187248.0000	44238.3434	0.5747	-0.7991	1.3700e-01	2.8500e-01	20	2334528	8.7168e-02	83434	135028905	5.0418e+00	36	63261	2.3621e-03	180.0000	2.7098	0.0431	0.0468
NAHR	Hotspot_0.999	28	3553.1350	1421.0000	5585.0000	1409.2958	0.0082	-6.9373	9.0000e-03	1.3500e-02	39	21720261	8.1100e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.5641	0.0001	0.1199	0.0060
NAHR	Hotspot_0.99	11565	52936.2860	24397.0000	75334.0000	16008.6500	0.2185	-2.1944	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	8344	7648169	2.8557e-01	18	11565	4.3182e-04	46.1538	0.0532	0.2157	0.1512
NAHR	Hotspot_0.9	412414	965525.4690	564344.0000	1338899.0000	245577.5429	0.4271	-1.2272	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83434	135028905	5.0418e+00	228	412414	1.5399e-02	584.6154	1.8988	0.2733	0.3054
NAHR	Coldspot_0.1	2653657	4064304.4850	3235796.0000	4972300.0000	526243.6253	0.6529	-0.6150	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83658	770018278	2.8751e+01	176	2653657	9.9084e-02	451.2821	12.2174	0.2104	0.3446
NAHR	Coldspot_0.01	1267329	1638936.3350	1307274.0000	2153733.0000	258924.2475	0.7733	-0.3710	2.3000e-02	2.7600e-02	39	21720261	8.1100e-01	8406	204658289	7.6416e+00	13	1267329	4.7320e-02	33.3333	5.8348	0.1547	0.6192
NAHR	Coldspot_0.001	447609	563451.9940	450021.0000	871302.0000	146803.8408	0.7944	-0.3321	4.7000e-02	4.7000e-02	39	21720261	8.1100e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	5.1282	2.0608	0.2387	0.8032
