track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Hotspot_0.999	28	3275.9960	1250.0000	4554.0000	1304.8890	0.0088	-6.8202	1.5000e-02	2.2500e-02	18	18170345	6.7845e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.5556	0.0002	0.1199	0.0060
HFNAHR	Hotspot_0.99	9261	49320.5480	21346.0000	71918.0000	16267.7789	0.1878	-2.4128	2.0000e-03	6.0000e-03	18	18170345	6.7845e-01	8344	7648169	2.8557e-01	15	9261	3.4579e-04	83.3333	0.0510	0.1798	0.1211
HFNAHR	Hotspot_0.9	340227	839146.6610	449708.0000	1208205.0000	248682.0400	0.4054	-1.3024	1.0000e-03	6.0000e-03	18	18170345	6.7845e-01	83434	135028905	5.0418e+00	188	340227	1.2704e-02	1044.4444	1.8724	0.2253	0.2520
HFNAHR	Coldspot_0.1	2191272	2863997.8510	2313759.0000	3453538.0000	360479.9090	0.7651	-0.3863	1.3000e-02	2.2500e-02	18	18170345	6.7845e-01	83658	770018278	2.8751e+01	125	2191272	8.1819e-02	694.4444	12.0596	0.1494	0.2846
HFNAHR	Coldspot_0.01	1182308	1254929.4780	1121546.0000	1416185.0000	93853.0570	0.9421	-0.0860	2.1600e-01	2.5920e-01	18	18170345	6.7845e-01	8406	204658289	7.6416e+00	8	1182308	4.4146e-02	44.4444	6.5068	0.0952	0.5777
HFNAHR	Coldspot_0.001	447609	464232.7190	447609.0000	592543.0000	57644.3745	0.9642	-0.0526	6.7100e-01	6.7100e-01	18	18170345	6.7845e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	11.1111	2.4634	0.2387	0.8032
LFNAHR	Coldspot_0.001	0	51336.9710	0.0000	185055.0000	102024.7697	0.0000	-15.6477	4.3700e-01	5.9160e-01	16	1989056	7.4269e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	152.9630	0.0000	1129.0000	365.4442	0.0065	-7.2664	7.7000e-01	7.7000e-01	16	1989056	7.4269e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.01	85021	232285.7550	24585.0000	630126.0000	189765.2648	0.3660	-1.4500	2.3800e-01	4.7600e-01	16	1989056	7.4269e-02	8406	204658289	7.6416e+00	5	85021	3.1746e-03	31.2500	4.2744	0.0595	0.0415
LFNAHR	Coldspot_0.1	312557	672137.6270	278006.0000	1155751.0000	282330.4628	0.4650	-1.1046	8.7000e-02	4.7600e-01	16	1989056	7.4269e-02	83658	770018278	2.8751e+01	45	312557	1.1670e-02	281.2500	15.7138	0.0538	0.0406
LFNAHR	Hotspot_0.9	47532	86130.0680	25624.0000	164373.0000	42371.7074	0.5519	-0.8576	1.7200e-01	4.7600e-01	16	1989056	7.4269e-02	83434	135028905	5.0418e+00	30	47532	1.7748e-03	187.5000	2.3897	0.0360	0.0352
LFNAHR	Hotspot_0.99	2304	3080.9340	0.0000	8681.0000	2819.8482	0.7479	-0.4191	4.9300e-01	5.9160e-01	16	1989056	7.4269e-02	8344	7648169	2.8557e-01	3	2304	8.6028e-05	18.7500	0.1158	0.0360	0.0301
NAHR	Hotspot_0.999	28	3408.0720	1421.0000	5116.0000	1363.1750	0.0085	-6.8772	1.4000e-02	2.1000e-02	33	20141724	7.5206e-01	834	469549	1.7532e-02	1	28	1.0455e-06	3.0303	0.0001	0.1199	0.0060
NAHR	Hotspot_0.99	11565	51854.8510	23840.0000	76080.0000	16317.3399	0.2230	-2.1646	3.0000e-03	6.0000e-03	33	20141724	7.5206e-01	8344	7648169	2.8557e-01	18	11565	4.3182e-04	54.5455	0.0574	0.2157	0.1512
NAHR	Hotspot_0.9	387759	918670.5940	524194.0000	1302547.0000	250396.6678	0.4221	-1.2444	1.0000e-03	3.0000e-03	33	20141724	7.5206e-01	83434	135028905	5.0418e+00	218	387759	1.4478e-02	660.6061	1.9252	0.2613	0.2872
NAHR	Coldspot_0.1	2503829	3528263.4260	2833234.0000	4294386.0000	453805.4923	0.7096	-0.4948	1.0000e-03	3.0000e-03	33	20141724	7.5206e-01	83658	770018278	2.8751e+01	170	2503829	9.3489e-02	515.1515	12.4311	0.2032	0.3252
NAHR	Coldspot_0.01	1267329	1487068.6230	1224677.0000	1884296.0000	205834.7652	0.8522	-0.2307	1.1000e-01	1.1000e-01	33	20141724	7.5206e-01	8406	204658289	7.6416e+00	13	1267329	4.7320e-02	39.3939	6.2921	0.1547	0.6192
NAHR	Coldspot_0.001	447609	518284.9790	447609.0000	688027.0000	113826.3149	0.8636	-0.2115	8.9000e-02	1.0680e-01	33	20141724	7.5206e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	6.0606	2.2223	0.2387	0.8032
