track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Coldspot_0.01	0	12642.8170	0.0000	48504.0000	17616.4676	0.0001	-13.6261	3.5300e-01	7.0600e-01	8	172817	6.4527e-03	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Coldspot_0.001	0	2737.6470	0.0000	17677.0000	8162.4173	0.0004	-11.4192	8.1500e-01	9.4300e-01	8	172817	6.4527e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.99	0	482.1180	0.0000	2718.0000	986.7362	0.0021	-8.9162	6.6300e-01	9.4300e-01	8	172817	6.4527e-03	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.999	0	37.7840	0.0000	161.0000	192.6760	0.0258	-5.2774	9.4300e-01	9.4300e-01	8	172817	6.4527e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.9	9330	8278.8840	0.0000	23365.0000	7599.4141	1.1269	0.1724	3.4800e-01	7.0600e-01	8	172817	6.4527e-03	83376	135028905	5.0418e+00	1	9330	3.4837e-04	12.5000	5.3988	0.0012	0.0069
HFNAHR	Coldspot_0.1	79839	48871.8300	12383.0000	103070.0000	28088.3495	1.6336	0.7081	1.6200e-01	7.0600e-01	8	172817	6.4527e-03	83358	770018278	2.8751e+01	4	79839	2.9811e-03	50.0000	46.1986	0.0048	0.0104
LFNAHR	Coldspot_0.01	0	3447.0440	0.0000	17677.0000	6176.8732	0.0003	-11.7516	6.1500e-01	9.2250e-01	6	63768	2.3810e-03	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.001	0	863.7910	0.0000	8075.0000	3361.1120	0.0012	-9.7562	9.0600e-01	9.8500e-01	6	63768	2.3810e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	15.2900	0.0000	0.0000	158.7233	0.0614	-4.0259	9.8500e-01	9.8500e-01	6	63768	2.3810e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.9	1656	3330.5920	0.0000	10990.0000	3900.0622	0.4974	-1.0076	4.6500e-01	9.2250e-01	6	63768	2.3810e-03	83376	135028905	5.0418e+00	6	1656	6.1833e-05	100.0000	2.5969	0.0072	0.0012
LFNAHR	Coldspot_0.1	22329	15630.9790	584.0000	36187.0000	10941.6208	1.4285	0.5145	2.5700e-01	7.7100e-01	6	63768	2.3810e-03	83358	770018278	2.8751e+01	5	22329	8.3373e-04	83.3333	35.0160	0.0060	0.0029
LFNAHR	Hotspot_0.99	1007	182.3200	0.0000	1379.0000	585.9318	5.4986	2.4591	6.8000e-02	4.0800e-01	6	63768	2.3810e-03	8338	7648169	2.8557e-01	2	1007	3.7600e-05	33.3333	1.5792	0.0240	0.0132
NAHR	Coldspot_0.01	0	15438.9710	0.0000	51837.0000	17792.1104	0.0001	-13.9144	1.5700e-01	4.2600e-01	13	218908	8.1737e-03	8321	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Coldspot_0.001	0	3464.0510	0.0000	17677.0000	9217.7173	0.0003	-11.7587	7.0100e-01	8.4120e-01	13	218908	8.1737e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.999	0	44.3210	0.0000	225.0000	215.1580	0.0221	-5.5021	9.4700e-01	9.4700e-01	13	218908	8.1737e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.9	10986	10395.4660	713.0000	26250.0000	7730.5324	1.0568	0.0797	3.9200e-01	5.8800e-01	13	218908	8.1737e-03	83376	135028905	5.0418e+00	7	10986	4.1020e-04	53.8462	5.0185	0.0084	0.0081
NAHR	Coldspot_0.1	102168	61347.5550	21590.0000	115186.0000	29052.9562	1.6654	0.7359	1.0100e-01	4.2600e-01	13	218908	8.1737e-03	83358	770018278	2.8751e+01	9	102168	3.8148e-03	69.2308	46.6717	0.0108	0.0133
NAHR	Hotspot_0.99	1007	576.6080	0.0000	2830.0000	1021.1297	1.7451	0.8033	2.1300e-01	4.2600e-01	13	218908	8.1737e-03	8338	7648169	2.8557e-01	2	1007	3.7600e-05	15.3846	0.4600	0.0240	0.0132
