track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Hotspot_0.9	0	8330.8900	1337.0000	18857.0000	5410.9547	0.0001	-13.0244	3.0000e-03	6.0000e-03	27	181549	6.7788e-03	83376	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.001	0	4507.9540	0.0000	15195.0000	6252.6116	0.0002	-12.1386	2.0500e-01	3.0750e-01	27	181549	6.7788e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	494.8570	0.0000	2570.0000	948.0138	0.0020	-8.9538	5.5500e-01	6.6600e-01	27	181549	6.7788e-03	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	21.1990	0.0000	20.0000	124.2624	0.0450	-4.4724	9.4900e-01	9.4900e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	57047.4550	30338.0000	85986.0000	16981.3747	2.2799	1.1890	1.0000e-03	3.0000e-03	27	181549	6.7788e-03	83358	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0132	0.0169
HFNHinvs	Coldspot_0.01	93232	15864.6890	1891.0000	36388.0000	11109.6984	5.8764	2.5549	1.0000e-03	3.0000e-03	27	181549	6.7788e-03	8321	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0120	0.0456
LFNHinvs	Hotspot_0.99	350	3486.0370	23.0000	8989.0000	2990.3360	0.1007	-3.3125	9.4000e-02	1.1280e-01	49	1151662	4.3001e-02	8338	7648169	2.8557e-01	2	350	1.3069e-05	4.0816	0.0304	0.0240	0.0046
LFNHinvs	Hotspot_0.9	22919	77960.7700	33532.0000	148922.0000	35158.0701	0.2940	-1.7662	7.0000e-03	1.0500e-02	49	1151662	4.3001e-02	83376	135028905	5.0418e+00	16	22919	8.5576e-04	32.6531	1.9901	0.0192	0.0170
LFNHinvs	Hotspot_0.999	238	252.2080	0.0000	1403.0000	527.6973	0.9439	-0.0833	7.5300e-01	7.5300e-01	49	1151662	4.3001e-02	834	469549	1.7532e-02	1	238	8.8866e-06	2.0408	0.0207	0.1199	0.0507
LFNHinvs	Coldspot_0.1	554845	226257.9180	148060.0000	407329.0000	73717.6379	2.4523	1.2941	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	83358	770018278	2.8751e+01	28	554845	2.0717e-02	57.1429	48.1778	0.0336	0.0721
LFNHinvs	Coldspot_0.01	388897	56896.6220	23501.0000	103270.0000	27411.2766	6.8350	2.7730	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	8321	204658289	7.6416e+00	6	388897	1.4521e-02	12.2449	33.7683	0.0721	0.1900
LFNHinvs	Coldspot_0.001	348509	20187.4540	1103.0000	46315.0000	14095.0807	17.2628	4.1096	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	817	55726189	2.0807e+00	2	348509	1.3013e-02	4.0816	30.2614	0.2448	0.6254
NHinvs	Hotspot_0.99	350	3920.3080	205.0000	9603.0000	3174.8719	0.0895	-3.4818	6.3000e-02	7.5600e-02	76	1333211	4.9780e-02	8338	7648169	2.8557e-01	2	350	1.3069e-05	2.6316	0.0263	0.0240	0.0046
NHinvs	Hotspot_0.9	22919	85384.2560	41554.0000	148130.0000	34073.1602	0.2684	-1.8974	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	83376	135028905	5.0418e+00	16	22919	8.5576e-04	21.0526	1.7191	0.0192	0.0170
NHinvs	Hotspot_0.999	238	276.7790	0.0000	1498.0000	578.8202	0.8604	-0.2169	7.4600e-01	7.4600e-01	76	1333211	4.9780e-02	834	469549	1.7532e-02	1	238	8.8866e-06	1.3158	0.0179	0.1199	0.0507
NHinvs	Coldspot_0.1	684908	286066.3620	200639.0000	453910.0000	76852.9976	2.3942	1.2596	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	83358	770018278	2.8751e+01	39	684908	2.5573e-02	51.3158	51.3728	0.0468	0.0889
NHinvs	Coldspot_0.01	482129	72754.7720	36152.0000	122903.0000	28823.0956	6.6267	2.7283	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	8321	204658289	7.6416e+00	7	482129	1.8002e-02	9.2105	36.1630	0.0841	0.2356
NHinvs	Coldspot_0.001	348509	23539.8930	3499.0000	47869.0000	13959.5706	14.8045	3.8880	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	817	55726189	2.0807e+00	2	348509	1.3013e-02	2.6316	26.1406	0.2448	0.6254
