track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	0	1539.5600	0.0000	3675.0000	1192.8969	0.0006	-10.5892	1.8000e-01	2.1600e-01	46	8344198	3.0917e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFinvs	Hotspot_0.99	1606	16324.0800	9185.0000	25375.0000	4635.4045	0.0984	-3.3446	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	8.6957	0.0192	0.0385	0.0288
HFinvs	Coldspot_0.1	887940	1858175.9600	1516464.0000	2327286.0000	260803.9024	0.4779	-1.0654	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	103896	558914693	2.0709e+01	406	887940	3.2900e-02	882.6087	10.6414	0.3908	0.1589
HFinvs	Coldspot_0.01	258597	271428.1400	134836.0000	496278.0000	106401.4070	0.9527	-0.0699	5.3000e-01	5.3000e-01	46	8344198	3.0917e-01	10389	71299683	2.6418e+00	105	258597	9.5816e-03	228.2609	3.0991	1.0107	0.3627
HFinvs	Hotspot_0.9	547069	249360.2200	186831.0000	316680.0000	39211.4798	2.1939	1.1335	1.0000e-02	2.0000e-02	46	8344198	3.0917e-01	103891	80956273	2.9996e+00	304	547069	2.0270e-02	660.8696	6.5563	0.2926	0.6758
HFinvs	Coldspot_0.001	160983	63316.2600	2678.0000	230057.0000	70613.0255	2.5425	1.3462	8.0000e-02	1.2000e-01	46	8344198	3.0917e-01	1038	12194602	4.5184e-01	53	160983	5.9648e-03	115.2174	1.9293	5.1060	1.3201
HFNAHRinvs	Hotspot_0.999	0	1427.1900	0.0000	3992.0000	1373.2096	0.0007	-10.4800	2.5000e-01	3.0000e-01	19	8162649	3.0245e-01	1039	446725	1.6552e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRinvs	Hotspot_0.99	1606	17247.1200	9455.0000	26612.0000	5652.1981	0.0932	-3.4240	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	10390	5567094	2.0627e-01	4	1606	5.9506e-05	21.0526	0.0197	0.0385	0.0288
HFNAHRinvs	Coldspot_0.1	795340	1797384.9300	1325113.0000	2328612.0000	277312.6031	0.4425	-1.1763	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	103896	558914693	2.0709e+01	268	795340	2.9469e-02	1410.5263	9.7437	0.2580	0.1423
HFNAHRinvs	Coldspot_0.01	257553	267794.0000	96683.0000	491728.0000	118609.9047	0.9618	-0.0563	5.6000e-01	5.6000e-01	19	8162649	3.0245e-01	10389	71299683	2.6418e+00	104	257553	9.5429e-03	547.3684	3.1553	1.0011	0.3612
HFNAHRinvs	Hotspot_0.9	543616	253561.7600	195923.0000	338381.0000	42081.5042	2.1439	1.1002	1.0000e-02	2.0000e-02	19	8162649	3.0245e-01	103891	80956273	2.9996e+00	295	543616	2.0142e-02	1552.6316	6.6598	0.2840	0.6715
HFNAHRinvs	Coldspot_0.001	159939	72255.6700	0.0000	250191.0000	75506.0213	2.2135	1.1463	8.0000e-02	1.2000e-01	19	8162649	3.0245e-01	1038	12194602	4.5184e-01	52	159939	5.9261e-03	273.6842	1.9594	5.0096	1.3116
HFNAHRno501invs	Hotspot_0.99	0	6355.9900	1614.0000	12758.0000	3369.6969	0.0002	-12.6341	1.0000e-02	1.2000e-02	18	2511540	9.3058e-02	10390	5567094	2.0627e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
