track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
genomicSuperDups	Hotspot_0.999	498	19016.7500	11384.0000	26081.0000	4443.9115	0.0262	-5.2522	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	852	441389	1.5617e-02	1	498	1.7620e-05	0.0143	0.0004	0.1174	0.1128
genomicSuperDups	Hotspot_0.99	54092	357503.1900	321694.0000	404115.0000	25874.7848	0.1513	-2.7244	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	8518	8057649	2.8508e-01	58	54092	1.9138e-03	0.8305	0.0451	0.6809	0.6713
genomicSuperDups	Hotspot_0.9	2732996	6499597.0300	6152805.0000	6883913.0000	229746.9015	0.4205	-1.2499	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	85181	147208246	5.2083e+00	1074	2732996	9.6695e-02	15.3780	2.2769	1.2608	1.8566
genomicSuperDups	Coldspot_0.1	50191762	33368509.8600	32074080.0000	35283311.0000	923167.9510	1.5042	0.5890	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	85162	855303584	3.0261e+01	3348	50191762	1.7758e+00	47.9381	41.8150	3.9313	5.8683
genomicSuperDups	Coldspot_0.01	30719578	9009673.6500	8046180.0000	10202518.0000	676994.0914	3.4096	1.7696	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	8500	231711737	8.1981e+00	859	30719578	1.0869e+00	12.2995	25.5926	10.1059	13.2577
genomicSuperDups	Coldspot_0.001	16043151	2483436.8300	1796713.0000	3360112.0000	460883.5085	6.4601	2.6915	1.0000e-02	1.0000e-02	6984	120033000	4.2468e+00	834	61111167	2.1621e+00	273	16043151	5.6762e-01	3.9089	13.3656	32.7338	26.2524
HFinvs	Hotspot_0.999	28	1737.7500	19.0000	4245.0000	1390.1818	0.0167	-5.9059	7.0000e-02	8.4000e-02	57	9036046	3.1970e-01	852	441389	1.5617e-02	1	28	9.9066e-07	1.7544	0.0003	0.1174	0.0063
HFinvs	Hotspot_0.99	10169	26244.2300	13271.0000	43456.0000	9393.1624	0.3875	-1.3677	3.0000e-02	6.0000e-02	57	9036046	3.1970e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	26.3158	0.1125	0.1761	0.1262
HFinvs	Hotspot_0.9	388873	472731.9200	381875.0000	562159.0000	55913.2145	0.8226	-0.2817	7.0000e-02	8.4000e-02	57	9036046	3.1970e-01	85181	147208246	5.2083e+00	199	388873	1.3759e-02	349.1228	4.3036	0.2336	0.2642
HFinvs	Coldspot_0.1	2741673	2690267.9700	2287388.0000	3159278.0000	255569.1779	1.0191	0.0273	4.2000e-01	4.2000e-01	57	9036046	3.1970e-01	85162	855303584	3.0261e+01	139	2741673	9.7002e-02	243.8596	30.3415	0.1632	0.3205
HFinvs	Coldspot_0.01	1211309	733398.0500	428609.0000	1032424.0000	184888.2217	1.6516	0.7239	1.0000e-02	3.0000e-02	57	9036046	3.1970e-01	8500	231711737	8.1981e+00	10	1211309	4.2857e-02	17.5439	13.4053	0.1176	0.5228
