track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Hotspot_0.999	28	3374.4410	1421.0000	4673.0000	1286.5403	0.0086	-6.8629	1.3000e-02	1.9500e-02	20	19403410	7.2450e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.0000	0.0001	0.1199	0.0060
HFNAHR	Hotspot_0.99	9261	50092.4140	21614.0000	72234.0000	15933.0669	0.1849	-2.4352	2.0000e-03	4.0000e-03	20	19403410	7.2450e-01	8344	7648169	2.8557e-01	15	9261	3.4579e-04	75.0000	0.0477	0.1798	0.1211
HFNAHR	Hotspot_0.9	349153	873231.9160	484509.0000	1248129.0000	248021.2790	0.3998	-1.3225	1.0000e-03	3.0000e-03	20	19403410	7.2450e-01	83434	135028905	5.0418e+00	192	349153	1.3037e-02	960.0000	1.7994	0.2301	0.2586
HFNAHR	Coldspot_0.1	2321862	3372031.9600	2639361.0000	4208710.0000	469289.4002	0.6886	-0.5383	1.0000e-03	3.0000e-03	20	19403410	7.2450e-01	83658	770018278	2.8751e+01	130	2321862	8.6695e-02	650.0000	11.9663	0.1554	0.3015
HFNAHR	Coldspot_0.01	1182308	1427973.2650	1172603.0000	1845959.0000	207872.3511	0.8280	-0.2724	6.6000e-02	7.9200e-02	20	19403410	7.2450e-01	8406	204658289	7.6416e+00	8	1182308	4.4146e-02	40.0000	6.0933	0.0952	0.5777
HFNAHR	Coldspot_0.001	447609	489118.7210	447609.0000	670734.0000	95964.4866	0.9151	-0.1279	4.9200e-01	4.9200e-01	20	19403410	7.2450e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	10.0000	2.3069	0.2387	0.8032
LFNAHR	Coldspot_0.001	0	73056.7230	0.0000	286431.0000	117626.4293	0.0000	-16.1567	1.5100e-01	2.9250e-01	20	2334528	8.7168e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	237.6470	0.0000	1333.0000	531.3465	0.0042	-7.8987	7.2200e-01	7.2200e-01	20	2334528	8.7168e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.01	85021	214029.5490	35783.0000	551437.0000	160197.5978	0.3972	-1.3319	1.9500e-01	2.9250e-01	20	2334528	8.7168e-02	8406	204658289	7.6416e+00	5	85021	3.1746e-03	25.0000	3.6419	0.0595	0.0415
LFNAHR	Coldspot_0.1	331795	734674.7650	348233.0000	1263840.0000	291518.4345	0.4516	-1.1468	3.4000e-02	2.0400e-01	20	2334528	8.7168e-02	83658	770018278	2.8751e+01	46	331795	1.2389e-02	230.0000	14.2125	0.0550	0.0431
LFNAHR	Hotspot_0.9	63261	109634.5650	46839.0000	186621.0000	43497.6746	0.5770	-0.7933	1.3500e-01	2.9250e-01	20	2334528	8.7168e-02	83434	135028905	5.0418e+00	36	63261	2.3621e-03	180.0000	2.7098	0.0431	0.0468
LFNAHR	Hotspot_0.99	2304	3987.7330	0.0000	10230.0000	3178.1397	0.5779	-0.7912	3.7500e-01	4.5000e-01	20	2334528	8.7168e-02	8344	7648169	2.8557e-01	3	2304	8.6028e-05	15.0000	0.0987	0.0360	0.0301
NAHR	Hotspot_0.999	28	3598.6920	1421.0000	5490.0000	1347.2500	0.0081	-6.9557	1.1000e-02	1.6500e-02	39	21720261	8.1100e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.5641	0.0001	0.1199	0.0060
NAHR	Hotspot_0.99	11565	53871.3000	25330.0000	76875.0000	15896.3832	0.2147	-2.2197	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	8344	7648169	2.8557e-01	18	11565	4.3182e-04	46.1538	0.0532	0.2157	0.1512
NAHR	Hotspot_0.9	412414	973847.8590	582912.0000	1340966.0000	242308.2156	0.4235	-1.2396	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83434	135028905	5.0418e+00	228	412414	1.5399e-02	584.6154	1.8988	0.2733	0.3054
NAHR	Coldspot_0.1	2653657	4038983.9290	3266006.0000	4955406.0000	518922.1890	0.6570	-0.6060	1.0000e-03	2.0000e-03	39	21720261	8.1100e-01	83658	770018278	2.8751e+01	176	2653657	9.9084e-02	451.2821	12.2174	0.2104	0.3446
NAHR	Coldspot_0.01	1267329	1631364.8760	1296058.0000	2105629.0000	247661.0110	0.7769	-0.3643	3.5000e-02	4.1000e-02	39	21720261	8.1100e-01	8406	204658289	7.6416e+00	13	1267329	4.7320e-02	33.3333	5.8348	0.1547	0.6192
NAHR	Coldspot_0.001	447609	557710.0570	450593.0000	854355.0000	137486.6980	0.8026	-0.3173	4.1000e-02	4.1000e-02	39	21720261	8.1100e-01	838	55726189	2.0807e+00	2	447609	1.6713e-02	5.1282	2.0608	0.2387	0.8032
