track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNAHR	Coldspot_0.001	0	65528.5680	0.0000	439178.0000	144178.9939	0.0000	-15.9999	7.7900e-01	9.3400e-01	3	822710	3.0719e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.9	0	13966.8810	0.0000	52961.0000	16695.6660	0.0001	-13.7698	2.4700e-01	7.4100e-01	3	822710	3.0719e-02	83434	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.99	0	804.5380	0.0000	4076.0000	1656.5259	0.0012	-9.6538	7.1700e-01	9.3400e-01	3	822710	3.0719e-02	8344	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Hotspot_0.999	0	91.8020	0.0000	983.0000	376.2083	0.0108	-6.5361	9.3400e-01	9.3400e-01	3	822710	3.0719e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHR	Coldspot_0.01	83476	188526.0120	11571.0000	550780.0000	178809.7043	0.4428	-1.1753	3.9700e-01	7.9400e-01	3	822710	3.0719e-02	8406	204658289	7.6416e+00	1	83476	3.1169e-03	33.3333	10.1465	0.0119	0.0408
HFNAHR	Coldspot_0.1	217148	394017.3460	195323.0000	724711.0000	167633.5771	0.5511	-0.8596	9.8000e-02	5.8800e-01	3	822710	3.0719e-02	83658	770018278	2.8751e+01	4	217148	8.1080e-03	133.3333	26.3942	0.0048	0.0282
LFNAHR	Coldspot_0.1	0	29338.0300	0.0000	216873.0000	63940.5205	0.0000	-14.8405	7.7500e-01	1.0000e+00	1	440419	1.6445e-02	83658	770018278	2.8751e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Coldspot_0.01	0	11958.0740	0.0000	103301.0000	31188.8758	0.0001	-13.5458	8.4800e-01	1.0000e+00	1	440419	1.6445e-02	8406	204658289	7.6416e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.99	0	740.5170	0.0000	3708.0000	1155.4517	0.0013	-9.5343	6.7200e-01	1.0000e+00	1	440419	1.6445e-02	8344	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.9	6252	31244.6470	0.0000	66016.0000	22772.5704	0.2001	-2.3210	2.4100e-01	1.0000e+00	1	440419	1.6445e-02	83434	135028905	5.0418e+00	1	6252	2.3344e-04	100.0000	1.4196	0.0012	0.0046
LFNAHR	Coldspot_0.001	0	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000e+00	1.0000e+00	1	440419	1.6445e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
LFNAHR	Hotspot_0.999	0	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000e+00	1.0000e+00	1	440419	1.6445e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Coldspot_0.001	0	78087.2440	0.0000	439178.0000	154118.9766	0.0000	-16.2528	7.5200e-01	9.0240e-01	4	1263129	4.7163e-02	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.99	0	1500.0610	0.0000	5534.0000	1973.8349	0.0007	-10.5518	4.8200e-01	7.2300e-01	4	1263129	4.7163e-02	8344	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.999	0	78.9030	0.0000	983.0000	347.5846	0.0125	-6.3202	9.4300e-01	9.4300e-01	4	1263129	4.7163e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
NAHR	Hotspot_0.9	6252	44835.0730	1026.0000	91210.0000	27564.2158	0.1395	-2.8420	9.5000e-02	2.8500e-01	4	1263129	4.7163e-02	83434	135028905	5.0418e+00	1	6252	2.3344e-04	25.0000	0.4950	0.0012	0.0046
NAHR	Coldspot_0.01	83476	213904.3190	19437.0000	579481.0000	186923.4309	0.3903	-1.3575	3.1300e-01	6.2600e-01	4	1263129	4.7163e-02	8406	204658289	7.6416e+00	1	83476	3.1169e-03	25.0000	6.6087	0.0119	0.0408
NAHR	Coldspot_0.1	217148	430156.2210	201393.0000	751689.0000	182314.0886	0.5048	-0.9862	8.4000e-02	2.8500e-01	4	1263129	4.7163e-02	83658	770018278	2.8751e+01	4	217148	8.1080e-03	100.0000	17.1913	0.0048	0.0282
