track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Hotspot_0.9	0	8643.5990	1607.0000	19015.0000	5577.6832	0.0001	-13.0776	7.0000e-03	1.4000e-02	27	181549	6.7788e-03	83376	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.001	0	4628.1220	0.0000	14668.0000	6269.5487	0.0002	-12.1765	2.4600e-01	3.6900e-01	27	181549	6.7788e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	519.7730	0.0000	2621.0000	1026.6381	0.0019	-9.0245	5.5300e-01	6.6360e-01	27	181549	6.7788e-03	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	16.2760	0.0000	0.0000	100.1286	0.0579	-4.1107	9.6100e-01	9.6100e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	57609.2480	33060.0000	84592.0000	16129.9904	2.2577	1.1748	1.0000e-03	3.0000e-03	27	181549	6.7788e-03	83358	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0132	0.0169
HFNHinvs	Coldspot_0.01	93232	15809.8370	1720.0000	36551.0000	10728.3733	5.8968	2.5599	1.0000e-03	3.0000e-03	27	181549	6.7788e-03	8321	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0120	0.0456
LFNHinvs	Hotspot_0.99	350	3628.8340	0.0000	9533.0000	3097.4955	0.0967	-3.3704	1.2200e-01	1.4640e-01	49	1151662	4.3001e-02	8338	7648169	2.8557e-01	2	350	1.3069e-05	4.0816	0.0304	0.0240	0.0046
LFNHinvs	Hotspot_0.9	22919	77645.4730	34906.0000	143266.0000	34700.7731	0.2952	-1.7603	1.0000e-02	1.5000e-02	49	1151662	4.3001e-02	83376	135028905	5.0418e+00	16	22919	8.5576e-04	32.6531	1.9901	0.0192	0.0170
LFNHinvs	Hotspot_0.999	238	285.8060	0.0000	1536.0000	598.5671	0.8333	-0.2631	7.5000e-01	7.5000e-01	49	1151662	4.3001e-02	834	469549	1.7532e-02	1	238	8.8866e-06	2.0408	0.0207	0.1199	0.0507
LFNHinvs	Coldspot_0.1	554845	223525.5240	146941.0000	390543.0000	72362.6686	2.4822	1.3116	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	83358	770018278	2.8751e+01	28	554845	2.0717e-02	57.1429	48.1778	0.0336	0.0721
LFNHinvs	Coldspot_0.01	388897	56060.1500	22702.0000	100100.0000	27764.0351	6.9370	2.7943	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	8321	204658289	7.6416e+00	6	388897	1.4521e-02	12.2449	33.7683	0.0721	0.1900
LFNHinvs	Coldspot_0.001	348509	19259.1090	762.0000	45247.0000	13860.9731	18.0949	4.1775	1.0000e-03	2.0000e-03	49	1151662	4.3001e-02	817	55726189	2.0807e+00	2	348509	1.3013e-02	4.0816	30.2614	0.2448	0.6254
NHinvs	Hotspot_0.99	350	4297.7620	274.0000	10947.0000	3617.4427	0.0817	-3.6144	5.8000e-02	6.9600e-02	76	1333211	4.9780e-02	8338	7648169	2.8557e-01	2	350	1.3069e-05	2.6316	0.0263	0.0240	0.0046
NHinvs	Hotspot_0.9	22919	87890.6060	41182.0000	160697.0000	36459.6314	0.2608	-1.9391	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	83376	135028905	5.0418e+00	16	22919	8.5576e-04	21.0526	1.7191	0.0192	0.0170
NHinvs	Hotspot_0.999	238	301.2560	0.0000	1536.0000	579.5746	0.7907	-0.3388	7.2000e-01	7.2000e-01	76	1333211	4.9780e-02	834	469549	1.7532e-02	1	238	8.8866e-06	1.3158	0.0179	0.1199	0.0507
NHinvs	Coldspot_0.1	684908	283254.7060	194509.0000	435716.0000	70939.3428	2.4180	1.2738	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	83358	770018278	2.8751e+01	39	684908	2.5573e-02	51.3158	51.3728	0.0468	0.0889
NHinvs	Coldspot_0.01	482129	70862.5960	35126.0000	116743.0000	26976.5651	6.8036	2.7663	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	8321	204658289	7.6416e+00	7	482129	1.8002e-02	9.2105	36.1630	0.0841	0.2356
NHinvs	Coldspot_0.001	348509	23912.0190	3283.0000	50235.0000	14459.9476	14.5741	3.8653	1.0000e-03	1.5000e-03	76	1333211	4.9780e-02	817	55726189	2.0807e+00	2	348509	1.3013e-02	2.6316	26.1406	0.2448	0.6254
