track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFNHinvs	Coldspot_0.001	0	11451.5760	0.0000	93232.0000	25303.2354	0.0001	-13.4834	4.0700e-01	6.1050e-01	27	181549	6.7788e-03	838	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.9	0	6558.2240	897.0000	16545.0000	5381.3702	0.0002	-12.6793	9.0000e-03	5.4000e-02	27	181549	6.7788e-03	83434	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	337.2200	0.0000	1619.0000	803.6207	0.0030	-8.4018	6.5800e-01	7.8960e-01	27	181549	6.7788e-03	8344	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	14.2720	0.0000	0.0000	100.8851	0.0655	-3.9328	9.6500e-01	9.6500e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	72118.0010	25357.0000	124416.0000	31955.2235	1.8035	0.8508	2.6000e-02	7.8000e-02	27	181549	6.7788e-03	83658	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0131	0.0169
HFNHinvs	Coldspot_0.01	93232	28530.6330	1002.0000	97201.0000	32420.4597	3.2677	1.7083	9.4000e-02	1.8800e-01	27	181549	6.7788e-03	8406	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0119	0.0456
LFNHinvs	Hotspot_0.99	350	2429.6690	0.0000	8163.0000	3004.9275	0.1444	-2.7918	2.7000e-01	4.5600e-01	49	1151662	4.3001e-02	8344	7648169	2.8557e-01	2	350	1.3069e-05	4.0816	0.0304	0.0240	0.0046
LFNHinvs	Hotspot_0.9	22919	55304.0850	14347.0000	126055.0000	35465.7136	0.4144	-1.2708	1.6300e-01	4.5600e-01	49	1151662	4.3001e-02	83434	135028905	5.0418e+00	16	22919	8.5576e-04	32.6531	1.9901	0.0192	0.0170
LFNHinvs	Coldspot_0.01	388897	410903.9040	368838.0000	562023.0000	65612.4253	0.9464	-0.0794	4.2600e-01	5.1120e-01	49	1151662	4.3001e-02	8406	204658289	7.6416e+00	6	388897	1.4521e-02	12.2449	33.7683	0.0714	0.1900
LFNHinvs	Coldspot_0.1	554845	544354.8190	451979.0000	752155.0000	98548.6189	1.0193	0.0275	3.0400e-01	4.5600e-01	49	1151662	4.3001e-02	83658	770018278	2.8751e+01	28	554845	2.0717e-02	57.1429	48.1778	0.0335	0.0721
LFNHinvs	Coldspot_0.001	348509	321997.1150	124516.0000	379108.0000	76511.3738	1.0823	0.1141	6.1600e-01	6.1600e-01	49	1151662	4.3001e-02	838	55726189	2.0807e+00	2	348509	1.3013e-02	4.0816	30.2614	0.2387	0.6254
LFNHinvs	Hotspot_0.999	238	142.9040	0.0000	1170.0000	404.2873	1.6608	0.7319	1.4200e-01	4.5600e-01	49	1151662	4.3001e-02	834	469549	1.7532e-02	1	238	8.8866e-06	2.0408	0.0207	0.1199	0.0507
NHinvs	Hotspot_0.99	350	2960.3190	0.0000	9331.0000	3270.3875	0.1185	-3.0767	2.0100e-01	2.5440e-01	76	1333211	4.9780e-02	8344	7648169	2.8557e-01	2	350	1.3069e-05	2.6316	0.0263	0.0240	0.0046
NHinvs	Hotspot_0.9	22919	62002.9220	19969.0000	134450.0000	36262.9113	0.3697	-1.4358	8.5000e-02	2.5440e-01	76	1333211	4.9780e-02	83434	135028905	5.0418e+00	16	22919	8.5576e-04	21.0526	1.7191	0.0192	0.0170
NHinvs	Coldspot_0.001	348509	336946.5070	146317.0000	431656.0000	78201.5950	1.0343	0.0487	6.7400e-01	6.7400e-01	76	1333211	4.9780e-02	838	55726189	2.0807e+00	2	348509	1.3013e-02	2.6316	26.1406	0.2387	0.6254
NHinvs	Coldspot_0.01	482129	440027.3440	376961.0000	614670.0000	76947.9862	1.0957	0.1318	1.7500e-01	2.5440e-01	76	1333211	4.9780e-02	8406	204658289	7.6416e+00	7	482129	1.8002e-02	9.2105	36.1630	0.0833	0.2356
NHinvs	Coldspot_0.1	684908	617262.9690	502134.0000	836220.0000	106669.0962	1.1096	0.1500	2.1200e-01	2.5440e-01	76	1333211	4.9780e-02	83658	770018278	2.8751e+01	39	684908	2.5573e-02	51.3158	51.3728	0.0466	0.0889
NHinvs	Hotspot_0.999	238	162.0930	0.0000	1170.0000	432.9043	1.4654	0.5513	1.5800e-01	2.5440e-01	76	1333211	4.9780e-02	834	469549	1.7532e-02	1	238	8.8866e-06	1.3158	0.0179	0.1199	0.0507
