track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1185.3500	0.0000	3576.0000	999.2617	0.0244	-5.3543	7.0000e-02	8.4000e-02	46	8344198	3.1156e-01	834	469549	1.7532e-02	1	28	1.0455e-06	2.1739	0.0003	0.1199	0.0060
HFinvs	Hotspot_0.99	9261	22191.3300	12845.0000	35649.0000	6303.5936	0.4174	-1.2607	1.0000e-02	3.0000e-02	46	8344198	3.1156e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	32.6087	0.1110	0.1799	0.1211
HFinvs	Hotspot_0.9	349366	417569.7800	350949.0000	525311.0000	53244.3648	0.8367	-0.2573	4.0000e-02	6.0000e-02	46	8344198	3.1156e-01	83376	135028905	5.0418e+00	193	349366	1.3045e-02	419.5652	4.1869	0.2315	0.2587
HFinvs	Coldspot_0.1	2451925	2389858.4300	2040543.0000	2787706.0000	222665.7840	1.0260	0.0370	3.4000e-01	3.4000e-01	46	8344198	3.1156e-01	83358	770018278	2.8751e+01	140	2451925	9.1551e-02	304.3478	29.3848	0.1680	0.3184
HFinvs	Coldspot_0.01	1275540	655605.0800	421092.0000	1011752.0000	176376.2137	1.9456	0.9602	1.0000e-02	3.0000e-02	46	8344198	3.1156e-01	8321	204658289	7.6416e+00	8	1275540	4.7627e-02	17.3913	15.2866	0.0961	0.6233
HFinvs	Coldspot_0.001	447609	193045.2200	46888.0000	485355.0000	129223.2614	2.3187	1.2133	4.0000e-02	6.0000e-02	46	8344198	3.1156e-01	817	55726189	2.0807e+00	1	447609	1.6713e-02	2.1739	5.3643	0.1224	0.8032
HFNAHRinvs	Hotspot_0.999	28	1363.0600	0.0000	3881.0000	1157.5263	0.0213	-5.5557	9.0000e-02	1.3200e-01	19	8162649	3.0478e-01	834	469549	1.7532e-02	1	28	1.0455e-06	5.2632	0.0003	0.1199	0.0060
HFNAHRinvs	Hotspot_0.99	9261	23559.8900	14487.0000	37040.0000	7032.1848	0.3931	-1.3470	1.0000e-02	3.0000e-02	19	8162649	3.0478e-01	8338	7648169	2.8557e-01	15	9261	3.4579e-04	78.9474	0.1135	0.1799	0.1211
HFNAHRinvs	Hotspot_0.9	349366	406012.6500	334673.0000	502935.0000	52895.1587	0.8605	-0.2168	1.1000e-01	1.3200e-01	19	8162649	3.0478e-01	83376	135028905	5.0418e+00	193	349366	1.3045e-02	1015.7895	4.2801	0.2315	0.2587
HFNAHRinvs	Coldspot_0.1	2321862	2371151.1600	2051972.0000	2807854.0000	221835.1079	0.9792	-0.0303	4.4000e-01	4.4000e-01	19	8162649	3.0478e-01	83358	770018278	2.8751e+01	129	2321862	8.6695e-02	678.9474	28.4450	0.1548	0.3015
HFNAHRinvs	Coldspot_0.01	1182308	664091.6300	398038.0000	986989.0000	176201.5156	1.7803	0.8322	1.0000e-02	3.0000e-02	19	8162649	3.0478e-01	8321	204658289	7.6416e+00	7	1182308	4.4146e-02	36.8421	14.4844	0.0841	0.5777
HFNAHRinvs	Coldspot_0.001	447609	197932.3800	29559.0000	462952.0000	129399.5332	2.2614	1.1772	6.0000e-02	1.2000e-01	19	8162649	3.0478e-01	817	55726189	2.0807e+00	1	447609	1.6713e-02	5.2632	5.4836	0.1224	0.8032
HFNAHRno501invs	Coldspot_0.001	0	31099.3300	0.0000	83559.0000	24918.0290	0.0000	-14.9246	1.2000e-01	2.4000e-01	18	2511540	9.3777e-02	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.99	0	8452.0700	1754.0000	15760.0000	4210.3198	0.0001	-13.0453	1.0000e-02	3.0000e-02	18	2511540	9.3777e-02	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.999	0	508.0200	0.0000	1669.0000	745.2233	0.0020	-8.9916	5.2000e-01	5.2000e-01	18	2511540	9.3777e-02	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNAHRno501invs	Hotspot_0.9	18469	157491.0500	108073.0000	212682.0000	31437.8221	0.1173	-3.0920	1.0000e-02	3.0000e-02	18	2511540	9.3777e-02	83376	135028905	5.0418e+00	6	18469	6.8961e-04	33.3333	0.7354	0.0072	0.0137
HFNAHRno501invs	Coldspot_0.01	95185	110145.2100	39725.0000	190111.0000	47348.7168	0.8642	-0.2106	3.9000e-01	4.6800e-01	18	2511540	9.3777e-02	8321	204658289	7.6416e+00	2	95185	3.5541e-03	11.1111	3.7899	0.0240	0.0465
HFNAHRno501invs	Coldspot_0.1	462521	484700.6700	361426.0000	656210.0000	78783.2459	0.9542	-0.0676	3.9000e-01	4.6800e-01	18	2511540	9.3777e-02	83358	770018278	2.8751e+01	17	462521	1.7270e-02	94.4444	18.4158	0.0204	0.0601
HFNHinvs	Hotspot_0.9	0	9833.6200	2751.0000	22891.0000	5978.2786	0.0001	-13.2637	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	83376	135028905	5.0418e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.001	0	4298.7200	0.0000	17154.0000	6359.5652	0.0002	-12.0700	2.6000e-01	3.9000e-01	27	181549	6.7788e-03	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.99	0	522.8600	0.0000	2859.0000	838.5004	0.0019	-9.0330	5.4000e-01	6.4800e-01	27	181549	6.7788e-03	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Hotspot_0.999	0	8.9200	0.0000	0.0000	60.5630	0.1008	-3.3103	9.7000e-01	9.7000e-01	27	181549	6.7788e-03	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFNHinvs	Coldspot_0.1	130063	55644.0500	29608.0000	91296.0000	16455.5837	2.3374	1.2249	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	83358	770018278	2.8751e+01	11	130063	4.8564e-03	40.7407	71.6407	0.0132	0.0169
HFNHinvs	Coldspot_0.01	93232	14568.7600	2009.0000	34357.0000	9931.6160	6.3991	2.6779	1.0000e-02	2.0000e-02	27	181549	6.7788e-03	8321	204658289	7.6416e+00	1	93232	3.4812e-03	3.7037	51.3536	0.0120	0.0456
HFno501invs	Coldspot_0.001	0	43930.0200	16154.0000	83052.0000	21774.3424	0.0000	-15.4230	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	817	55726189	2.0807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.99	0	8905.1600	2479.0000	16888.0000	4169.3162	0.0001	-13.1206	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	8338	7648169	2.8557e-01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.999	0	615.9700	0.0000	2141.0000	771.6745	0.0016	-9.2691	4.0000e-01	4.0000e-01	45	2693089	1.0056e-01	834	469549	1.7532e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	Hotspot_0.9	18469	164716.9300	114865.0000	228695.0000	32910.3250	0.1121	-3.1567	1.0000e-02	2.0000e-02	45	2693089	1.0056e-01	83376	135028905	5.0418e+00	6	18469	6.8961e-04	13.3333	0.6858	0.0072	0.0137
