track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	Hotspot_0.999	28	1388.0100	0.0000	3508.0000	1164.9489	0.0209	-5.5819	1.4000e-01	1.6800e-01	57	9036046	3.1970e-01	852	441389	1.5617e-02	1	28	9.9066e-07	1.7544	0.0003	0.1174	0.0063
HFinvs	Hotspot_0.99	10169	23902.6500	10313.0000	40146.0000	8284.9701	0.4255	-1.2329	5.0000e-02	1.0000e-01	57	9036046	3.1970e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	26.3158	0.1125	0.1761	0.1262
HFinvs	Hotspot_0.9	388873	469566.8700	368240.0000	583148.0000	64149.7216	0.8282	-0.2720	1.0000e-01	1.5000e-01	57	9036046	3.1970e-01	85181	147208246	5.2083e+00	199	388873	1.3759e-02	349.1228	4.3036	0.2336	0.2642
HFinvs	Coldspot_0.1	2741673	2654162.6400	2256025.0000	3063783.0000	258731.9170	1.0330	0.0468	3.6000e-01	3.6000e-01	57	9036046	3.1970e-01	85162	855303584	3.0261e+01	139	2741673	9.7002e-02	243.8596	30.3415	0.1632	0.3205
HFinvs	Coldspot_0.01	1211309	729890.5300	441152.0000	1045815.0000	177872.1877	1.6596	0.7308	1.0000e-02	3.0000e-02	57	9036046	3.1970e-01	8500	231711737	8.1981e+00	10	1211309	4.2857e-02	17.5439	13.4053	0.1176	0.5228
HFinvs	Coldspot_0.001	930807	215726.5800	50628.0000	449377.0000	114475.5773	4.3147	2.1093	1.0000e-02	3.0000e-02	57	9036046	3.1970e-01	834	61111167	2.1621e+00	5	930807	3.2932e-02	8.7719	10.3010	0.5995	1.5231
HFNAHRinvs	Hotspot_0.999	28	1281.9500	0.0000	3219.0000	1064.4916	0.0226	-5.4673	1.4000e-01	2.1000e-01	28	8848961	3.1308e-01	852	441389	1.5617e-02	1	28	9.9066e-07	3.5714	0.0003	0.1174	0.0063
HFNAHRinvs	Hotspot_0.99	10169	23781.0200	11526.0000	34892.0000	7431.0747	0.4276	-1.2256	3.0000e-02	6.0000e-02	28	8848961	3.1308e-01	8518	8057649	2.8508e-01	15	10169	3.5978e-04	53.5714	0.1149	0.1761	0.1262
HFNAHRinvs	Hotspot_0.9	387528	445956.0900	361553.0000	545864.0000	60632.9831	0.8690	-0.2026	2.1000e-01	2.5200e-01	28	8848961	3.1308e-01	85181	147208246	5.2083e+00	198	387528	1.3711e-02	707.1429	4.3794	0.2324	0.2633
HFNAHRinvs	Coldspot_0.1	2622995	2632709.5100	2193050.0000	3122406.0000	277921.2921	0.9963	-0.0053	5.3000e-01	5.3000e-01	28	8848961	3.1308e-01	85162	855303584	3.0261e+01	129	2622995	9.2803e-02	460.7143	29.6418	0.1515	0.3067
HFNAHRinvs	Coldspot_0.01	1211309	737168.0000	459984.0000	1054695.0000	197229.4514	1.6432	0.7165	1.0000e-02	3.0000e-02	28	8848961	3.1308e-01	8500	231711737	8.1981e+00	10	1211309	4.2857e-02	35.7143	13.6887	0.1176	0.5228
