Start	End	Chromosome
60683.0	60881114.795918375	chr10
60881114.795918375	105114156.10204083	chr10
105114156.10204083	135524372.0	chr10
87267.0	30361777.469387755	chr11
30361777.469387755	88158570.18367347	chr11
88158570.18367347	134946450.0	chr11
60316.0	38283601.14285714	chr12
38283601.14285714	84697590.24489796	chr12
84697590.24489796	133841814.0	chr12
19020094.0	58240402.97959184	chr13
58240402.97959184	85694619.26530613	chr13
85694619.26530613	115109851.0	chr13
19000058.0	44225594.28571428	chr14
44225594.28571428	65847482.530612245	chr14
65847482.530612245	107289435.0	chr14
20000446.0	46945874.57142857	chr15
46945874.57142857	75575392.42857143	chr15
75575392.42857143	102520821.0	chr15
60179.0	38731296.71428572	chr16
38731296.71428572	68195005.44897959	chr16
68195005.44897959	90292787.0	chr16
51.0	41423658.14285714	chr17
41423658.14285714	81190321.0	chr17
10718.0	31850046.163265307	chr18
31850046.163265307	78017072.0	chr18
64704.0	24168409.30612245	chr19
24168409.30612245	59118782.0	chr19
11007.0	76305761.3877551	chr1
76305761.3877551	188204734.48979592	chr1
188204734.48979592	249240538.0	chr1
61097.0	30870241.81632653	chr20
30870241.81632653	62963101.0	chr20
9411244.0	31530323.42857143	chr21
31530323.42857143	48119633.0	chr21
16050606.0	31133590.285714284	chr22
31133590.285714284	41188913.14285714	chr22
41188913.14285714	51244236.0	chr22
10180.0	99265613.87755102	chr2
99265613.87755102	153856102.51020408	chr2
153856102.51020408	193558276.0612245	chr2
193558276.0612245	243185993.0	chr2
60196.0	44487216.89795919	chr3
44487216.89795919	92953057.87755102	chr3
92953057.87755102	197962380.0	chr3
10455.0	31199585.612244897	chr4
31199585.612244897	97476488.1632653	chr4
97476488.1632653	191043880.0	chr4
10042.0	92288285.87755102	chr5
92288285.87755102	180875400.0	chr5
63978.0	62876420.57142857	chr6
62876420.57142857	171053405.0	chr6
16863.0	61713237.632653065	chr7
61713237.632653065	120162434.65306123	chr7
120162434.65306123	159128566.0	chr7
11739.0	32852811.0	chr8
32852811.0	86592747.0	chr8
86592747.0	146303787.0	chr8
10468.0	54736755.06122449	chr9
54736755.06122449	100822049.42857143	chr9
100822049.42857143	141146682.0	chr9
