Start	End	Chromosome	Color
60683	23750218.622449	chr10	telomeric
23750218.622449	39146059	chr10	centromeric
47478463.7755102	116172416.428571	chr10	arm
116172416.428571	135524372	chr10	telomeric
42369508	47478463.7755102	chr10	centromeric
87267	29960848.8367347	chr11	telomeric
29960848.8367347	51577746	chr11	centromeric
65926430.6428571	115680852.428571	chr11	arm
115680852.428571	134946450	chr11	telomeric
54703204	65926430.6428571	chr11	centromeric
60316	21246021.9795918	chr12	telomeric
21246021.9795918	34241024	chr12	centromeric
44923155.7040816	117460406.081633	chr12	arm
117460406.081633	133841814	chr12	telomeric
37911537	44923155.7040816	chr12	centromeric
19020094	42552279.3877551	chr13	arm
42552279.3877551	97460711.9591837	chr13	arm
97460711.9591837	115109851	chr13	telomeric
19000058	33414650.1632653	chr14	arm
33414650.1632653	89271194.7959184	chr14	arm
89271194.7959184	107289435	chr14	telomeric
20000446	35999294.2142857	chr15	arm
35999294.2142857	85679928.1428571	chr15	arm
85679928.1428571	102520821	chr15	telomeric
60179	13871292.4693878	chr16	telomeric
13871292.4693878	29636054.1734694	chr16	arm
29636054.1734694	35272666	chr16	centromeric
50852609.4387755	75560932.6326531	chr16	arm
75560932.6326531	90292787	chr16	telomeric
46400586	50852609.4387755	chr16	centromeric
51	16095178.8571429	chr17	telomeric
16095178.8571429	22248641	chr17	centromeric
29204066.3571429	67106294.5714286	chr17	arm
67106294.5714286	81190321	chr17	telomeric
25269196	29204066.3571429	chr17	centromeric
10718	10887374.3163265	chr18	telomeric
10887374.3163265	15396165	chr18	centromeric
21209337.0612245	66873307.1428571	chr18	arm
66873307.1428571	78017072	chr18	telomeric
18528460	21209337.0612245	chr18	centromeric
64704	8501000.85714286	chr19	telomeric
8501000.85714286	20170386.2244898	chr19	arm
20170386.2244898	24608660	chr19	centromeric
30779063.2142857	47066929.3469388	chr19	arm
47066929.3469388	59118782	chr19	telomeric
27748235	30779063.2142857	chr19	centromeric
11007	30528908.755102	chr1	telomeric
30528908.755102	114147590.571429	chr1	arm
114147590.571429	121471518	chr1	centromeric
152657807.846939	213636319.285714	chr1	arm
213636319.285714	249240538	chr1	telomeric
142542466	152657807.846939	chr1	centromeric
61097	15743416.2346939	chr20	telomeric
15743416.2346939	26290878	chr20	centromeric
43630213.7653061	43707385.4897959	chr20	arm
43707385.4897959	62963101	chr20	telomeric
29432184	43630213.7653061	chr20	centromeric
12571112.4897959	21655734.3979592	chr21	arm
21655734.3979592	37060093.2857143	chr21	arm
37060093.2857143	48119633	chr21	telomeric
16050606	22155623.4489796	chr22	arm
22155623.4489796	44780099.877551	chr22	arm
44780099.877551	51244236	chr22	telomeric
10180	19861266.7755102	chr2	telomeric
19861266.7755102	80902240.3571429	chr2	arm
80902240.3571429	92315497	chr2	centromeric
112185433.020408	213409362.836735	chr2	arm
213409362.836735	243185993	chr2	telomeric
95328622	112185433.020408	chr2	centromeric
60196	26312526.5306122	chr3	telomeric
26312526.5306122	77582482.1530612	chr3	arm
77582482.1530612	90483647	chr3	centromeric
107439867.72449	173729459.510204	chr3	arm
173729459.510204	197962380	chr3	telomeric
93654937	107439867.72449	chr3	centromeric
10455	28726067.3265306	chr4	telomeric
28726067.3265306	49644397	chr4	centromeric
67279551.4285714	154006787.397959	chr4	arm
154006787.397959	191043880	chr4	telomeric
52677180	67279551.4285714	chr4	centromeric
10042	16620125.8979592	chr5	telomeric
16620125.8979592	37965759.5204082	chr5	arm
37965759.5204082	46392439	chr5	centromeric
63469635.4285714	151346361.959184	chr5	arm
151346361.959184	180875400	chr5	telomeric
49415504	63469635.4285714	chr5	centromeric
63978	15767088.6428571	chr6	telomeric
15767088.6428571	46862825.7142857	chr6	arm
46862825.7142857	58765872	chr6	centromeric
83317559.6428571	139647183.714286	chr6	arm
139647183.714286	171053405	chr6	telomeric
61883737	83317559.6428571	chr6	centromeric
16863	33901326.9183673	chr7	telomeric
33901326.9183673	58044258	chr7	centromeric
69504214.3469388	136398322.714286	chr7	arm
136398322.714286	159128566	chr7	telomeric
61059303	69504214.3469388	chr7	centromeric
11739	26396769	chr8	telomeric
26396769	43825143	chr8	centromeric
59259027	123912147	chr8	arm
123912147	146303787	chr8	telomeric
46853067	59259027	chr8	centromeric
10468	21612949.7346939	chr9	telomeric
21612949.7346939	42335911.3367347	chr9	arm
42335911.3367347	47217053	chr9	centromeric
73072662.5714286	129625358.408163	chr9	arm
129625358.408163	141146682	chr9	telomeric
65485592	73072662.5714286	chr9	centromeric
