pos	val	Chromosome	valScaled	Type
105114156.10204083	4.795937518144769e-09	chr10	1.267700166676054e-08	Minima
135524372.0	6.2893231682931014e-09	chr10	1.662443682504219e-08	Minima
60683.0	6.617247217607124e-09	chr10	1.7491231628768662e-08	Minima
60881114.795918375	4.562011618878781e-09	chr10	1.2058670213593376e-08	Minima
80233070.36734694	6.471637417605058e-09	chr10	1.7106344279769813e-08	Maxima
127230676.75510205	1.0083955599888558e-08	chr10	2.6654709629490166e-08	Maxima
8354378.24489796	1.183003137405252e-08	chr10	3.127007532506522e-08	Maxima
87267.0	5.174721259852011e-09	chr11	1.3678232835181187e-08	Minima
134946450.0	4.803715538534134e-09	chr11	1.2697561145917022e-08	Minima
30361777.469387755	4.252346070439506e-09	chr11	1.1240137724616835e-08	Minima
88158570.18367347	3.830260573040608e-09	chr11	1.0124447928034343e-08	Minima
5591723.448979592	8.227489770730205e-09	chr11	2.1747552202712775e-08	Maxima
126689765.32653062	7.927222753565401e-09	chr11	2.095386265553454e-08	Maxima
52379603.26530612	2.7380029725502745e-08	chr11	7.237306181595547e-08	Maxima
84697590.24489796	4.115033604096338e-09	chr12	1.0877182544714344e-08	Minima
60316.0	7.336989127953639e-09	chr12	1.9393710416822122e-08	Minima
133841814.0	8.434939048716625e-09	chr12	2.2295898554776892e-08	Minima
38283601.14285714	3.3980673765435356e-09	chr12	8.982040661128292e-09	Minima
68316182.32653062	5.785420790033315e-09	chr12	1.5292482172814984e-08	Maxima
8251019.959183674	1.1084915922063909e-08	chr12	2.9300527183319913e-08	Maxima
128381344.69387756	1.2331015924702063e-08	chr12	3.25943173443946e-08	Maxima
85694619.26530613	5.279737219044246e-09	chr13	1.395581933097678e-08	Minima
19020094.0	8.8369053036808e-09	chr13	2.3358407577232533e-08	Minima
115109851.0	9.356685391498082e-09	chr13	2.473233144815018e-08	Minima
58240402.97959184	4.784584745966946e-09	chr13	1.264699312072004e-08	Minima
73928526.57142857	9.725087511212401e-09	chr13	2.570612109156971e-08	Maxima
26864155.795918368	1.6042193389952566e-08	chr13	4.240399537598497e-08	Maxima
109226804.65306123	1.6819580382985262e-08	chr13	4.4458846209447384e-08	Maxima
65847482.530612245	7.408424257504047e-09	chr14	1.9582533405643315e-08	Minima
19000058.0	1.1792934663329974e-08	chr14	3.117201836292136e-08	Minima
107289435.0	7.604898972048442e-09	chr14	2.0101870922934218e-08	Minima
44225594.28571428	5.665312417119944e-09	chr14	1.4975002214443114e-08	Minima
55036538.408163264	9.338782979327551e-09	chr14	2.468501037524916e-08	Maxima
22603706.040816326	1.706810276732218e-08	chr14	4.511576024732775e-08	Maxima
96478490.87755102	1.724066402145545e-08	chr14	4.557188781320813e-08	Maxima
75575392.42857143	6.766075879281435e-09	chr15	1.7884627327726147e-08	Minima
20000446.0	1.3729237018232015e-08	chr15	3.629020601394417e-08	Minima
102520821.0	9.994925100043312e-09	chr15	2.6419377165157456e-08	Minima
46945874.57142857	5.0833749509387444e-09	chr15	1.3436779041013774e-08	Minima
60418588.85714286	1.0637925026437475e-08	chr15	2.811900546677447e-08	Maxima
23368624.57142857	1.9606290768215926e-08	chr15	5.182489967963809e-08	Maxima
95784463.85714285	2.0206686116367308e-08	chr15	5.3411912187710674e-08	Maxima
68195005.44897959	5.408092702190539e-09	chr16	1.4295098703910074e-08	Minima
60179.0	8.15074541456589e-09	chr16	2.1544695445857898e-08	Minima
90292787.0	1.0503794939110464e-08	chr16	2.7764462202986286e-08	Minima
38731296.71428572	4.177453409818974e-09	chr16	1.1042175515992843e-08	Minima
55304632.87755102	1.0311285888289314e-08	chr16	2.725560704194777e-08	Maxima
7426106.183673469	1.668562794704775e-08	chr16	4.410477252787379e-08	Maxima
82926859.81632653	2.213410520864378e-08	chr16	5.850661889581366e-08	Maxima
81190321.0	6.7242339432092406e-09	chr17	1.7774027410333378e-08	Minima
51.0	8.519687840483942e-09	chr17	2.251991326940266e-08	Minima
41423658.14285714	4.154364131359328e-09	chr17	1.0981144107553964e-08	Minima
76219488.14285713	1.4001264847663867e-08	chr17	3.700925150485516e-08	Maxima
23197271.0	4.092663928772092e-08	chr17	1.0818053248242596e-07	Maxima
78017072.0	7.435637502646347e-09	chr18	1.9654465609247242e-08	Minima
10718.0	1.0768062345976354e-08	chr18	2.8462994730700555e-08	Minima
31850046.163265307	5.288314381273051e-09	chr18	1.3978491165098736e-08	Minima
73241172.7755102	1.3770840966704308e-08	chr18	3.640017686367515e-08	Maxima
15930382.081632653	3.1626585127956244e-08	chr18	8.359789318859576e-08	Maxima
64704.0	1.7124669274425013e-08	chr19	4.526528131638097e-08	Minima
59118782.0	1.2003642434307385e-08	chr19	3.172897782158281e-08	Minima
24168409.30612245	7.322639211374204e-09	chr19	1.935577958146259e-08	Minima
3680259.795918367	2.7039061812644053e-08	chr19	7.147178843963059e-08	Maxima
54298040.93877551	3.061391915500854e-08	chr19	8.092113433209262e-08	Maxima
249240538.0	3.0510113466723502e-09	chr1	8.0646746920157e-09	Minima
11007.0	3.777400073271836e-09	chr1	9.984722870912719e-09	Minima
76305761.3877551	2.811430689209985e-09	chr1	7.43139613438577e-09	Minima
188204734.48979592	2.3392365142859485e-09	chr1	6.183255115054429e-09	Minima
239067904.08163264	5.179943092757906e-09	chr1	1.3692035597248277e-08	Maxima
15269957.87755102	6.016632910553504e-09	chr1	1.5903640351194156e-08	Maxima
132255247.93877551	5.687723143494739e-09	chr1	1.5034240020301035e-08	Maxima
61097.0	1.4656528176637938e-08	chr20	3.874129540287173e-08	Minima
62963101.0	1.2431003129788744e-08	chr20	3.2858611439291174e-08	Minima
30870241.81632653	5.060015820028253e-09	chr20	1.3375034337216856e-08	Minima
5195954.469387755	2.3110120445501616e-08	chr20	6.108649962562282e-08	Maxima
57828243.530612245	2.4561445345518914e-08	chr20	6.49227564798713e-08	Maxima
9411244.0	2.1106652409036756e-08	chr21	5.5790774328644536e-08	Minima
31530323.42857143	1.5641197988554932e-08	chr21	4.1344052590523584e-08	Minima
48119633.0	1.322262993687332e-08	chr21	3.495110207639721e-08	Minima
17310915.224489797	2.8550685964157627e-08	chr21	7.54674330483756e-08	Maxima
42589863.14285715	3.887088143118516e-08	chr21	1.027465905940752e-07	Maxima
41188913.14285714	1.239081657096681e-08	chr22	3.275238714607642e-08	Minima
51244236.0	1.7661287339992858e-08	chr22	4.6683712662886274e-08	Minima
16050606.0	1.934914826656678e-08	chr22	5.114520026535918e-08	Minima
31133590.285714284	1.2024001684254683e-08	chr22	3.178279300256451e-08	Minima
36879489.06122449	2.4260825930427396e-08	chr22	6.412813544659938e-08	Maxima
48371286.6122449	3.836663736371949e-08	chr22	1.0141373276189285e-07	Maxima
19641792.734693877	4.26644624246662e-08	chr22	1.1277408415407336e-07	Maxima
153856102.51020408	2.827586754014828e-09	chr2	7.474101123699e-09	Minima
193558276.0612245	2.7502273981260152e-09	chr2	7.26961875089249e-09	Minima
243185993.0	3.475224735649444e-09	chr2	9.185989100049325e-09	Minima
10180.0	3.80414755389916e-09	chr2	1.0055423928883424e-08	Minima
99265613.87755102	2.7235704480654525e-09	chr2	7.199156990481726e-09	Minima
129042244.04081632	3.5822560285325124e-09	chr2	9.468902685378741e-09	Maxima
173707189.28571427	3.639875154072193e-09	chr2	9.621206118803448e-09	Maxima
233260449.61224487	5.158125415907157e-09	chr2	1.3634365386834698e-08	Maxima
9935723.387755102	5.896437727206331e-09	chr2	1.5585930928612244e-08	Maxima
197962380.0	4.833126809575746e-09	chr3	1.2775303345561086e-08	Minima
60196.0	5.597777116413683e-09	chr3	1.4796487561910769e-08	Minima
44487216.89795919	3.549941644400204e-09	chr3	9.383486747419632e-09	Minima
92953057.87755102	1.7662288858605252e-09	chr3	4.6686359956157e-09	Minima
189884739.8367347	7.117535952884046e-09	chr3	1.8813634413828387e-08	Maxima
8137836.1632653065	7.984707162156617e-09	chr3	2.1105809994457648e-08	Maxima
64681317.30612245	6.3239570644034045e-09	chr3	1.6715983880660744e-08	Maxima
191043880.0	4.177118096772022e-09	chr4	1.1041289190005688e-08	Minima
31199585.612244897	4.481543926787843e-09	chr4	1.1845971640499413e-08	Minima
10455.0	4.3495440661663735e-09	chr4	1.1497059160555794e-08	Minima
97476488.1632653	2.747727640043422e-09	chr4	7.263011192462122e-09	Minima
183246597.34693876	6.41457776241332e-09	chr4	1.695551968265324e-08	Maxima
7807737.653061224	7.102876014517332e-09	chr4	1.8774884104341175e-08	Maxima
50692792.244897954	1.6296491381353443e-08	chr4	4.3076175955620593e-08	Maxima
10042.0	5.643872282699523e-09	chr5	1.491832995406546e-08	Minima
180875400.0	5.323935282490452e-09	chr5	1.4072647150742015e-08	Minima
92288285.87755102	3.2291170114195356e-09	chr5	8.5354576828944e-09	Minima
