Start	End	Chromosome	Color
158946	26393389.1020408	chr10	telomeric
26393389.1020408	77481515.1428571	chr10	centromeric
77481515.1428571	105096718.408163	chr10	arm
105096718.408163	135473442	chr10	telomeric
241489	30481001.0612245	chr11	telomeric
30481001.0612245	74465745.877551	chr11	centromeric
74465745.877551	88210978.6326531	chr11	arm
88210978.6326531	134944770	chr11	telomeric
191619	23358895.4795918	chr12	telomeric
23358895.4795918	68330667.4693878	chr12	centromeric
68330667.4693878	84684039.1020408	chr12	arm
84684039.1020408	133744154	chr12	telomeric
19260565	58368447.8571429	chr13	arm
58368447.8571429	85743965.8571429	chr13	arm
85743965.8571429	115074878	chr13	telomeric
19035752	44249947.7142857	chr14	arm
44249947.7142857	82071241.2857143	chr14	arm
82071241.2857143	107285437	chr14	telomeric
20161372	47014354.5306122	chr15	arm
47014354.5306122	75545648.4693878	chr15	arm
75545648.4693878	102398631	chr15	telomeric
143503	23102138.7142857	chr16	telomeric
23102138.7142857	55244228.7142857	chr16	centromeric
55244228.7142857	68101064.7142857	chr16	arm
68101064.7142857	90141355	chr16	telomeric
6888	16546498.8163265	chr17	telomeric
16546498.8163265	33086109.6326531	chr17	centromeric
33086109.6326531	59549486.9387755	chr17	arm
59549486.9387755	81050981	chr17	telomeric
112535	12036317.7040816	chr18	telomeric
12036317.7040816	25549938.1020408	chr18	centromeric
25549938.1020408	36678801.9591837	chr18	arm
36678801.9591837	78014582	chr18	telomeric
261033	14660310.5510204	chr19	telomeric
14660310.5510204	33859347.2857143	chr19	centromeric
33859347.2857143	39859046.2653061	chr19	arm
39859046.2653061	59058083	chr19	telomeric
752721	74264167.0204082	chr1	telomeric
74264167.0204082	162984877.734694	chr1	centromeric
162984877.734694	188333652.22449	chr1	arm
188333652.22449	249170711	chr1	telomeric
69094	16740246.244898	chr20	telomeric
16740246.244898	43029370.9387755	chr20	centromeric
43029370.9387755	62906514	chr20	telomeric
14665973	24899288.3061225	chr21	arm
24899288.3061225	31039277.4897959	chr21	arm
31039277.4897959	48094803	chr21	telomeric
17087705	31023256.0204082	chr22	arm
31023256.0204082	41474919.2857143	chr22	arm
41474919.2857143	51229805	chr22	telomeric
118913	54653107	chr2	telomeric
54653107	69526069	chr2	arm
69526069	129017917	chr2	centromeric
129017917	193467419	chr2	arm
193467419	243043959	chr2	telomeric
108226	44488066.7755102	chr3	telomeric
44488066.7755102	64660721.6734694	chr3	arm
64660721.6734694	145351341.265306	chr3	centromeric
145351341.265306	161489465.183673	chr3	arm
161489465.183673	197800244	chr3	telomeric
167596	29366952.9387755	chr4	telomeric
29366952.9387755	81925795.4285714	chr4	centromeric
81925795.4285714	124751518.938776	chr4	arm
124751518.938776	190936728	chr4	telomeric
157856	27790760.6428571	chr5	telomeric
27790760.6428571	73845601.7142857	chr5	centromeric
73845601.7142857	95951925.4285714	chr5	arm
95951925.4285714	180692833	chr5	telomeric
183917	31554935.4285714	chr6	telomeric
31554935.4285714	42011941.5714286	chr6	arm
42011941.5714286	104753978.428571	chr6	centromeric
104753978.428571	118696653.285714	chr6	arm
118696653.285714	170981684	chr6	telomeric
46239	37379756.1530612	chr7	telomeric
37379756.1530612	81206058.8979592	chr7	centromeric
81206058.8979592	120162772.44898	chr7	arm
120162772.44898	159119486	chr7	telomeric
113565	28452046.7755102	chr8	telomeric
28452046.7755102	71705518.9591837	chr8	centromeric
71705518.9591837	110484494.020408	chr8	arm
110484494.020408	146280471	chr8	telomeric
212908	31824445.5714286	chr9	telomeric
31824445.5714286	86426192.2857143	chr9	centromeric
86426192.2857143	100795073	chr9	arm
100795073	141027939	chr9	telomeric
