Start	End	chromID	Chromosome	winID	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683	7877759	chr10p	chr10	chr10p0	telomeric	7817076	1.0	0.0	1.0	122.0	36.0	1.8522663520896664e-08	1.67676240934e-06
7877759	15694835	chr10p	chr10	chr10p1	arm	7817076	1.0	1.0	0.0	224.0	18.0	1.512750600180328e-08	1.55584646054e-06
15694835	23511911	chr10p	chr10	chr10p2	arm	7817076	1.0	1.0	0.0	82.0	30.0	1.0026225044059648e-08	1.73695539334e-06
23511911	31328987	chr10p	chr10	chr10p3	arm	7817076	0.0	0.0	0.0	292.0	140.0	1.0559735056013789e-08	2.03246956168e-06
31328987	39146063	chr10p	chr10	chr10p4	arm	7817076	1.0	0.0	1.0	588.0	100.0	5.206743283614697e-09	7.58386928034e-07
42364408	60996401	chr10q	chr10	chr10q0	arm	18631993	2.0	2.0	0.0	1694.0	938.0	7.113224674379989e-09	1.19767111541e-06
60996401	79628394	chr10q	chr10	chr10q1	arm	18631993	1.0	1.0	0.0	184.0	56.0	6.886805153644446e-09	1.128307765e-06
79628394	98260387	chr10q	chr10	chr10q2	arm	18631993	1.0	1.0	0.0	490.0	244.0	8.080236504645954e-09	1.46166529389e-06
98260387	116892380	chr10q	chr10	chr10q3	arm	18631993	0.0	0.0	0.0	128.0	12.0	6.891614065893247e-09	9.19624143247e-07
116892380	135524373	chr10q	chr10	chr10q4	telomeric	18631993	1.0	1.0	0.0	266.0	46.0	1.4352773593672795e-08	2.19240487572e-06
87267	10386778	chr11p	chr11	chr11p0	telomeric	10299511	1.0	0.0	1.0	730.0	100.0	1.5203663782675715e-08	1.85197686846e-06
10386778	20686289	chr11p	chr11	chr11p1	arm	10299511	0.0	0.0	0.0	158.0	22.0	1.1980490737608999e-08	1.75647340276e-06
20686289	30985800	chr11p	chr11	chr11p2	arm	10299511	1.0	1.0	0.0	34.0	0.0	7.924461959328716e-09	2.40834527739e-06
30985800	41285311	chr11p	chr11	chr11p3	arm	10299511	0.0	0.0	0.0	56.0	6.0	7.628476899233371e-09	1.36376747468e-06
41285311	51584822	chr11p	chr11	chr11p4	arm	10299511	0.0	0.0	0.0	538.0	318.0	4.8507121175678065e-09	8.38718111407e-07
54703204	70751854	chr11q	chr11	chr11q0	arm	16048650	2.0	2.0	0.0	750.0	236.0	4.8824246642210496e-09	7.95585015736e-07
70751854	86800504	chr11q	chr11	chr11q1	arm	16048650	1.0	0.0	1.0	788.0	84.0	7.050185535796667e-09	9.6193739906e-07
86800504	102849154	chr11q	chr11	chr11q2	arm	16048650	0.0	0.0	0.0	442.0	234.0	7.114028368868931e-09	1.96071947213e-06
102849154	118897804	chr11q	chr11	chr11q3	arm	16048650	0.0	0.0	0.0	208.0	40.0	7.567784065846104e-09	1.06176252429e-06
118897804	134946454	chr11q	chr11	chr11q4	telomeric	16048650	0.0	0.0	0.0	160.0	28.0	1.3902880859062883e-08	2.13895966194e-06
60316	6899246	chr12p	chr12	chr12p0	telomeric	6838930	0.0	0.0	0.0	124.0	24.0	1.8351352497737527e-08	1.94921074707e-06
6899246	13738176	chr12p	chr12	chr12p1	arm	6838930	0.0	0.0	0.0	622.0	134.0	1.3038825282685554e-08	2.26036726507e-06
13738176	20577106	chr12p	chr12	chr12p2	arm	6838930	0.0	0.0	0.0	98.0	16.0	8.404000988520117e-09	1.70660066016e-06
20577106	27416036	chr12p	chr12	chr12p3	arm	6838930	0.0	0.0	0.0	32.0	14.0	9.172021547323757e-09	1.16279833935e-06
27416036	34254966	chr12p	chr12	chr12p4	arm	6838930	0.0	0.0	0.0	134.0	44.0	4.803676915512168e-09	1.01702381721e-06
37911537	57097593	chr12q	chr12	chr12q0	arm	19186056	4.0	4.0	0.0	500.0	58.0	5.619462319708688e-09	8.75197749427e-07
57097593	76283649	chr12q	chr12	chr12q1	arm	19186056	3.0	2.0	1.0	194.0	18.0	6.010181279886555e-09	1.06492322569e-06
76283649	95469705	chr12q	chr12	chr12q2	arm	19186056	0.0	0.0	0.0	186.0	16.0	6.0036552008578505e-09	2.14151877425e-06
95469705	114655761	chr12q	chr12	chr12q3	arm	19186056	0.0	0.0	0.0	174.0	18.0	7.942947544469895e-09	9.59628213793e-07
114655761	133841817	chr12q	chr12	chr12q4	telomeric	19186056	0.0	0.0	0.0	124.0	80.0	1.5433483402205077e-08	1.81358025604e-06
19020094	38238046	chr13q	chr13	chr13q0	arm	19217952	0.0	0.0	0.0	864.0	192.0	1.3338317567077274e-08	1.84409700969e-06
38238046	57455998	chr13q	chr13	chr13q1	arm	19217952	0.0	0.0	0.0	672.0	152.0	7.049521645381265e-09	1.21049879163e-06
57455998	76673950	chr13q	chr13	chr13q2	arm	19217952	1.0	0.0	1.0	418.0	62.0	6.747723499034941e-09	1.89263955272e-06
76673950	95891902	chr13q	chr13	chr13q3	arm	19217952	1.0	0.0	1.0	198.0	4.0	5.81752405095674e-09	1.18677666189e-06
95891902	115109854	chr13q	chr13	chr13q4	telomeric	19217952	1.0	1.0	0.0	1842.0	1786.0	1.383223071574377e-08	1.65779765071e-06
19000058	36657934	chr14q	chr14	chr14q0	arm	17657876	2.0	1.0	1.0	780.0	96.0	1.4530717536160848e-08	1.82671014403e-06
36657934	54315810	chr14q	chr14	chr14q1	arm	17657876	1.0	1.0	0.0	320.0	4.0	5.965572557070496e-09	1.52866421852e-06
54315810	71973686	chr14q	chr14	chr14q2	arm	17657876	2.0	1.0	1.0	202.0	12.0	6.881660036000567e-09	1.1939444096e-06
