pos	val	Chromosome	valScaled
147774.0	6.775819478664947e-09	chr11	2.4452617034430295e-08
2898767.387755102	8.354750882678296e-09	chr11	3.015067393626219e-08
5649760.775510204	9.52222151031416e-09	chr11	3.436384877753623e-08
8400754.163265307	1.0185313220246806e-08	chr11	3.6756818025424645e-08
11151747.551020408	1.0393646113437448e-08	chr11	3.750865099100262e-08
13902740.93877551	1.0268643175833327e-08	chr11	3.705753965737916e-08
16653734.326530613	9.920404308074104e-09	chr11	3.5800813191062834e-08
19404727.714285713	9.41391768829957e-09	chr11	3.3973001310093123e-08
22155721.102040816	8.793604870586983e-09	chr11	3.173441277909187e-08
24906714.48979592	8.12155431312711e-09	chr11	2.9309112789756914e-08
27657707.87755102	7.47935900605531e-09	chr11	2.6991554602945664e-08
30408701.265306123	6.9283151122127746e-09	chr11	2.500294417025632e-08
33159694.653061226	6.469389513923041e-09	chr11	2.3346770782283072e-08
35910688.04081633	6.044357248227172e-09	chr11	2.181291185155709e-08
38661681.428571425	5.578084131522221e-09	chr11	2.0130222696077568e-08
41412674.81632653	5.0278114002997254e-09	chr11	1.81443952395697e-08
44163668.20408163	4.4091094524891545e-09	chr11	1.5911620025309e-08
46914661.591836736	3.792511919936743e-09	chr11	1.3686439237161802e-08
49665654.97959184	3.2794756086704168e-09	chr11	1.183499079116158e-08
52416648.367346935	2.9677031934755374e-09	chr11	1.070986467251801e-08
55167641.75510204	2.917365889372017e-09	chr11	1.0528207114540748e-08
57918635.14285714	3.132316609015728e-09	chr11	1.130392253099669e-08
60669628.530612245	3.564021143720419e-09	chr11	1.2861860385214828e-08
63420621.91836735	4.131850811398118e-09	chr11	1.4911047416869097e-08
66171615.30612245	4.745614598445422e-09	chr11	1.7126001767634422e-08
68922608.69387755	5.321521568099894e-09	chr11	1.9204338213987736e-08
71673602.08163266	5.792137949601665e-09	chr11	2.09027013689134e-08
74424595.46938775	6.113923383820538e-09	chr11	2.2063962529277473e-08
77175588.85714285	6.273305449898443e-09	chr11	2.263914146316595e-08
79926582.24489796	6.289608848629138e-09	chr11	2.2697977264027613e-08
82677575.63265306	6.2117174683331056e-09	chr11	2.2416882394446267e-08
85428569.02040817	6.104969634828551e-09	chr11	2.203165018745478e-08
88179562.40816326	6.028521695985043e-09	chr11	2.1755764417844493e-08
90930555.79591836	6.011994464544107e-09	chr11	2.169612084818667e-08
93681549.18367347	6.04659504293139e-09	chr11	2.1820987618197007e-08
96432542.57142857	6.100965615859011e-09	chr11	2.2017200460337782e-08
