track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	284807	50423.2200	1002.0000	158829.0000	57875.6118	5.6482	2.4978	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
HFNAHRinvs	genomicSuperDups_coords_normal.bed	284807	56317.1000	2339.0000	162411.0000	57933.6383	5.0571	2.3383	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	284807	46726.2300	0.0000	163142.0000	52988.5486	6.0951	2.6077	1.0000e-02	1.0000e-02	13	635527	2.7145e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	161.5385	44.8143	0.4393	0.4919
HFNHinvs	genomicSuperDups_coords_normal.bed	0	1231.2500	0.0000	3566.0000	1924.2854	0.0008	-10.2671	2.9000e-01	2.9000e-01	22	49999	2.1356e-03	4780	57896180	2.4729e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	284807	42857.0500	1095.0000	146838.0000	48567.1182	6.6454	2.7324	1.0000e-02	1.0000e-02	35	685526	2.9281e-02	4780	57896180	2.4729e+00	21	284807	1.2165e-02	60.0000	41.5458	0.4393	0.4919
invs	genomicSuperDups_coords_normal.bed	766948	126442.7400	54795.0000	267757.0000	58972.4103	6.0655	2.6006	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
LFinvs	genomicSuperDups_coords_normal.bed	483258	79949.0500	26282.0000	153608.0000	40778.5037	6.0445	2.5956	1.0000e-02	1.0000e-02	56	1891779	8.0804e-02	4780	57896180	2.4729e+00	32	483258	2.0641e-02	57.1429	25.5452	0.6695	0.8347
LFNAHRinvs	genomicSuperDups_coords_normal.bed	480974	74717.0700	13097.0000	170215.0000	52494.0455	6.4372	2.6864	1.0000e-02	1.0000e-02	16	1587204	6.7794e-02	4780	57896180	2.4729e+00	30	480974	2.0544e-02	187.5000	30.3032	0.6276	0.8308
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	6577.6700	0.0000	19803.0000	5940.9699	0.3473	-1.5256	3.1000e-01	3.1000e-01	40	304575	1.3009e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	5.0000	0.7499	0.0418	0.0039
NAHRinvs	genomicSuperDups_coords_normal.bed	764664	116711.0200	31712.0000	259618.0000	69139.0370	6.5517	2.7119	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NAHRno501invs	genomicSuperDups_coords_normal.bed	764664	127481.0500	28086.0000	289029.0000	69953.6871	5.9982	2.5845	1.0000e-02	1.0000e-02	28	2205054	9.4185e-02	4780	57896180	2.4729e+00	49	764664	3.2661e-02	175.0000	34.6778	1.0251	1.3208
NHinvs	genomicSuperDups_coords_normal.bed	2284	7490.3300	796.0000	18425.0000	6203.1332	0.3050	-1.7130	1.5000e-01	1.5000e-01	62	354574	1.5145e-02	4780	57896180	2.4729e+00	2	2284	9.7557e-05	3.2258	0.6442	0.0418	0.0039
no501invs	genomicSuperDups_coords_normal.bed	766948	129048.8200	40346.0000	251901.0000	66961.7121	5.9430	2.5712	1.0000e-02	1.0000e-02	90	2559628	1.0933e-01	4780	57896180	2.4729e+00	51	766948	3.2759e-02	56.6667	29.9633	1.0669	1.3247
