pos	val	Chromosome	valScaled
158946.0	7.2029169956925836e-09	chr10	1.9785920941570224e-06
2920466.326530612	1.0025694608497011e-08	chr10	2.753989821438655e-06
5681986.653061224	1.1960848855347727e-08	chr10	3.2855634736246964e-06
8443506.979591835	1.2610130097991225e-08	chr10	3.463916595609458e-06
11205027.306122448	1.2130332399168301e-08	chr10	3.3321194453363847e-06
13966547.632653061	1.093950856669194e-08	chr10	3.00500827330976e-06
16728067.959183672	9.472740387598523e-09	chr10	2.602097074298188e-06
19489588.285714284	8.141914969974648e-09	chr10	2.236528423210237e-06
22251108.612244897	7.26196497029308e-09	chr10	1.994812169411311e-06
25012628.93877551	6.871302320900605e-09	chr10	1.8874998083175172e-06
27774149.265306123	6.677008013028687e-09	chr10	1.8341284892081925e-06
30535669.591836732	6.266636334331743e-09	chr10	1.7214021924007631e-06
33297189.918367345	5.423820114082951e-09	chr10	1.489886334143782e-06
36058710.244897954	4.277316646935229e-09	chr10	1.174949663711697e-06
38820230.57142857	3.1841912886603265e-09	chr10	8.746755951504891e-07
41581750.89795918	2.479465974464665e-09	chr10	6.81092365459837e-07
44343271.22448979	2.302883735636709e-09	chr10	6.325864307222195e-07
47104791.551020406	2.5934376891758373e-09	chr10	7.12399616927527e-07
49866311.87755102	3.1689758840632164e-09	chr10	8.704960274471205e-07
52627832.20408163	3.798988018571247e-09	chr10	1.0435560570581825e-06
55389352.530612245	4.289491247979399e-09	chr10	1.1782939434514075e-06
58150872.85714285	4.582007544864861e-09	chr10	1.258646171968795e-06
60912393.183673464	4.778232850849327e-09	chr10	1.3125479230686042e-06
63673913.51020408	5.0524199212854145e-09	chr10	1.3878652382909427e-06
66435433.83673469	5.512971264423691e-09	chr10	1.51437554613313e-06
69196954.1632653	6.105423647991787e-09	chr10	1.6771181687391267e-06
71958474.48979591	6.654144259032936e-09	chr10	1.827847972172414e-06
74719994.81632653	7.0204627549108386e-09	chr10	1.928473160595513e-06
77481515.14285713	7.177276212178306e-09	chr10	1.9715487460829467e-06
80243035.46938775	7.13178551817533e-09	chr10	1.9590527631963146e-06
83004555.79591836	6.889748285254756e-09	chr10	1.8925667887175484e-06
85766076.12244898	6.5240141817538745e-09	chr10	1.7921021288883161e-06
88527596.44897959	6.16781200293975e-09	chr10	1.6942558236560613e-06
91289116.77551019	5.898772683109164e-09	chr10	1.620352560359745e-06
94050637.10204081	5.68351058819803e-09	chr10	1.5612215333858746e-06
