Start	End	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946.0	44343271.22448979	chr10	44184325.22448979	4.0	2.0	2.0	1800.0	398.0	1.6183926069364454e-06	0.000573958
44343271.22448979	105096718.40816326	chr10	60753447.18367347	4.0	4.0	0.0	1898.0	1168.0	1.2479094043099763e-06	0.000270003
105096718.40816326	135473442.0	chr10	30376723.591836736	1.0	1.0	0.0	200.0	40.0	1.8646818587620624e-06	0.000738505
241489.0	52473373.46938776	chr11	52231884.46938776	2.0	1.0	1.0	1342.0	444.0	1.3837748296320275e-06	0.000622663
52473373.46938776	88210978.63265306	chr11	35737605.163265295	3.0	2.0	1.0	1540.0	320.0	1.1877183864336102e-06	0.000360523
88210978.63265306	134944770.0	chr11	46733791.36734694	0.0	0.0	0.0	808.0	302.0	1.5813607717134295e-06	0.000422574
191619.0	38349486.14285714	chr12	38157867.14285714	0.0	0.0	0.0	1106.0	238.0	1.5024383157128184e-06	0.000570972
38349486.14285714	84684039.10204081	chr12	46334552.95918367	7.0	6.0	1.0	678.0	80.0	1.1628706047554803e-06	0.000755878
84684039.10204081	133744154.0	chr12	49060114.89795919	0.0	0.0	0.0	456.0	110.0	1.730873107238045e-06	0.000535067
19260565.0	58368447.85714286	chr13	39107882.85714286	0.0	0.0	0.0	1396.0	348.0	1.6325676930448123e-06	0.000539701
58368447.85714286	85743965.85714287	chr13	27375518.000000007	2.0	0.0	2.0	464.0	62.0	1.2400002563214717e-06	0.000591373
85743965.85714287	115074878.0	chr13	29330912.142857134	1.0	1.0	0.0	1974.0	1786.0	1.795573635245197e-06	0.000404405
19035752.0	44249947.71428572	chr14	25214195.714285716	2.0	1.0	1.0	804.0	96.0	1.6218336933406745e-06	0.000550193
44249947.71428572	65862115.46938776	chr14	21612167.755102046	3.0	2.0	1.0	410.0	10.0	1.200353368731583e-06	0.000391554
65862115.46938776	82071241.28571428	chr14	16209125.816326521	0.0	0.0	0.0	250.0	24.0	1.400974827952736e-06	0.000244456
82071241.28571428	107285437.0	chr14	25214195.714285716	1.0	0.0	1.0	486.0	170.0	1.8263279152495121e-06	0.000335047
20161372.0	45336043.12244898	chr15	25174671.12244898	0.0	0.0	0.0	3388.0	2046.0	1.4910677892435592e-06	0.000741714
45336043.12244898	75545648.46938775	chr15	30209605.346938774	0.0	0.0	0.0	726.0	226.0	1.5559767061130823e-06	0.000530072
75545648.46938775	102398631.0	chr15	26852982.530612245	0.0	0.0	0.0	2676.0	1988.0	2.0157865209898423e-06	0.000518231
143503.0	38714011.0	chr16	38570508.0	3.0	1.0	2.0	5116.0	2670.0	1.3603538716389218e-06	0.000813969
38714011.0	69937755.57142857	chr16	31223744.571428567	1.0	1.0	0.0	514.0	78.0	1.8857121415344417e-06	0.000443129
69937755.57142857	90141355.0	chr16	20203599.428571433	2.0	1.0	1.0	430.0	298.0	2.1462191022817294e-06	0.00036847
6888.0	23162343.14285714	chr17	23155455.14285714	3.0	2.0	1.0	1154.0	650.0	1.9503913283464245e-06	0.00046081
23162343.14285714	43009876.12244898	chr17	19847532.97959184	1.0	0.0	1.0	1458.0	836.0	1.698954132230892e-06	0.000309411
43009876.12244898	61203448.02040816	chr17	18193571.89795918	2.0	0.0	2.0	736.0	490.0	1.553511414291675e-06	0.000326254
61203448.02040816	81050981.0	chr17	19847532.97959184	0.0	0.0	0.0	398.0	314.0	2.1038146038894543e-06	0.00037093
112535.0	17600749.63265306	chr18	17488214.63265306	1.0	1.0	0.0	854.0	80.0	2.274661979948804e-06	0.000548105
17600749.63265306	38268639.653061226	chr18	20667890.020408165	0.0	0.0	0.0	208.0	8.0	1.4645332290973517e-06	0.000414632
38268639.653061226	50987341.20408163	chr18	12718701.551020406	0.0	0.0	0.0	54.0	10.0	1.443960670624858e-06	0.000381864
50987341.20408163	78014582.0	chr18	27027240.795918368	0.0	0.0	0.0	196.0	58.0	1.8138083256543056e-06	0.000926375
261033.0	12260430.959183674	chr19	11999397.959183674	0.0	0.0	0.0	316.0	120.0	2.1565252536948885e-06	0.000276307
12260430.959183674	25459768.714285716	chr19	13199337.755102042	1.0	1.0	0.0	488.0	238.0	1.5470469206179704e-06	0.00026468
25459768.714285716	39859046.26530612	chr19	14399277.551020406	0.0	0.0	0.0	584.0	102.0	2.0974100419446267e-06	0.000346295
39859046.26530612	59058083.0	chr19	19199036.734693877	0.0	0.0	0.0	964.0	644.0	2.09770300391781e-06	0.000253843
752721.0	137636103.24489796	chr1	136883382.24489796	4.0	4.0	0.0	2826.0	1424.0	1.23283199957247e-06	0.000618337
137636103.24489796	183263897.32653064	chr1	45627794.081632674	3.0	1.0	2.0	3940.0	2354.0	1.2377388826636103e-06	0.000792347
183263897.32653064	249170711.0	chr1	65906813.673469365	3.0	3.0	0.0	1512.0	368.0	1.557793907363307e-06	0.000472283
69094.0	28281813.18367347	chr20	28212719.18367347	2.0	0.0	2.0	516.0	84.0	1.8572558224723797e-06	0.000408424
