Start	End	Chromosome	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946.0	22251108.6122449	chr10	telomeric	22092162.6122449	3.0	2.0	1.0	340.0	80.0	1.8557883553819092e-06	0.00055652
22251108.6122449	27774149.2653061	chr10	arm	5523040.6530612	0.0	0.0	0.0	200.0	116.0	1.4658033514553725e-06	0.000259137
27774149.2653061	58150872.8571429	chr10	centromeric	30376723.591836803	2.0	1.0	1.0	2350.0	1048.0	1.215003046249615e-06	0.000573958
58150872.8571429	105096718.408163	chr10	arm	46945845.55102009	3.0	3.0	0.0	808.0	322.0	1.306162299530332e-06	0.000267259
105096718.408163	135473442.0	chr10	telomeric	30376723.591837004	1.0	1.0	0.0	200.0	40.0	1.8646818587620624e-06	0.000738505
241489.0	30481001.0612245	chr11	telomeric	30239512.0612245	2.0	1.0	1.0	748.0	120.0	1.5916772962259077e-06	0.000622663
30481001.0612245	35979094.1632653	chr11	arm	5498093.102040801	0.0	0.0	0.0	50.0	6.0	1.8190627497567144e-06	0.000218966
35979094.1632653	71716699.3265306	chr11	centromeric	35737605.1632653	3.0	2.0	1.0	1788.0	624.0	1.0626085174876082e-06	0.000549072
71716699.3265306	101956211.387755	chr11	arm	30239512.0612244	0.0	0.0	0.0	730.0	246.0	1.1650258827827077e-06	0.000390635
101956211.387755	134944770.0	chr11	telomeric	32988558.612244993	0.0	0.0	0.0	374.0	70.0	1.7505277488743028e-06	0.000422574
191619.0	19270552.5714286	chr12	telomeric	19078933.5714286	0.0	0.0	0.0	768.0	168.0	1.5532766466925032e-06	0.000326948
19270552.5714286	21996114.5102041	chr12	arm	2725561.9387754984	0.0	0.0	0.0	38.0	2.0	1.9616395295017494e-06	0.000570972
21996114.5102041	51977295.8367347	chr12	centromeric	29981181.326530598	4.0	4.0	0.0	508.0	104.0	1.2247429335664125e-06	0.000755878
51977295.8367347	120116344.306122	chr12	arm	68139048.46938731	3.0	2.0	1.0	816.0	78.0	1.4334384307712864e-06	0.000535067
120116344.306122	133744154.0	chr12	telomeric	13627809.693877995	0.0	0.0	0.0	110.0	76.0	1.963383060861151e-06	0.000211655
19260565.0	38814506.4285714	chr13	arm	19553941.428571403	0.0	0.0	0.0	720.0	192.0	2.078139637461619e-06	0.00043651
38814506.4285714	85743965.8571429	chr13	arm	46929459.42857149	2.0	0.0	2.0	1140.0	218.0	1.2180057341669393e-06	0.000591373
85743965.8571429	115074878.0	chr13	telomeric	29330912.142857105	1.0	1.0	0.0	1974.0	1786.0	1.795573635245197e-06	0.000404405
19035752.0	29841835.877551	chr14	arm	10806083.877551	1.0	1.0	0.0	748.0	92.0	2.1129759841021743e-06	0.000550193
29841835.877551	82071241.2857143	chr14	arm	52229405.408163294	4.0	2.0	2.0	716.0	38.0	1.277159665463091e-06	0.000391554
82071241.2857143	107285437.0	chr14	telomeric	25214195.7142857	1.0	0.0	1.0	486.0	170.0	1.8263279152495121e-06	0.000335047
20161372.0	30231240.4489796	chr15	arm	10069868.448979601	0.0	0.0	0.0	2080.0	1062.0	1.4998113568835724e-06	0.000327247
30231240.4489796	83937205.5102041	chr15	arm	53705965.061224505	0.0	0.0	0.0	3478.0	2286.0	1.4962087112637543e-06	0.000741714
83937205.5102041	102398631.0	chr15	telomeric	18461425.489795893	0.0	0.0	0.0	1232.0	912.0	2.339784259851408e-06	0.000518231
143503.0	16673720.7142857	chr16	telomeric	16530217.7142857	0.0	0.0	0.0	1152.0	818.0	1.73508428136364e-06	0.000314416
16673720.7142857	24020484.1428571	chr16	arm	7346763.428571401	1.0	0.0	1.0	622.0	584.0	2.030430581185698e-06	0.000703492
24020484.1428571	55244228.7142857	chr16	centromeric	31223744.5714286	3.0	2.0	1.0	3768.0	1312.0	1.3144615570554528e-06	0.000813969
55244228.7142857	68101064.7142857	chr16	arm	12856836.0	0.0	0.0	0.0	86.0	34.0	1.6680971588797022e-06	0.000418604
68101064.7142857	90141355.0	chr16	telomeric	22040290.2857143	2.0	1.0	1.0	432.0	298.0	2.0196525344155695e-06	0.00036847
6888.0	17373479.3571429	chr17	telomeric	17366591.3571429	2.0	2.0	0.0	424.0	256.0	2.54182784321802e-06	0.00046081
17373479.3571429	33086109.6326531	chr17	centromeric	15712630.2755102	2.0	0.0	2.0	1446.0	750.0	1.2632780634803333e-06	0.000311584
33086109.6326531	61203448.0204082	chr17	arm	28117338.3877551	2.0	0.0	2.0	1478.0	970.0	1.554140619344895e-06	0.000326254
61203448.0204082	81050981.0	chr17	telomeric	19847532.9795918	0.0	0.0	0.0	398.0	314.0	2.1038146038894543e-06	0.00037093
112535.0	12831236.5510204	chr18	telomeric	12718701.5510204	1.0	1.0	0.0	180.0	32.0	2.9707404583581833e-06	0.000548105
12831236.5510204	23960100.4081633	chr18	centromeric	11128863.857142901	0.0	0.0	0.0	714.0	52.0	1.1607368641288393e-06	0.000154577
23960100.4081633	63706042.755102	chr18	arm	39745942.3469387	0.0	0.0	0.0	338.0	22.0	1.521141040642893e-06	0.000414632
63706042.755102	78014582.0	chr18	telomeric	14308539.244897999	0.0	0.0	0.0	80.0	50.0	1.8904539753621084e-06	0.000926375
261033.0	12260430.9591837	chr19	telomeric	11999397.9591837	0.0	0.0	0.0	316.0	120.0	2.1565252536948885e-06	0.000276307
12260430.9591837	17060190.1428571	chr19	arm	4799759.1836734	0.0	0.0	0.0	112.0	42.0	2.4488899537839254e-06	0.000222377
17060190.1428571	33859347.2857143	chr19	centromeric	16799157.142857198	1.0	1.0	0.0	436.0	202.0	1.5281020207175205e-06	0.000346295
33859347.2857143	39859046.2653061	chr19	arm	5999698.979591802	0.0	0.0	0.0	524.0	96.0	1.9761581088445227e-06	0.000233224
