track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3438614	937139.3100	556798.0000	1378974.0000	281323.7617	3.6693	1.8755	1.0000e-02	1.0000e-02	24	8545109	1.1326e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	183.3333	40.2407	1.4103	3.3411
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3438614	897114.2300	489366.0000	1394311.0000	295332.9115	3.8330	1.9385	1.0000e-02	1.0000e-02	17	8408023	1.1144e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	258.8235	40.8968	1.4103	3.3411
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1577386	396775.2100	165446.0000	735757.0000	170285.8952	3.9755	1.9911	1.0000e-02	1.0000e-02	16	2756914	3.6541e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	200.0000	57.2156	1.0256	1.5327
HFNHinvs	genomicSuperDups_coords_normal.bed	0	13425.5500	0.0000	31739.0000	11297.1913	0.0001	-13.7128	1.2000e-01	1.2000e-01	7	137086	1.8170e-02	3120	102917743	1.3641e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1577386	425527.1400	193473.0000	774274.0000	185878.0789	3.7069	1.8902	1.0000e-02	1.0000e-02	23	2894000	3.8358e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	139.1304	54.5054	1.0256	1.5327
invs	genomicSuperDups_coords_normal.bed	4350680	1202569.9800	680832.0000	1787593.0000	344274.3018	3.6178	1.8551	1.0000e-02	1.0000e-02	43	10420801	1.3812e+00	3120	102917743	1.3641e+01	80	4350680	5.7665e-01	186.0465	41.7500	2.5641	4.2273
LFinvs	genomicSuperDups_coords_normal.bed	912066	297590.7600	110730.0000	654554.0000	162561.7921	3.0648	1.6158	1.0000e-02	1.0000e-02	20	1887075	2.5012e-01	3120	102917743	1.3641e+01	36	912066	1.2089e-01	180.0000	48.3323	1.1538	0.8862
LFNAHRinvs	genomicSuperDups_coords_normal.bed	714526	140217.6000	10055.0000	417262.0000	118949.6137	5.0958	2.3493	1.0000e-02	1.0000e-02	10	1028605	1.3633e-01	3120	102917743	1.3641e+01	23	714526	9.4705e-02	230.0000	69.4655	0.7372	0.6943
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	113838.7600	1805.0000	420839.0000	136798.6471	1.7353	0.7951	2.1000e-01	2.1000e-01	10	858470	1.1378e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	130.0000	23.0107	0.4167	0.1919
NAHRinvs	genomicSuperDups_coords_normal.bed	4153140	1116581.8000	651588.0000	1780755.0000	335644.2573	3.7195	1.8951	1.0000e-02	1.0000e-02	27	9436628	1.2508e+00	3120	102917743	1.3641e+01	67	4153140	5.5047e-01	248.1481	44.0108	2.1474	4.0354
NAHRno501invs	genomicSuperDups_coords_normal.bed	2291912	512530.5300	253352.0000	808635.0000	183627.5022	4.4718	2.1608	1.0000e-02	1.0000e-02	26	3785519	5.0174e-01	3120	102917743	1.3641e+01	55	2291912	3.0378e-01	211.5385	60.5442	1.7628	2.2269
NHinvs	genomicSuperDups_coords_normal.bed	197540	98733.7500	2983.0000	403594.0000	120690.3304	2.0007	1.0005	1.5000e-01	1.5000e-01	16	984173	1.3044e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	81.2500	20.0717	0.4167	0.1919
no501invs	genomicSuperDups_coords_normal.bed	2489452	631537.8000	271264.0000	1033971.0000	247472.1498	3.9419	1.9789	1.0000e-02	1.0000e-02	42	4769692	6.3219e-01	3120	102917743	1.3641e+01	68	2489452	3.2996e-01	161.9048	52.1931	2.1795	2.4189
