track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	20619	2552.2600	0.0000	14270.0000	3887.0964	8.0759	3.0136	1.0000e-02	1.0000e-02	27	134912	6.5273e-03	4239	46406919	2.2453e+00	6	20619	9.9759e-04	22.2222	15.2833	0.1415	0.0444
HFNAHRinvs	genomicSuperDups_coords_normal.bed	20619	1629.7100	0.0000	14047.0000	4239.1174	12.6448	3.6605	1.0000e-02	1.0000e-02	7	90449	4.3761e-03	4239	46406919	2.2453e+00	6	20619	9.9759e-04	85.7143	22.7963	0.1415	0.0444
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	20619	1150.0900	0.0000	14047.0000	3638.8690	17.9135	4.1630	1.0000e-02	1.0000e-02	7	90449	4.3761e-03	4239	46406919	2.2453e+00	6	20619	9.9759e-04	85.7143	22.7963	0.1415	0.0444
HFNHinvs	genomicSuperDups_coords_normal.bed	0	555.5400	0.0000	1783.0000	756.1695	0.0018	-9.1203	5.0000e-01	5.0000e-01	20	44463	2.1512e-03	4239	46406919	2.2453e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	20619	2002.8700	0.0000	4747.0000	2026.3860	10.2901	3.3632	1.0000e-02	1.0000e-02	27	134912	6.5273e-03	4239	46406919	2.2453e+00	6	20619	9.9759e-04	22.2222	15.2833	0.1415	0.0444
invs	genomicSuperDups_coords_normal.bed	391154	59762.8000	20854.0000	122375.0000	29782.8137	6.5450	2.7104	1.0000e-02	1.0000e-02	78	1762216	8.5260e-02	4239	46406919	2.2453e+00	28	391154	1.8925e-02	35.8974	22.1967	0.6605	0.8429
LFinvs	genomicSuperDups_coords_normal.bed	371652	58007.7700	17043.0000	118984.0000	31662.2757	6.4068	2.6796	1.0000e-02	1.0000e-02	52	1644981	7.9588e-02	4239	46406919	2.2453e+00	24	371652	1.7981e-02	46.1538	22.5931	0.5662	0.8009
LFNAHRinvs	genomicSuperDups_coords_normal.bed	369368	49609.5600	3843.0000	116794.0000	36795.8465	7.4454	2.8963	1.0000e-02	1.0000e-02	12	1340406	6.4852e-02	4239	46406919	2.2453e+00	22	369368	1.7871e-02	183.3333	27.5564	0.5190	0.7959
LFNHinvs	genomicSuperDups_coords_normal.bed	2284	6353.7800	0.0000	19546.0000	5536.3647	0.3596	-1.4756	2.4000e-01	2.4000e-01	40	304575	1.4736e-02	4239	46406919	2.2453e+00	2	2284	1.1050e-04	5.0000	0.7499	0.0472	0.0049
NAHRinvs	genomicSuperDups_coords_normal.bed	388870	51193.6400	6547.0000	125776.0000	34834.3231	7.5959	2.9252	1.0000e-02	1.0000e-02	18	1413178	6.8372e-02	4239	46406919	2.2453e+00	26	388870	1.8814e-02	144.4444	27.5174	0.6134	0.8380
NAHRno501invs	genomicSuperDups_coords_normal.bed	388870	54594.1200	7843.0000	117453.0000	34885.3511	7.1228	2.8324	1.0000e-02	1.0000e-02	18	1413178	6.8372e-02	4239	46406919	2.2453e+00	26	388870	1.8814e-02	144.4444	27.5174	0.6134	0.8380
NHinvs	genomicSuperDups_coords_normal.bed	2284	8064.6300	1310.0000	18657.0000	5886.8804	0.2833	-1.8196	1.2000e-01	1.2000e-01	60	349038	1.6887e-02	4239	46406919	2.2453e+00	2	2284	1.1050e-04	3.3333	0.6544	0.0472	0.0049
no501invs	genomicSuperDups_coords_normal.bed	391154	51919.0800	14176.0000	108165.0000	28430.9724	7.5338	2.9134	1.0000e-02	1.0000e-02	78	1762216	8.5260e-02	4239	46406919	2.2453e+00	28	391154	1.8925e-02	35.8974	22.1967	0.6605	0.8429
