pos	val	Chromosome	valScaled	Type
105096718.40816326	5.5646529970545785e-09	chr10	1.8925364251232797e-06	Minima
135473442.0	4.0960750180444684e-09	chr10	1.3930735979026617e-06	Minima
44343271.22448979	3.353112028035916e-09	chr10	1.1403921599308885e-06	Minima
158946.0	3.2936544564943342e-09	chr10	1.1201706618516053e-06	Minima
77481515.14285713	7.27966058889978e-09	chr10	2.475809872478935e-06	Maxima
121665840.36734693	1.142703644962396e-08	chr10	3.886330867993319e-06	Maxima
11205027.306122448	1.088401393257296e-08	chr10	3.70164911088733e-06	Maxima
88210978.63265306	4.642759427238332e-09	chr11	1.5790007631713714e-06	Minima
241489.0	4.041569662612839e-09	chr11	1.374536346689828e-06	Minima
134944770.0	3.833925171198115e-09	chr11	1.303916531997597e-06	Minima
52473373.469387755	2.6315773867275485e-09	chr11	8.949984954225834e-07	Minima
71716699.3265306	7.665978517611706e-09	chr11	2.6071964570786372e-06	Maxima
19484814.85714286	9.596630619031592e-09	chr11	3.2638105223423553e-06	Maxima
121199537.24489796	1.197618305364813e-08	chr11	4.073095424812691e-06	Maxima
84684039.10204081	4.177214099239603e-09	chr12	1.4206689693919725e-06	Minima
133744154.0	5.782510502572804e-09	chr12	1.9666296821328315e-06	Minima
38349486.14285714	3.500735044844448e-09	chr12	1.1905986933202324e-06	Minima
191619.0	2.7890774763172645e-09	chr12	9.485642176098413e-07	Minima
51977295.83673469	7.362025021630277e-09	chr12	2.5038219855719866e-06	Maxima
125567468.18367346	1.043956227061694e-08	chr12	3.5504912651234403e-06	Maxima
13819428.69387755	9.676146406704026e-09	chr12	3.290853812305288e-06	Maxima
85743965.85714287	5.560298852713383e-09	chr13	1.8910555822440709e-06	Minima
19260565.0	8.163951339612386e-09	chr13	2.7765568295684504e-06	Minima
115074878.0	5.131176715043282e-09	chr13	1.7451113020171994e-06	Minima
58368447.85714286	4.9118812761470425e-09	chr13	1.670529004397886e-06	Minima
74011601.0	1.1792025195169676e-08	chr13	4.010463405290962e-06	Maxima
25126747.42857143	1.563863067820809e-08	chr13	5.318692506653152e-06	Maxima
105297907.28571428	1.741794299018828e-08	chr13	5.923835965531042e-06	Maxima
65862115.469387755	8.619748289900829e-09	chr14	2.9315732036959247e-06	Minima
82071241.28571428	8.5043995953731e-09	chr14	2.892343155371313e-06	Minima
19035752.0	9.541930409645998e-09	chr14	3.2452070013718828e-06	Minima
44249947.71428572	4.170633666841845e-09	chr14	1.4184309667685546e-06	Minima
107285437.0	3.2835963961678676e-09	chr14	1.1167499192565144e-06	Minima
56857045.57142857	1.1048900348728581e-08	chr14	3.7577269200063755e-06	Maxima
74867185.36734694	1.1829604925991817e-08	chr14	4.0232442578373605e-06	Maxima
22637779.959183674	1.5479089330135493e-08	chr14	5.264432553211224e-06	Maxima
94678339.14285713	1.9769844268884515e-08	chr14	6.72371672010507e-06	Maxima
