Start	End	chromID	Chromosome	winID
60683	7877759	chr10p	chr10	chr10p0
7877759	15694835	chr10p	chr10	chr10p1
15694835	23511911	chr10p	chr10	chr10p2
23511911	31328987	chr10p	chr10	chr10p3
31328987	39146063	chr10p	chr10	chr10p4
42364408	60996401	chr10q	chr10	chr10q0
60996401	79628394	chr10q	chr10	chr10q1
79628394	98260387	chr10q	chr10	chr10q2
98260387	116892380	chr10q	chr10	chr10q3
116892380	135524373	chr10q	chr10	chr10q4
87267	10386778	chr11p	chr11	chr11p0
10386778	20686289	chr11p	chr11	chr11p1
20686289	30985800	chr11p	chr11	chr11p2
30985800	41285311	chr11p	chr11	chr11p3
41285311	51584822	chr11p	chr11	chr11p4
54703204	70751854	chr11q	chr11	chr11q0
70751854	86800504	chr11q	chr11	chr11q1
86800504	102849154	chr11q	chr11	chr11q2
102849154	118897804	chr11q	chr11	chr11q3
118897804	134946454	chr11q	chr11	chr11q4
60316	6899246	chr12p	chr12	chr12p0
6899246	13738176	chr12p	chr12	chr12p1
13738176	20577106	chr12p	chr12	chr12p2
20577106	27416036	chr12p	chr12	chr12p3
27416036	34254966	chr12p	chr12	chr12p4
37911537	57097593	chr12q	chr12	chr12q0
57097593	76283649	chr12q	chr12	chr12q1
76283649	95469705	chr12q	chr12	chr12q2
95469705	114655761	chr12q	chr12	chr12q3
114655761	133841817	chr12q	chr12	chr12q4
19020094	38238046	chr13q	chr13	chr13q0
38238046	57455998	chr13q	chr13	chr13q1
57455998	76673950	chr13q	chr13	chr13q2
76673950	95891902	chr13q	chr13	chr13q3
95891902	115109854	chr13q	chr13	chr13q4
19000058	36657934	chr14q	chr14	chr14q0
36657934	54315810	chr14q	chr14	chr14q1
54315810	71973686	chr14q	chr14	chr14q2
71973686	89631562	chr14q	chr14	chr14q3
89631562	107289438	chr14q	chr14	chr14q4
20000446	36504521	chr15q	chr15	chr15q0
36504521	53008596	chr15q	chr15	chr15q1
53008596	69512671	chr15q	chr15	chr15q2
69512671	86016746	chr15q	chr15	chr15q3
86016746	102520821	chr15q	chr15	chr15q4
60179	7104554	chr16p	chr16	chr16p0
7104554	14148929	chr16p	chr16	chr16p1
14148929	21193304	chr16p	chr16	chr16p2
21193304	28237679	chr16p	chr16	chr16p3
28237679	35282054	chr16p	chr16	chr16p4
46397335	55176426	chr16q	chr16	chr16q0
55176426	63955517	chr16q	chr16	chr16q1
63955517	72734608	chr16q	chr16	chr16q2
72734608	81513699	chr16q	chr16	chr16q3
81513699	90292790	chr16q	chr16	chr16q4
51	4450668	chr17p	chr17	chr17p0
4450668	8901285	chr17p	chr17	chr17p1
8901285	13351902	chr17p	chr17	chr17p2
13351902	17802519	chr17p	chr17	chr17p3
