Start	End	chromID	Chromosome
60683	39146059	chr10p	chr10
39146059	42364408	chr10cen	chr10
42364408	135524372	chr10q	chr10
87267	51584820	chr11p	chr11
51584820	54703204	chr11cen	chr11
54703204	134946450	chr11q	chr11
60316	34254965	chr12p	chr12
34254965	37911537	chr12cen	chr12
37911537	133841814	chr12q	chr12
19020094	115109851	chr13q	chr13
19000058	107289435	chr14q	chr14
20000446	102520821	chr15q	chr15
60179	35282051	chr16p	chr16
35282051	46397335	chr16cen	chr16
46397335	90292787	chr16q	chr16
51	22253133	chr17p	chr17
22253133	25269196	chr17cen	chr17
25269196	81190321	chr17q	chr17
10718	15405047	chr18p	chr18
15405047	18522589	chr18cen	chr18
18522589	78017072	chr18q	chr18
64704	24613905	chr19p	chr19
24613905	27743297	chr19cen	chr19
27743297	59118782	chr19q	chr19
11007	121475771	chr1p	chr1
121475771	142542466	chr1cen	chr1
142542466	249240538	chr1q	chr1
61097	26295672	chr20p	chr20
26295672	29432184	chr20cen	chr20
29432184	62963101	chr20q	chr20
9411244	11178326	chr21p	chr21
11178326	14350663	chr21cen	chr21
14350663	48119633	chr21q	chr21
16050606	51244236	chr22q	chr22
10180	92321493	chr2p	chr2
92321493	95328622	chr2cen	chr2
95328622	243185993	chr2q	chr2
60196	90483647	chr3p	chr3
90483647	93654937	chr3cen	chr3
93654937	197962380	chr3q	chr3
10455	49649681	chr4p	chr4
49649681	52662670	chr4cen	chr4
52662670	191043880	chr4q	chr4
10042	46405052	chr5p	chr5
46405052	49415504	chr5cen	chr5
49415504	180875400	chr5q	chr5
63978	58770404	chr6p	chr6
58770404	61883737	chr6cen	chr6
61883737	171053405	chr6q	chr6
16863	58044258	chr7p	chr7
58044258	61059303	chr7cen	chr7
61059303	159128566	chr7q	chr7
11739	43828503	chr8p	chr8
43828503	46848150	chr8cen	chr8
46848150	146303787	chr8q	chr8
10468	47217053	chr9p	chr9
47217053	65485592	chr9cen	chr9
65485592	141146682	chr9q	chr9
