Start	End	chromID	Chromosome
60683	39154727	chr10p	chr10
39154727	42354984	chr10cen	chr10
42354984	135524372	chr10q	chr10
87267	51592477	chr11p	chr11
51592477	54695472	chr11cen	chr11
54695472	134946450	chr11q	chr11
60316	34254965	chr12p	chr12
34254965	37905412	chr12cen	chr12
37905412	133841814	chr12q	chr12
19020094	115109851	chr13q	chr13
19000058	107289435	chr14q	chr14
20000446	102520821	chr15q	chr15
60179	35285130	chr16p	chr16
35285130	46387351	chr16cen	chr16
46387351	90292787	chr16q	chr16
51	22262800	chr17p	chr17
22262800	25264112	chr17cen	chr17
25264112	81190321	chr17q	chr17
10718	15410026	chr18p	chr18
15410026	18513835	chr18cen	chr18
18513835	78017072	chr18q	chr18
64704	24620660	chr19p	chr19
24620660	27733341	chr19cen	chr19
27733341	59118782	chr19q	chr19
11007	121485142	chr1p	chr1
121485142	142535438	chr1cen	chr1
142535438	249240538	chr1q	chr1
61097	26305666	chr20p	chr20
26305666	29426955	chr20cen	chr20
29426955	62963101	chr20q	chr20
9411244	11184362	chr21p	chr21
11184362	14349718	chr21cen	chr21
14349718	48119633	chr21q	chr21
16050606	51244236	chr22q	chr22
10180	92326042	chr2p	chr2
92326042	95326998	chr2cen	chr2
95326998	243185993	chr2q	chr2
60196	90485636	chr3p	chr3
90485636	93652493	chr3cen	chr3
93652493	197962380	chr3q	chr3
10455	49659381	chr4p	chr4
49659381	52662544	chr4cen	chr4
52662544	191043880	chr4q	chr4
10042	46405066	chr5p	chr5
46405066	49405662	chr5cen	chr5
49405662	180875400	chr5q	chr5
63978	58780038	chr6p	chr6
58780038	61880511	chr6cen	chr6
61880511	171053405	chr6q	chr6
16863	58054067	chr7p	chr7
58054067	61054484	chr7cen	chr7
61054484	159128566	chr7q	chr7
11739	43838481	chr8p	chr8
43838481	46839507	chr8cen	chr8
46839507	146303787	chr8q	chr8
10468	47226134	chr9p	chr9
47226134	65485581	chr9cen	chr9
65485581	141146682	chr9q	chr9
