pos	val	Chromosome
0.0	5.339039686174483e-09	chr1
5086747.367346939	6.0797298178136716e-09	chr1
10173494.734693877	6.302913334885787e-09	chr1
15260242.102040816	6.0306369615944554e-09	chr1
20346989.469387755	5.3614972609210825e-09	chr1
25433736.836734693	4.442852379061059e-09	chr1
30520484.204081632	3.461938572644022e-09	chr1
35607231.57142857	2.603272332668283e-09	chr1
40693978.93877551	1.9802281593743206e-09	chr1
45780726.30612245	1.5995804443047398e-09	chr1
50867473.67346939	1.388832895403882e-09	chr1
55954221.04081632	1.2596957868957038e-09	chr1
61040968.408163264	1.1605838390936064e-09	chr1
66127715.77551021	1.0891403945402286e-09	chr1
71214463.14285713	1.0675725888090932e-09	chr1
76301210.51020408	1.1084426641017293e-09	chr1
81387957.87755102	1.2002715881293936e-09	chr1
86474705.24489796	1.3192255768281114e-09	chr1
91561452.6122449	1.4484665027102897e-09	chr1
96648199.97959183	1.5850457923326643e-09	chr1
101734947.34693877	1.7326272029527684e-09	chr1
106821694.71428572	1.8969838912966337e-09	chr1
111908442.08163264	2.1086241487865825e-09	chr1
116995189.44897959	2.48200566025702e-09	chr1
122081936.81632653	3.265523361056802e-09	chr1
127168684.18367347	4.770504448676624e-09	chr1
132255431.55102041	7.10757939735336e-09	chr1
137342178.91836736	9.87433243440798e-09	chr1
142428926.28571427	1.2139309003362118e-08	chr1
147515673.6530612	1.2915286613320161e-08	chr1
152602421.02040815	1.182186261511474e-08	chr1
157689168.3877551	9.352270658438833e-09	chr1
162775915.75510204	6.503891823504481e-09	chr1
167862663.12244898	4.139715926365779e-09	chr1
172949410.48979592	2.616128578452896e-09	chr1
178036157.85714287	1.8432245842863218e-09	chr1
183122905.2244898	1.554330120623651e-09	chr1
188209652.59183672	1.5159523540052886e-09	chr1
193296399.95918366	1.5920941408637776e-09	chr1
198383147.3265306	1.7243011771044102e-09	chr1
203469894.69387755	1.9024151185850946e-09	chr1
208556642.0612245	2.142379942897568e-09	chr1
213643389.42857143	2.4528332869410754e-09	chr1
218730136.79591838	2.7972225182170718e-09	chr1
223816884.1632653	3.0902925675327896e-09	chr1
228903631.53061223	3.241479940975639e-09	chr1
233990378.89795917	3.2007376909065284e-09	chr1
239077126.26530612	2.9633646141388073e-09	chr1
244163873.63265306	2.5512501681080994e-09	chr1
249250621.0	2.011181661817428e-09	chr1
0.0	2.1143855446617118e-09	chr10
2766015.2448979593	2.4404089467914255e-09	chr10
5532030.489795919	2.7703424002406344e-09	chr10
8298045.734693877	3.337868742699152e-09	chr10
11064060.979591837	4.162185024886899e-09	chr10
13830076.224489797	4.960358308318648e-09	chr10
16596091.469387755	5.44545303628486e-09	chr10
19362106.714285716	5.683135540764482e-09	chr10
22128121.959183674	6.041874643343565e-09	chr10
24894137.204081632	6.828261694111713e-09	chr10
27660152.448979594	8.165998405909995e-09	chr10
30426167.69387755	1.0256062619449949e-08	chr10
33192182.93877551	1.3451588532683747e-08	chr10
35958198.18367347	1.7788576216656197e-08	chr10
38724213.42857143	2.250434731354382e-08	chr10
41490228.67346939	2.6225702317880543e-08	chr10
44256243.91836735	2.7685307357887664e-08	chr10
47022259.16326531	2.632822334886024e-08	chr10
49788274.408163264	2.250531759937027e-08	chr10
52554289.653061226	1.7295287732251042e-08	chr10
55320304.89795919	1.2028608284966023e-08	chr10
58086320.14285714	7.722843977482153e-09	chr10
60852335.3877551	4.789807221165459e-09	chr10
63618350.632653065	3.150531036979444e-09	chr10
66384365.87755102	2.530132925996849e-09	chr10
69150381.12244898	2.657483729971349e-09	chr10
71916396.36734694	3.303445911927284e-09	chr10
74682411.6122449	4.245265606795767e-09	chr10
77448426.85714287	5.24527285511888e-09	chr10
80214442.10204081	6.069365020406595e-09	chr10
82980457.34693877	6.532293977304584e-09	chr10
85746472.59183674	6.5433953530879485e-09	chr10
88512487.8367347	6.131076408132438e-09	chr10
91278503.08163266	5.439523993034688e-09	chr10
94044518.32653062	4.674267582928603e-09	chr10
96810533.57142858	3.990828594811621e-09	chr10
99576548.81632653	3.4158198851378522e-09	chr10
102342564.06122449	2.884897097756182e-09	chr10
105108579.30612245	2.3437725657227158e-09	chr10
107874594.55102041	1.8079829418045519e-09	chr10
110640609.79591838	1.3525630893424744e-09	chr10
113406625.04081634	1.063153589537573e-09	chr10
116172640.28571428	9.908204275828076e-10	chr10
118938655.53061225	1.139066115903066e-09	chr10
121704670.7755102	1.4801454060546571e-09	chr10
124470686.02040817	1.9744094897205846e-09	chr10
127236701.26530613	2.5632285996452314e-09	chr10
130002716.51020409	3.1237193381481548e-09	chr10
132768731.75510204	3.4393568921940192e-09	chr10
135534747.0	3.291939192022119e-09	chr10
0.0	9.984268464671412e-09	chr11
2755235.0204081633	1.1180448413939564e-08	chr11
5510470.040816327	1.0890727264072494e-08	chr11
8265705.06122449	9.394477238185257e-09	chr11
11020940.081632653	7.409296562728712e-09	chr11
13776175.102040816	5.596864338601169e-09	chr11
16531410.12244898	4.241368028804733e-09	chr11
19286645.14285714	3.297984142044635e-09	chr11
22041880.163265307	2.6283878576891682e-09	chr11
24797115.18367347	2.1531345872835384e-09	chr11
27552350.204081632	1.8529853777609235e-09	chr11
30307585.224489797	1.731926061006089e-09	chr11
33062820.24489796	1.8361809938618718e-09	chr11
35818055.26530612	2.2982305839862515e-09	chr11
38573290.28571428	3.3066121000577706e-09	chr11
41328525.30612245	4.953870396268878e-09	chr11
44083760.32653061	7.047164612427316e-09	chr11
46838995.346938774	9.072512082930171e-09	chr11
49594230.36734694	1.0444823019088051e-08	chr11
52349465.3877551	1.092722418874265e-08	chr11
55104700.408163264	1.088547565722269e-08	chr11
57859935.42857143	1.1118455981810269e-08	chr11
60615170.448979594	1.2329286939469138e-08	chr11
63370405.469387755	1.4579006699791387e-08	chr11
66125640.48979592	1.7104397334150457e-08	chr11
68880875.51020408	1.8684269990840712e-08	chr11
71636110.53061225	1.838125322738399e-08	chr11
74391345.55102041	1.616734587530515e-08	chr11
77146580.57142857	1.2962393562244704e-08	chr11
79901815.59183674	1.0043777271716808e-08	chr11
82657050.6122449	8.267013102071361e-09	chr11
85412285.63265306	7.645989975133503e-09	chr11
88167520.65306123	7.529309037558448e-09	chr11
90922755.6734694	7.169248023909238e-09	chr11
93677990.69387755	6.235179848206726e-09	chr11
96433225.71428572	4.930206705141278e-09	chr11
99188460.73469388	3.723866185497527e-09	chr11
101943695.75510204	2.991149667300459e-09	chr11
104698930.7755102	2.821369974525424e-09	chr11
107454165.79591838	3.0460812718255694e-09	chr11
110209400.81632653	3.3865412013313072e-09	chr11
112964635.8367347	3.607529866008228e-09	chr11
115719870.85714287	3.60374920625785e-09	chr11
118475105.87755102	3.394776415472649e-09	chr11
121230340.89795919	3.0610102515760256e-09	chr11
123985575.91836736	2.6791083877444844e-09	chr11
126740810.93877551	2.2907015148755968e-09	chr11
129496045.95918368	1.9033967061139045e-09	chr11
132251280.97959185	1.5113914086078296e-09	chr11
135006516.0	1.1202412853108087e-09	chr11
0.0	9.7454986424667e-09	chr12
2731671.326530612	1.2917942207812868e-08	chr12
5463342.653061224	1.551234107969575e-08	chr12
8195013.979591836	1.689000317174403e-08	chr12
10926685.306122448	1.674152774436429e-08	chr12
13658356.632653061	1.5250723948544406e-08	chr12
16390027.959183672	1.3013159427799656e-08	chr12
19121699.285714284	1.0761843205214704e-08	chr12
21853370.612244897	9.071820155666448e-09	chr12
24585041.93877551	8.195349327060758e-09	chr12
27316713.265306123	8.066088765503375e-09	chr12
30048384.591836732	8.415502923608626e-09	chr12
32780055.918367345	8.92216476085602e-09	chr12
35511727.244897954	9.337699955202096e-09	chr12
38243398.57142857	9.557281861215853e-09	chr12
40975069.89795918	9.617501747095548e-09	chr12
43706741.22448979	9.625642154832626e-09	chr12
46438412.551020406	9.657825520884057e-09	chr12
49170083.87755102	9.688394868879355e-09	chr12
51901755.20408163	9.598955361241512e-09	chr12
54633426.530612245	9.259746470585914e-09	chr12
57365097.85714285	8.619601033862733e-09	chr12
60096769.183673464	7.736117539436645e-09	chr12
62828440.51020408	6.731764860436653e-09	chr12
65560111.83673469	5.722869237598804e-09	chr12
68291783.1632653	4.780347750315432e-09	chr12
71023454.48979591	3.941122925827601e-09	chr12
73755125.81632653	3.2437634642486036e-09	chr12
76486797.14285713	2.7505222955361273e-09	chr12
79218468.46938775	2.537647231386192e-09	chr12
81950139.79591836	2.659837289646935e-09	chr12
84681811.12244898	3.108010502779731e-09	chr12
87413482.44897959	3.7846263914671535e-09	chr12
90145153.77551019	4.517965619281095e-09	chr12
92876825.10204081	5.118346326172805e-09	chr12
95608496.42857142	5.449076192208489e-09	chr12
98340167.75510204	5.468589508511859e-09	chr12
101071839.08163264	5.2197265283700395e-09	chr12
103803510.40816326	4.783734429572728e-09	chr12
106535181.73469387	4.2399923548537745e-09	chr12
109266853.06122449	3.656218034203681e-09	chr12
111998524.3877551	3.0993048714082066e-09	chr12
114730195.7142857	2.640445151290239e-09	chr12
117461867.04081632	2.3406246289189344e-09	chr12
120193538.36734693	2.2246354253096196e-09	chr12
122925209.69387755	2.2621808205708775e-09	chr12
125656881.02040815	2.370159466638821e-09	chr12
128388552.34693877	2.4390656328808874e-09	chr12
131120223.67346938	2.3746204709709368e-09	chr12
133851895.0	2.1360859854256295e-09	chr12
0.0	1.6796498927138577e-10	chr13
2350405.673469388	3.9895578394985397e-10	chr13
