Start	End	chromID	Chromosome
158946	39097912	chr10p	chr10
39097912	42436301	chr10cen	chr10
42436301	135473442	chr10q	chr10
241489	51394932	chr11p	chr11
51394932	54794237	chr11cen	chr11
54794237	134944770	chr11q	chr11
191619	34810203	chr12p	chr12
34810203	37961768	chr12cen	chr12
37961768	133744154	chr12q	chr12
19260565	115074878	chr13q	chr13
19035752	107285437	chr14q	chr14
20161372	102398631	chr15q	chr15
143503	35142792	chr16p	chr16
35142792	46539392	chr16cen	chr16
46539392	90141355	chr16q	chr16
6888	22242355	chr17p	chr17
22242355	25326941	chr17cen	chr17
25326941	81050981	chr17q	chr17
112535	15102421	chr18p	chr18
15102421	18570235	chr18cen	chr18
18570235	78014582	chr18q	chr18
261033	24487350	chr19p	chr19
24487350	27919724	chr19cen	chr19
27919724	59058083	chr19q	chr19
752721	121347754	chr1p	chr1
121347754	144617179	chr1cen	chr1
144617179	249170711	chr1q	chr1
69094	26278250	chr20p	chr20
26278250	29507776	chr20cen	chr20
29507776	62906514	chr20q	chr20
14665973	48094803	chr21q	chr21
17087705	51229805	chr22q	chr22
118913	89620837	chr2p	chr2
89620837	95358799	chr2cen	chr2
95358799	243043959	chr2q	chr2
108226	90417760	chr3p	chr3
90417760	93537290	chr3cen	chr3
93537290	197800244	chr3q	chr3
167596	49114060	chr4p	chr4
49114060	52696792	chr4cen	chr4
52696792	190936728	chr4q	chr4
157856	46399093	chr5p	chr5
46399093	49582750	chr5cen	chr5
49582750	180692833	chr5q	chr5
183917	58770624	chr6p	chr6
58770624	61891638	chr6cen	chr6
61891638	170981684	chr6q	chr6
46239	57886384	chr7p	chr7
57886384	61994170	chr7cen	chr7
61994170	159119486	chr7q	chr7
113565	43791691	chr8p	chr8
43791691	46936447	chr8cen	chr8
46936447	146280471	chr8q	chr8
212908	44900526	chr9p	chr9
44900526	68151440	chr9cen	chr9
68151440	141027939	chr9q	chr9
