track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3622171	938927.1700	593128.0000	1433743.0000	241492.7889	3.8578	1.9478	1.0000e-02	1.0000e-02	57	9036046	3.1970e-01	7623	128153958	4.5342e+00	61	3622171	1.2815e-01	107.0175	40.0858	0.8002	2.8264
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3622171	983675.7300	617269.0000	1484026.0000	257617.3781	3.6823	1.8806	1.0000e-02	1.0000e-02	28	8848961	3.1308e-01	7623	128153958	4.5342e+00	61	3622171	1.2815e-01	217.8571	40.9333	0.8002	2.8264
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1760943	447761.4300	204228.0000	821113.0000	178496.5345	3.9328	1.9755	1.0000e-02	1.0000e-02	27	3197852	1.1314e-01	7623	128153958	4.5342e+00	49	1760943	6.2303e-02	181.4815	55.0664	0.6428	1.3741
HFNHinvs	genomicSuperDups_coords_normal.bed	0	15795.5200	254.0000	38922.0000	11284.1993	0.0001	-13.9473	3.0000e-02	3.0000e-02	29	187085	6.6192e-03	7623	128153958	4.5342e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1760943	437591.2400	238289.0000	758753.0000	150243.3608	4.0242	2.0087	1.0000e-02	1.0000e-02	56	3384937	1.1976e-01	7623	128153958	4.5342e+00	49	1760943	6.2303e-02	87.5000	52.0229	0.6428	1.3741
invs	genomicSuperDups_coords_normal.bed	4998930	1257475.1300	804568.0000	1940990.0000	341047.0052	3.9754	1.9911	1.0000e-02	1.0000e-02	130	12755754	4.5131e-01	7623	128153958	4.5342e+00	125	4998930	1.7686e-01	96.1538	39.1896	1.6398	3.9007
LFinvs	genomicSuperDups_coords_normal.bed	1377876	334198.1500	167150.0000	595735.0000	138169.1846	4.1229	2.0437	1.0000e-02	1.0000e-02	75	3748768	1.3263e-01	7623	128153958	4.5342e+00	66	1377876	4.8750e-02	88.0000	36.7554	0.8658	1.0752
LFNAHRinvs	genomicSuperDups_coords_normal.bed	1178052	200003.5700	54812.0000	523893.0000	143504.8220	5.8901	2.5583	1.0000e-02	1.0000e-02	25	2585723	9.1484e-02	7623	128153958	4.5342e+00	51	1178052	4.1680e-02	204.0000	45.5599	0.6690	0.9192
LFNHinvs	genomicSuperDups_coords_normal.bed	199824	140504.0100	5627.0000	391697.0000	134724.2996	1.4222	0.5081	3.1000e-01	3.1000e-01	50	1163045	4.1149e-02	7623	128153958	4.5342e+00	15	199824	7.0699e-03	30.0000	17.1811	0.1968	0.1559
NAHRinvs	genomicSuperDups_coords_normal.bed	4799106	1104400.7500	597349.0000	1589507.0000	288240.2708	4.3454	2.1195	1.0000e-02	1.0000e-02	52	11417007	4.0394e-01	7623	128153958	4.5342e+00	110	4799106	1.6980e-01	211.5385	42.0347	1.4430	3.7448
NAHRno501invs	genomicSuperDups_coords_normal.bed	2937878	584102.0300	289568.0000	998779.0000	195086.3625	5.0297	2.3305	1.0000e-02	1.0000e-02	51	5765898	2.0400e-01	7623	128153958	4.5342e+00	98	2937878	1.0394e-01	192.1569	50.9527	1.2856	2.2925
NHinvs	genomicSuperDups_coords_normal.bed	199824	146736.3800	16537.0000	393694.0000	129037.9337	1.3618	0.4455	2.9000e-01	2.9000e-01	78	1338747	4.7366e-02	7623	128153958	4.5342e+00	15	199824	7.0699e-03	19.2308	14.9262	0.1968	0.1559
no501invs	genomicSuperDups_coords_normal.bed	3137702	818999.7700	419853.0000	1411564.0000	269390.1253	3.8311	1.9378	1.0000e-02	1.0000e-02	129	7104645	2.5137e-01	7623	128153958	4.5342e+00	113	3137702	1.1101e-01	87.5969	44.1641	1.4824	2.4484
