Start	End	Chromosome	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946.0	26393389.1020408	chr10	telomeric	26234443.1020408	3.0	2.0	1.0	360.0	82.0	1.3966281854965835e-08	1.73695539334e-06
26393389.1020408	77481515.1428571	chr10	centromeric	51088126.04081631	4.0	3.0	1.0	2730.0	1234.0	7.588010531226075e-09	2.03246956168e-06
77481515.1428571	105096718.408163	chr10	arm	27615203.26530589	1.0	1.0	0.0	608.0	250.0	7.725760630599694e-09	1.46166529389e-06
105096718.408163	135473442.0	chr10	telomeric	30376723.591837004	1.0	1.0	0.0	200.0	40.0	1.1580532097516871e-08	2.19240487572e-06
241489.0	30481001.0612245	chr11	telomeric	30239512.0612245	2.0	1.0	1.0	748.0	120.0	1.1815332393977004e-08	2.40834527739e-06
30481001.0612245	74465745.877551	chr11	centromeric	43984744.8163265	3.0	2.0	1.0	2022.0	636.0	1.6501546878859732e-08	1.36376747468e-06
74465745.877551	88210978.6326531	chr11	arm	13745232.755102098	0.0	0.0	0.0	112.0	8.0	7.346282575655621e-09	8.32100765546e-07
88210978.6326531	134944770.0	chr11	telomeric	46733791.3673469	0.0	0.0	0.0	808.0	302.0	9.577400851248806e-09	2.13895966194e-06
191619.0	23358895.4795918	chr12	telomeric	23167276.4795918	0.0	0.0	0.0	816.0	174.0	1.2677360387823917e-08	2.26036726507e-06
23358895.4795918	68330667.4693878	chr12	centromeric	44971771.989796	4.0	4.0	0.0	866.0	136.0	5.845017197402149e-09	1.01702381721e-06
68330667.4693878	84684039.1020408	chr12	arm	16353371.632652998	3.0	2.0	1.0	102.0	8.0	5.976401357030987e-09	1.06492322569e-06
84684039.1020408	133744154.0	chr12	telomeric	49060114.8979592	0.0	0.0	0.0	456.0	110.0	1.0509599301539483e-08	2.14151877425e-06
19260565.0	58368447.8571429	chr13	arm	39107882.8571429	0.0	0.0	0.0	1396.0	348.0	1.003749325292099e-08	1.84409700969e-06
58368447.8571429	85743965.8571429	chr13	arm	27375517.999999993	2.0	0.0	2.0	464.0	62.0	6.379155616190444e-09	1.89263955272e-06
85743965.8571429	115074878.0	chr13	telomeric	29330912.142857105	1.0	1.0	0.0	1974.0	1786.0	1.1250087206681701e-08	1.65779765071e-06
19035752.0	44249947.7142857	chr14	arm	25214195.7142857	2.0	1.0	1.0	804.0	96.0	1.1767140654393125e-08	1.82671014403e-06
44249947.7142857	82071241.2857143	chr14	arm	37821293.5714286	3.0	2.0	1.0	660.0	34.0	6.999457560533648e-09	1.47347572312e-06
82071241.2857143	107285437.0	chr14	telomeric	25214195.7142857	1.0	0.0	1.0	486.0	170.0	1.1849150900388508e-08	1.65261405816e-06
20161372.0	47014354.5306122	chr15	arm	26852982.5306122	0.0	0.0	0.0	3422.0	2054.0	1.4540258296117915e-08	1.53594000404e-06
47014354.5306122	75545648.4693878	chr15	arm	28531293.9387756	0.0	0.0	0.0	692.0	218.0	7.98480580924046e-09	1.5057177186e-06
75545648.4693878	102398631.0	chr15	telomeric	26852982.5306122	0.0	0.0	0.0	2676.0	1988.0	1.3913815229140429e-08	3.48511833934e-06
143503.0	23102138.7142857	chr16	telomeric	22958635.7142857	1.0	0.0	1.0	1768.0	1398.0	1.491618165508934e-08	1.84145553703e-06
23102138.7142857	55244228.7142857	chr16	centromeric	32142090.0	3.0	2.0	1.0	3774.0	1316.0	7.57363253161373e-09	2.23355588705e-06
55244228.7142857	68101064.7142857	chr16	arm	12856836.0	0.0	0.0	0.0	86.0	34.0	8.366622691386014e-09	1.30091604992e-06
68101064.7142857	90141355.0	chr16	telomeric	22040290.2857143	2.0	1.0	1.0	432.0	298.0	1.7016433803294403e-08	1.65956775853e-06
6888.0	16546498.8163265	chr17	telomeric	16539610.8163265	2.0	2.0	0.0	342.0	180.0	1.8483168860546406e-08	2.57020349016e-06
16546498.8163265	33086109.6326531	chr17	centromeric	16539610.816326598	2.0	0.0	2.0	1528.0	826.0	2.9556282281841628e-08	2.90936832003e-06
33086109.6326531	59549486.9387755	chr17	arm	26463377.306122404	2.0	0.0	2.0	1410.0	908.0	7.646457948708242e-09	1.35572964072e-06
59549486.9387755	81050981.0	chr17	telomeric	21501494.061224498	0.0	0.0	0.0	466.0	376.0	1.3751027459021812e-08	2.17201349849e-06
112535.0	12036317.7040816	chr18	telomeric	11923782.7040816	1.0	1.0	0.0	150.0	24.0	2.219780204585772e-08	1.96169960508e-06
12036317.7040816	25549938.1020408	chr18	centromeric	13513620.3979592	0.0	0.0	0.0	760.0	60.0	2.4461586721555324e-08	1.10979440476e-06
25549938.1020408	36678801.9591837	chr18	arm	11128863.8571429	0.0	0.0	0.0	152.0	4.0	5.616506699515501e-09	1.3651059453e-06
36678801.9591837	78014582.0	chr18	telomeric	41335780.0408163	0.0	0.0	0.0	250.0	68.0	1.0335333148552082e-08	2.34161124192e-06
261033.0	14660310.5510204	chr19	telomeric	14399277.5510204	0.0	0.0	0.0	388.0	138.0	2.0113477273148236e-08	3.48221243769e-06
14660310.5510204	33859347.2857143	chr19	centromeric	19199036.7346939	1.0	1.0	0.0	476.0	226.0	8.887038260213667e-09	1.06420056883e-06
