pos	val	Chromosome	valScaled	Type
60881114.795918375	4.567172389681937e-09	chr10	1.207299679545445e-08	Minima
105114156.10204083	4.7775697350911555e-09	chr10	1.2629167279107797e-08	Minima
135524372.0	6.662474529077912e-09	chr10	1.7611779625633134e-08	Minima
60683.0	6.6897305394217074e-09	chr10	1.7683828958888197e-08	Minima
41529159.2244898	4.169090019556371e-09	chr10	1.1020694239564378e-08	Minima
49822854.469387755	5.6205644917959115e-09	chr10	1.4857564223193851e-08	Maxima
80233070.36734694	6.5116811664414165e-09	chr10	1.7213168049683185e-08	Maxima
127230676.75510205	1.090378799707927e-08	chr10	2.8823391436779198e-08	Maxima
8354378.24489796	1.2175848381720676e-08	chr10	3.218599298475137e-08	Maxima
90910798.40816326	5.911431091739263e-09	chr11	1.5626449482912582e-08	Minima
134946450.0	6.558708352250831e-09	chr11	1.733748108521891e-08	Minima
87267.0	7.194018659703893e-09	chr11	1.9016878894534828e-08	Minima
55131831.48979592	2.3279496973633534e-09	chr11	6.153770175117959e-09	Minima
77149657.28571428	6.594679598999697e-09	chr11	1.7432568528755893e-08	Maxima
126689765.32653062	1.057316793708277e-08	chr11	2.7949420720484715e-08	Maxima
8343951.673469388	1.124467937273566e-08	chr11	2.972451364867457e-08	Maxima
84697590.24489796	4.092862532393714e-09	chr12	1.0819192275171832e-08	Minima
60316.0	7.171795562183225e-09	chr12	1.89581337099304e-08	Minima
133841814.0	8.361569008794304e-09	chr12	2.2103215564231217e-08	Minima
38283601.14285714	3.2413478291947713e-09	chr12	8.568273455854152e-09	Minima
68316182.32653062	5.757242021292448e-09	chr12	1.521886159382742e-08	Maxima
8251019.959183674	1.1073498006853644e-08	chr12	2.9272007829887417e-08	Maxima
128381344.69387756	1.2463124603747322e-08	chr12	3.2945387334693895e-08	Maxima
85694619.26530613	5.4007430347428255e-09	chr13	1.4276481767762634e-08	Minima
19020094.0	8.901862784698142e-09	chr13	2.353144390083344e-08	Minima
115109851.0	9.328935871064496e-09	chr13	2.4660381362176978e-08	Minima
58240402.97959184	4.8452811911465064e-09	chr13	1.2808157718316671e-08	Minima
73928526.57142857	9.696294307173066e-09	chr13	2.5631467374157094e-08	Maxima
24903140.346938774	1.598129745392134e-08	chr13	4.2245428130606084e-08	Maxima
109226804.65306123	1.7115780037124305e-08	chr13	4.524435250281751e-08	Maxima
82063898.71428572	7.93242818955781e-09	chr14	2.0968812197468507e-08	Minima
65847482.530612245	7.157996517225668e-09	chr14	1.892165691174138e-08	Minima
19000058.0	1.2139268503800112e-08	chr14	3.20892966678112e-08	Minima
107289435.0	7.481851187355842e-09	chr14	1.977774379900399e-08	Minima
44225594.28571428	5.7690731185819205e-09	chr14	1.5250136261712784e-08	Minima
76658426.65306123	9.025823081317197e-09	chr14	2.385912416690495e-08	Maxima
55036538.408163264	9.287964261505303e-09	chr14	2.4552075813643217e-08	Maxima
22603706.040816326	1.739602899209619e-08	chr14	4.598517076992493e-08	Maxima
96478490.87755102	1.7151426171696678e-08	chr14	4.5338580535338215e-08	Maxima
75575392.42857143	6.645890697280607e-09	chr15	1.7567941440633252e-08	Minima
20000446.0	1.3947142386999062e-08	chr15	3.686828325648401e-08	Minima
102520821.0	1.0037613958729717e-08	chr15	2.6533721703067163e-08	Minima
46945874.57142857	5.0091493944704755e-09	chr15	1.3241331709750993e-08	Minima
60418588.85714286	1.017722887422703e-08	chr15	2.690278384558771e-08	Maxima
23368624.57142857	2.0033181989103368e-08	chr15	5.295629797193712e-08	Maxima
95784463.85714285	2.0340569266169736e-08	chr15	5.376885447174644e-08	Maxima
68195005.44897959	5.721810736142059e-09	chr16	1.512520150053953e-08	Minima
60179.0	8.872327893130067e-09	chr16	2.345337050643715e-08	Minima
90292787.0	1.0914387875793814e-08	chr16	2.8851411465548422e-08	Minima
40572778.510204084	6.368243369762913e-10	chr16	1.6834000391471093e-09	Minima
55304632.87755102	1.0978702845007297e-08	chr16	2.902142353230735e-08	Maxima
7426106.183673469	1.7425939175953996e-08	chr16	4.6064236222913426e-08	Maxima
82926859.81632653	2.304190196756796e-08	chr16	6.0909636177538e-08	Maxima
59650045.28571428	8.244690462559351e-09	chr17	2.179425540381778e-08	Minima
43080602.428571425	6.458891614935881e-09	chr17	1.707362260848205e-08	Minima
51.0	1.1742937394807448e-08	chr17	3.104162344671333e-08	Minima
81190321.0	9.943258807568112e-09	chr17	2.628430054257359e-08	Minima
24854215.285714284	4.659864947526545e-09	chr17	1.2318023008248305e-08	Minima
54679212.428571425	9.86197883955357e-09	chr17	2.6069442702832065e-08	Maxima
33138936.714285713	1.087580169493776e-08	chr17	2.8749411628871267e-08	Maxima
9941716.714285715	1.932147757604113e-08	chr17	5.1074957754164085e-08	Maxima
74562543.85714285	1.91288575005509e-08	chr17	5.056578022467397e-08	Maxima
50953643.06122449	9.164168969912718e-09	chr18	2.4224831726674624e-08	Minima
33442012.57142857	6.624088799956031e-09	chr18	1.751030966892061e-08	Minima
78017072.0	9.434417834610317e-09	chr18	2.4939215463281628e-08	Minima
10718.0	1.3220428276973503e-08	chr18	3.4947265967675007e-08	Minima
19114314.897959184	6.620005103897526e-09	chr18	1.7499514707570056e-08	Minima
46177743.8367347	1.0038497780334608e-08	chr18	2.6536058022893347e-08	Maxima
23890214.12244898	8.534149870704137e-09	chr18	2.2559420851664932e-08	Maxima
71649206.36734694	1.7229249251029717e-08	chr18	4.5544300334643974e-08	Maxima
6378583.632653061	2.4849672920645744e-08	chr18	6.568835067772432e-08	Maxima
39835817.75510204	9.552410091221557e-09	chr19	2.5251119638209247e-08	Minima
64704.0	1.7314745664955282e-08	chr19	4.577030405057073e-08	Minima
59118782.0	1.2272828606916372e-08	chr19	3.244235334256384e-08	Minima
25373594.57142857	4.020541669843427e-09	chr19	1.0628017196301005e-08	Minima
33809891.428571425	1.241611131225859e-08	chr19	3.282111102781099e-08	Maxima
3680259.795918367	2.7342596982070095e-08	chr19	7.227821890185402e-08	Maxima
54298040.93877551	3.181425370920244e-08	chr19	8.409872680714044e-08	Maxima
45787859.63265306	3.4084326982490973e-09	chr1	9.009950475363871e-09	Minima
188204734.48979592	2.8007807929462746e-09	chr1	7.403665693548646e-09	Minima
249240538.0	3.6321622156875493e-09	chr1	9.601363611681047e-09	Minima
11007.0	4.290904019837288e-09	chr1	1.1342700923252403e-08	Minima
132255247.93877551	1.2201876134512434e-09	chr1	3.2254795506144626e-09	Minima
61046810.51020408	3.7202715900033545e-09	chr1	9.834274503366984e-09	Maxima
162773149.69387755	4.1867568043230055e-09	chr1	1.1067395134051179e-08	Maxima
239067904.08163264	5.852163162523931e-09	chr1	1.5469778908991076e-08	Maxima
15269957.87755102	6.73007349476377e-09	chr1	1.7790472704516068e-08	Maxima
61097.0	1.500946265118771e-08	chr20	3.9676451648434954e-08	Minima
62963101.0	1.2534307058924049e-08	chr20	3.313355311428713e-08	Minima
29586527.44897959	3.317218574070804e-09	chr20	8.768832397274112e-09	Minima
5195954.469387755	2.3124274487984847e-08	chr20	6.112738210218785e-08	Maxima
57828243.530612245	2.519663475533944e-08	chr20	6.660551971821542e-08	Maxima
25210586.448979594	1.9124309973028998e-08	chr21	5.055375915769537e-08	Minima
31530323.42857143	1.668781951071082e-08	chr21	4.411306915655197e-08	Minima
48119633.0	1.362998608018516e-08	chr21	3.602990301831457e-08	Minima
12571112.48979592	1.1223468079489381e-08	chr21	2.9668443097020266e-08	Minima
28370454.93877551	2.320621088672401e-08	chr21	6.134397517006587e-08	Maxima
18890849.469387755	2.8918571121024562e-08	chr21	7.644419493820885e-08	Maxima
42589863.14285715	4.383766303207239e-08	chr21	1.1588175793453674e-07	Maxima
24669454.163265307	3.021882123449266e-08	chr22	7.988131403812592e-08	Minima
31133590.285714284	1.2277326349716722e-08	chr22	3.2454242807156434e-08	Minima
51244236.0	1.7752382531778043e-08	chr22	4.692716611749434e-08	Minima
16050606.0	1.8899042785529044e-08	chr22	4.9958281299458145e-08	Minima
41188913.14285714	1.1983183497120928e-08	chr22	3.167669700555332e-08	Minima
26824166.204081632	3.259305213787929e-08	chr22	8.615742530404025e-08	Maxima
36879489.06122449	2.3598686547387125e-08	chr22	6.23814567865217e-08	Maxima
48371286.6122449	3.850769803434431e-08	chr22	1.0179237289559434e-07	Maxima
19641792.734693877	4.367232210376785e-08	chr22	1.1544469089890485e-07	Maxima
29786810.163265303	4.905142950560797e-09	chr2	1.2966398040318032e-08	Minima
148893330.81632653	2.8454999383760276e-09	chr2	7.52187758778075e-09	Minima
193558276.0612245	2.778067382633586e-09	chr2	7.343624401799195e-09	Minima
243185993.0	3.4595817746286186e-09	chr2	9.145159436736889e-09	Minima
10180.0	3.8521063793779815e-09	chr2	1.0182770433418822e-08	Minima
99265613.87755102	2.4186466297797435e-09	chr2	6.3935210934091965e-09	Minima
39712353.551020406	5.177094930608619e-09	chr2	1.3685283841750084e-08	Maxima
129042244.04081632	3.642511988464055e-09	chr2	9.6287225031139e-09	Maxima
173707189.28571427	3.767460774595758e-09	chr2	9.959015771213865e-09	Maxima
