Start	End	chromID	Chromosome	winID	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
158946	7946740	chr10p	chr10	chr10p0	7787794	1.0	0.0	1.0	48.0	34.0	1.5528402061425865e-06	0.00055652
7946740	15734534	chr10p	chr10	chr10p1	7787794	1.0	1.0	0.0	224.0	18.0	2.5848901809893107e-06	0.000500286
15734534	23522328	chr10p	chr10	chr10p2	7787794	1.0	1.0	0.0	82.0	30.0	1.2657827104328103e-06	0.000327272
23522328	31310122	chr10p	chr10	chr10p3	7787794	0.0	0.0	0.0	292.0	140.0	2.349089802661141e-06	0.000573958
31310122	39097916	chr10p	chr10	chr10p4	7787794	1.0	0.0	1.0	588.0	100.0	8.757471642241236e-07	0.000196607
42436301	61043730	chr10q	chr10	chr10q0	18607429	2.0	2.0	0.0	1694.0	938.0	9.948946585267303e-07	0.000270003
61043730	79651159	chr10q	chr10	chr10q1	18607429	1.0	1.0	0.0	184.0	56.0	1.2364209280375545e-06	0.000257564
79651159	98258588	chr10q	chr10	chr10q2	18607429	1.0	1.0	0.0	490.0	244.0	1.4206992713607854e-06	0.000267259
98258588	116866017	chr10q	chr10	chr10q3	18607429	0.0	0.0	0.0	128.0	12.0	1.3361534517810517e-06	0.000295996
116866017	135473446	chr10q	chr10	chr10q4	18607429	1.0	1.0	0.0	168.0	34.0	2.2021147387735757e-06	0.000738505
241489	10472178	chr11p	chr11	chr11p0	10230689	1.0	0.0	1.0	556.0	98.0	1.4279631079207458e-06	0.000320123
10472178	20702867	chr11p	chr11	chr11p1	10230689	0.0	0.0	0.0	158.0	22.0	2.1326082532505577e-06	0.000622663
20702867	30933556	chr11p	chr11	chr11p2	10230689	1.0	1.0	0.0	34.0	0.0	1.1702482192093564e-06	0.000451632
30933556	41164245	chr11p	chr11	chr11p3	10230689	0.0	0.0	0.0	56.0	6.0	1.666286845680056e-06	0.000549072
41164245	51394934	chr11p	chr11	chr11p4	10230689	0.0	0.0	0.0	526.0	308.0	7.364711199919854e-07	0.000236277
54794237	70824344	chr11q	chr11	chr11q0	16030107	2.0	2.0	0.0	750.0	236.0	1.2119999652993696e-06	0.000360523
70824344	86854451	chr11q	chr11	chr11q1	16030107	1.0	0.0	1.0	788.0	84.0	1.1655510366211328e-06	0.000295752
86854451	102884558	chr11q	chr11	chr11q2	16030107	0.0	0.0	0.0	442.0	234.0	1.2109438047507518e-06	0.000390635
102884558	118914665	chr11q	chr11	chr11q3	16030107	0.0	0.0	0.0	208.0	40.0	1.5681407328611873e-06	0.000241206
118914665	134944772	chr11q	chr11	chr11q4	16030107	0.0	0.0	0.0	160.0	28.0	1.929746739898027e-06	0.000422574
191619	7115336	chr12p	chr12	chr12p0	6923717	0.0	0.0	0.0	82.0	20.0	1.0658168599190723e-06	0.000144074
7115336	14039053	chr12p	chr12	chr12p1	6923717	0.0	0.0	0.0	622.0	134.0	2.2247275170538288e-06	0.000233491
14039053	20962770	chr12p	chr12	chr12p2	6923717	0.0	0.0	0.0	100.0	16.0	1.650879822176591e-06	0.000570972
20962770	27886487	chr12p	chr12	chr12p3	6923717	0.0	0.0	0.0	60.0	20.0	1.872753560044469e-06	0.000324146
27886487	34810204	chr12p	chr12	chr12p4	6923717	0.0	0.0	0.0	190.0	48.0	1.00781288857254e-06	0.00021358
37961768	57118246	chr12q	chr12	chr12q0	19156478	4.0	4.0	0.0	492.0	58.0	1.2555021173277628e-06	0.000755878
57118246	76274724	chr12q	chr12	chr12q1	19156478	3.0	2.0	1.0	194.0	18.0	1.0924124220457682e-06	0.000468963
76274724	95431202	chr12q	chr12	chr12q2	19156478	0.0	0.0	0.0	186.0	16.0	1.1064585490599685e-06	0.000346033
95431202	114587680	chr12q	chr12	chr12q3	19156478	0.0	0.0	0.0	174.0	18.0	1.523466393600479e-06	0.000363641
114587680	133744158	chr12q	chr12	chr12q4	19156478	0.0	0.0	0.0	120.0	80.0	2.2673500425328133e-06	0.000535067
19260565	38423428	chr13q	chr13	chr13q0	19162863	0.0	0.0	0.0	720.0	192.0	2.1088378541198924e-06	0.00043651
38423428	57586291	chr13q	chr13	chr13q1	19162863	0.0	0.0	0.0	672.0	152.0	1.2067690161224086e-06	0.000539701
57586291	76749154	chr13q	chr13	chr13q2	19162863	1.0	0.0	1.0	418.0	62.0	1.3167546745984224e-06	0.000591373
76749154	95912017	chr13q	chr13	chr13q3	19162863	1.0	0.0	1.0	198.0	4.0	1.10353625350716e-06	0.00016721
95912017	115074880	chr13q	chr13	chr13q4	19162863	1.0	1.0	0.0	1826.0	1786.0	2.115841009326844e-06	0.000404405
19035752	36685689	chr14q	chr14	chr14q0	17649937	2.0	1.0	1.0	780.0	96.0	2.087092675206264e-06	0.000550193
36685689	54335626	chr14q	chr14	chr14q1	17649937	1.0	1.0	0.0	320.0	4.0	7.899373603550518e-07	0.00027727
54335626	71985563	chr14q	chr14	chr14q2	17649937	2.0	1.0	1.0	202.0	12.0	1.3398992474178934e-06	0.000391554
71985563	89635500	chr14q	chr14	chr14q3	17649937	0.0	0.0	0.0	186.0	18.0	1.3533272761358652e-06	0.000335047
89635500	107285437	chr14q	chr14	chr14q4	17649937	1.0	0.0	1.0	462.0	170.0	2.1122004381408247e-06	0.000332922
20161372	36608824	chr15q	chr15	chr15q0	16447452	0.0	0.0	0.0	3264.0	2006.0	1.654666356240546e-06	0.000327247
36608824	53056276	chr15q	chr15	chr15q1	16447452	0.0	0.0	0.0	234.0	48.0	1.0118474912792522e-06	0.000741714
53056276	69503728	chr15q	chr15	chr15q2	16447452	0.0	0.0	0.0	328.0	24.0	1.8789951041887157e-06	0.000530072
69503728	85951180	chr15q	chr15	chr15q3	16447452	0.0	0.0	0.0	2468.0	1878.0	1.3267858199619775e-06	0.000412019
85951180	102398632	chr15q	chr15	chr15q4	16447452	0.0	0.0	0.0	496.0	304.0	2.557260880143651e-06	0.000518231
143503	7143361	chr16p	chr16	chr16p0	6999858	0.0	0.0	0.0	324.0	74.0	1.2265755705357989e-06	0.000187762
7143361	14143219	chr16p	chr16	chr16p1	6999858	0.0	0.0	0.0	128.0	76.0	2.3787051636544392e-06	0.000305856
14143219	21143077	chr16p	chr16	chr16p2	6999858	1.0	0.0	1.0	914.0	860.0	1.8872750818851554e-06	0.000703492
21143077	28142935	chr16p	chr16	chr16p3	6999858	0.0	0.0	0.0	534.0	394.0	2.9198144833317783e-06	0.000813969
28142935	35142793	chr16p	chr16	chr16p4	6999858	2.0	1.0	1.0	3216.0	1266.0	2.2996385259320687e-07	7.02632e-05
