track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3438614	951729.3300	577221.0000	1299689.0000	235676.7380	3.6130	1.8532	1.0000e-02	1.0000e-02	24	8545109	1.1326e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	183.3333	40.2407	1.4103	3.3411
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3438614	938186.2900	540839.0000	1603678.0000	307147.2585	3.6652	1.8739	1.0000e-02	1.0000e-02	17	8408023	1.1144e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	258.8235	40.8968	1.4103	3.3411
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1577386	379433.5300	194068.0000	682003.0000	150735.8536	4.1572	2.0556	1.0000e-02	1.0000e-02	16	2756914	3.6541e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	200.0000	57.2156	1.0256	1.5327
HFNHinvs	genomicSuperDups_coords_normal.bed	0	14651.7500	0.0000	35977.0000	11768.1544	0.0001	-13.8389	1.6000e-01	1.6000e-01	7	137086	1.8170e-02	3120	102917743	1.3641e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1577386	434925.5500	231199.0000	748755.0000	164872.7822	3.6268	1.8587	1.0000e-02	1.0000e-02	23	2894000	3.8358e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	139.1304	54.5054	1.0256	1.5327
invs	genomicSuperDups_coords_normal.bed	4350680	1180101.0900	768144.0000	1652841.0000	284683.4836	3.6867	1.8823	1.0000e-02	1.0000e-02	43	10420801	1.3812e+00	3120	102917743	1.3641e+01	80	4350680	5.7665e-01	186.0465	41.7500	2.5641	4.2273
LFinvs	genomicSuperDups_coords_normal.bed	912066	289386.5500	84519.0000	594339.0000	164877.6155	3.1517	1.6561	1.0000e-02	1.0000e-02	20	1887075	2.5012e-01	3120	102917743	1.3641e+01	36	912066	1.2089e-01	180.0000	48.3323	1.1538	0.8862
LFNAHRinvs	genomicSuperDups_coords_normal.bed	714526	143209.4900	22360.0000	391089.0000	112562.8705	4.9893	2.3189	1.0000e-02	1.0000e-02	10	1028605	1.3633e-01	3120	102917743	1.3641e+01	23	714526	9.4705e-02	230.0000	69.4655	0.7372	0.6943
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	105445.4800	0.0000	369582.0000	126270.7565	1.8734	0.9056	2.5000e-01	2.5000e-01	10	858470	1.1378e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	130.0000	23.0107	0.4167	0.1919
NAHRinvs	genomicSuperDups_coords_normal.bed	4153140	1066677.0400	639006.0000	1544423.0000	289409.6554	3.8935	1.9611	1.0000e-02	1.0000e-02	27	9436628	1.2508e+00	3120	102917743	1.3641e+01	67	4153140	5.5047e-01	248.1481	44.0108	2.1474	4.0354
NAHRno501invs	genomicSuperDups_coords_normal.bed	2291912	541164.8400	268103.0000	935007.0000	221545.1688	4.2351	2.0824	1.0000e-02	1.0000e-02	26	3785519	5.0174e-01	3120	102917743	1.3641e+01	55	2291912	3.0378e-01	211.5385	60.5442	1.7628	2.2269
NHinvs	genomicSuperDups_coords_normal.bed	197540	125308.7500	4551.0000	418566.0000	142759.6072	1.5764	0.6567	2.3000e-01	2.3000e-01	16	984173	1.3044e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	81.2500	20.0717	0.4167	0.1919
no501invs	genomicSuperDups_coords_normal.bed	2489452	645292.2200	304126.0000	1087544.0000	256096.9501	3.8579	1.9478	1.0000e-02	1.0000e-02	42	4769692	6.3219e-01	3120	102917743	1.3641e+01	68	2489452	3.2996e-01	161.9048	52.1931	2.1795	2.4189
