Start	End	Chromosome	ChrRegion	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683.0	23750218.622449	chr10	telomeric	23689535.622449	3.0	2.0	1.0	428.0	84.0	1.4480534052898484e-08	1.73695539334e-06
23750218.622449	39146059.0	chr10	centromeric	15395840.377551	1.0	0.0	1.0	880.0	240.0	7.907886564106286e-09	2.03246956168e-06
116172416.428571	135524372.0	chr10	telomeric	19351955.571429	1.0	1.0	0.0	266.0	46.0	1.404343394260864e-08	2.19240487572e-06
42369508.0	47478463.7755102	chr10	centromeric	5108955.775510199	0.0	0.0	0.0	954.0	352.0	6.81025555450784e-09	6.74195650569e-07
87267.0	29960848.8367347	chr11	telomeric	29873581.8367347	2.0	1.0	1.0	920.0	122.0	1.1957306107929925e-08	2.40834527739e-06
29960848.8367347	51577746.0	chr11	centromeric	21616897.1632653	0.0	0.0	0.0	596.0	324.0	6.098422489428148e-09	1.36376747468e-06
107424167.755102	134946450.0	chr11	telomeric	27522282.244898006	0.0	0.0	0.0	346.0	64.0	1.167428056175297e-08	2.13895966194e-06
54703204.0	65926430.6428571	chr11	centromeric	11223226.642857097	1.0	1.0	0.0	298.0	160.0	3.877941100215831e-09	6.41073672203e-07
60316.0	21246021.9795918	chr12	telomeric	21185705.9795918	0.0	0.0	0.0	846.0	174.0	1.3119066042360273e-08	2.26036726507e-06
21246021.9795918	34241024.0	chr12	centromeric	12995002.020408198	0.0	0.0	0.0	160.0	54.0	8.159673808180418e-09	1.03029625554e-06
106539467.469388	133841814.0	chr12	telomeric	27302346.530612007	0.0	0.0	0.0	170.0	82.0	1.282618000082812e-08	1.81358025604e-06
37911537.0	44923155.7040816	chr12	centromeric	7011618.704081602	1.0	1.0	0.0	206.0	28.0	3.861936390746111e-09	7.89447658797e-07
97460711.9591837	115109851.0	chr13	telomeric	17649139.040816307	1.0	1.0	0.0	1842.0	1786.0	1.4558904541466391e-08	1.65779765071e-06
89271194.7959184	107289435.0	chr14	telomeric	18018240.204081595	1.0	0.0	1.0	472.0	170.0	1.4052287599089482e-08	1.65261405816e-06
85679928.1428571	102520821.0	chr15	telomeric	16840892.857142895	0.0	0.0	0.0	728.0	460.0	1.797553734591702e-08	3.48511833934e-06
60179.0	21349386.0918367	chr16	telomeric	21289207.0918367	1.0	0.0	1.0	1392.0	1010.0	1.553203313978865e-08	1.84145553703e-06
21349386.0918367	35272666.0	chr16	centromeric	13923279.908163302	2.0	1.0	1.0	3750.0	1660.0	8.841631352851045e-09	1.5251413636e-06
75560932.6326531	90292787.0	chr16	telomeric	14731854.367346898	1.0	1.0	0.0	386.0	40.0	2.216636470754556e-08	1.65956775853e-06
46400586.0	50852609.4387755	chr16	centromeric	4452023.438775502	1.0	1.0	0.0	244.0	44.0	5.552402042728113e-09	2.23355588705e-06
51.0	16095178.8571429	chr17	telomeric	16095127.8571429	2.0	2.0	0.0	326.0	174.0	1.8747372847681518e-08	2.57020349016e-06
16095178.8571429	22248641.0	chr17	centromeric	6153462.142857101	1.0	0.0	1.0	828.0	476.0	7.595443392973154e-09	2.90936832003e-06
67106294.5714286	81190321.0	chr17	telomeric	14084026.428571403	0.0	0.0	0.0	140.0	26.0	1.6989305745701078e-08	1.39397268135e-06
25269196.0	29204066.3571429	chr17	centromeric	3934870.357142899	1.0	0.0	1.0	500.0	208.0	3.5492264274652384e-09	9.41704079308e-07
10718.0	10887374.3163265	chr18	telomeric	10876656.3163265	0.0	0.0	0.0	202.0	10.0	2.2253622595279678e-08	1.96169960508e-06
