track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3320614	889781.0100	515708.0000	1320881.0000	251256.7169	3.7319	1.8999	1.0000e-02	1.0000e-02	19	8209286	1.2989e+00	2851	85317305	1.3500e+01	38	3320614	5.2541e-01	200.0000	40.4495	1.3329	3.8921
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3320614	973408.3300	467469.0000	1486074.0000	313535.3268	3.4113	1.7703	1.0000e-02	1.0000e-02	12	8072200	1.2772e+00	2851	85317305	1.3500e+01	38	3320614	5.2541e-01	316.6667	41.1364	1.3329	3.8921
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1459386	365632.4100	174269.0000	699851.0000	172515.0037	3.9914	1.9969	1.0000e-02	1.0000e-02	11	2421091	3.8308e-01	2851	85317305	1.3500e+01	26	1459386	2.3092e-01	236.3636	60.2780	0.9120	1.7105
HFNHinvs	genomicSuperDups_coords_normal.bed	0	17273.2700	0.0000	39967.0000	11967.5475	0.0001	-14.0763	7.0000e-02	7.0000e-02	7	137086	2.1691e-02	2851	85317305	1.3500e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1459386	382740.5200	172947.0000	722106.0000	176260.2184	3.8130	1.9309	1.0000e-02	1.0000e-02	18	2558177	4.0477e-01	2851	85317305	1.3500e+01	26	1459386	2.3092e-01	144.4444	57.0479	0.9120	1.7105
invs	genomicSuperDups_coords_normal.bed	4213127	1200010.7000	741199.0000	1892881.0000	348424.9057	3.5109	1.8118	1.0000e-02	1.0000e-02	36	10050495	1.5903e+00	2851	85317305	1.3500e+01	70	4213127	6.6663e-01	194.4444	41.9196	2.4553	4.9382
LFinvs	genomicSuperDups_coords_normal.bed	892513	284642.5600	104152.0000	627909.0000	146443.0068	3.1355	1.6487	1.0000e-02	1.0000e-02	18	1852592	2.9313e-01	2851	85317305	1.3500e+01	32	892513	1.4122e-01	177.7778	48.1764	1.1224	1.0461
LFNAHRinvs	genomicSuperDups_coords_normal.bed	694973	118290.2300	4844.0000	290868.0000	97222.0871	5.8751	2.5546	1.0000e-02	1.0000e-02	8	994122	1.5730e-01	2851	85317305	1.3500e+01	19	694973	1.0996e-01	237.5000	69.9082	0.6664	0.8146
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	129230.0700	1222.0000	385358.0000	132320.0644	1.5286	0.6122	2.8000e-01	2.8000e-01	10	858470	1.3583e-01	2851	85317305	1.3500e+01	13	197540	3.1256e-02	130.0000	23.0107	0.4560	0.2315
NAHRinvs	genomicSuperDups_coords_normal.bed	4015587	1061338.6200	582382.0000	1580981.0000	292379.1962	3.7835	1.9197	1.0000e-02	1.0000e-02	20	9066322	1.4345e+00	2851	85317305	1.3500e+01	57	4015587	6.3538e-01	285.0000	44.2912	1.9993	4.7067
NAHRno501invs	genomicSuperDups_coords_normal.bed	2154359	510917.8700	228894.0000	812561.0000	183377.0201	4.2166	2.0761	1.0000e-02	1.0000e-02	19	3415213	5.4038e-01	2851	85317305	1.3500e+01	45	2154359	3.4088e-01	236.8421	63.0812	1.5784	2.5251
NHinvs	genomicSuperDups_coords_normal.bed	197540	164873.9900	14934.0000	446655.0000	152093.6133	1.1981	0.2608	3.2000e-01	3.2000e-01	16	984173	1.5572e-01	2851	85317305	1.3500e+01	13	197540	3.1256e-02	81.2500	20.0717	0.4560	0.2315
no501invs	genomicSuperDups_coords_normal.bed	2351899	645677.4500	254125.0000	1065446.0000	253692.9746	3.6425	1.8649	1.0000e-02	1.0000e-02	35	4399386	6.9611e-01	2851	85317305	1.3500e+01	58	2351899	3.7214e-01	165.7143	53.4597	2.0344	2.7566
