pos	val	Chromosome	valScaled
60683.0	6.617247217607124e-09	chr10	1.7491231628768662e-08
2825248.0816326533	9.256809007559255e-09	chr10	2.446833028448358e-08
5589813.1632653065	1.1098778350711434e-08	chr10	2.9337169451991085e-08
8354378.24489796	1.183003137405252e-08	chr10	3.127007532506522e-08
11118943.326530613	1.1633301283014658e-08	chr10	3.0750062776412655e-08
13883508.408163266	1.0839977860735225e-08	chr10	2.8653087511729284e-08
16648073.48979592	9.716198102795969e-09	chr10	2.568262390360901e-08
19412638.571428575	8.52961508411091e-09	chr10	2.254615374554091e-08
22177203.653061226	7.577944688126208e-09	chr10	2.003062322612505e-08
24941768.734693877	7.023757222241836e-09	chr10	1.856575105001053e-08
27706333.816326533	6.771017343189517e-09	chr10	1.789768899626582e-08
30470898.897959188	6.609736731852222e-09	chr10	1.7471379318334496e-08
33235463.97959184	6.4724625245011826e-09	chr10	1.710852526762836e-08
36000029.06122449	6.452462680372287e-09	chr10	1.7055660096554356e-08
38764594.14285715	6.573697871966064e-09	chr10	1.7376118551254757e-08
41529159.2244898	6.688240281969603e-09	chr10	1.7678886115893783e-08
44293724.30612245	6.651263179848825e-09	chr10	1.7581145312673643e-08
47058289.3877551	6.460395613629622e-09	chr10	1.7076629053665465e-08
49822854.469387755	6.162831112019614e-09	chr10	1.6290083009517235e-08
52587419.55102041	5.758557878021898e-09	chr10	1.522147599747296e-08
55351984.632653065	5.269819681939396e-09	chr10	1.3929604511886107e-08
58116549.71428572	4.816431317839762e-09	chr10	1.2731172500285533e-08
60881114.795918375	4.562011618878781e-09	chr10	1.2058670213593376e-08
63645679.87755103	4.6153810554571985e-09	chr10	1.2199740532774762e-08
66410244.95918368	4.968141241245245e-09	chr10	1.313218417831494e-08
69174810.04081634	5.474530112164974e-09	chr10	1.4470711324757347e-08
71939375.12244898	5.9310631485432445e-09	chr10	1.5677455583038964e-08
74703940.20408164	6.2354466454049374e-09	chr10	1.6482026135188847e-08
77468505.2857143	6.413161423311858e-09	chr10	1.6951775903031006e-08
80233070.36734694	6.471637417605058e-09	chr10	1.7106344279769813e-08
82997635.4489796	6.359416032070124e-09	chr10	1.6809711830725138e-08
85762200.53061225	6.1010419138567365e-09	chr10	1.6126756910055958e-08
88526765.6122449	5.829630343922808e-09	chr10	1.5409340365029433e-08
91291330.69387756	5.64180129546185e-09	chr10	1.491285575667142e-08
94055895.7755102	5.508154613634747e-09	chr10	1.4559590268564186e-08
96820460.85714287	5.340888538099289e-09	chr10	1.4117459337889396e-08
99585025.93877551	5.105104461182805e-09	chr10	1.3494216202473792e-08
102349591.02040817	4.8740611094354184e-09	chr10	1.2883504127073658e-08
105114156.10204083	4.795937518144769e-09	chr10	1.267700166676054e-08
107878721.18367347	4.993554819312655e-09	chr10	1.3199359359455234e-08
110643286.26530613	5.487913982048152e-09	chr10	1.450608862902264e-08
113407851.34693879	6.209396613050231e-09	chr10	1.6413168627698315e-08
116172416.42857143	7.05718908804681e-09	chr10	1.8654120803980243e-08
118936981.51020409	7.94755760490775e-09	chr10	2.1007613344192385e-08
121701546.59183675	8.827733966387356e-09	chr10	2.333416517254825e-08
124466111.6734694	9.618169018579034e-09	chr10	2.5423505668788923e-08
127230676.75510205	1.0083955599888558e-08	chr10	2.6654709629490166e-08
129995241.8367347	9.812105608408583e-09	chr10	2.5936134213930206e-08
132759806.91836736	8.489450720948657e-09	chr10	2.243998812165071e-08
135524372.0	6.2893231682931014e-09	chr10	1.662443682504219e-08
87267.0	5.174721259852011e-09	chr11	1.3678232835181187e-08
2839495.224489796	7.241157874645497e-09	chr11	1.91404016626278e-08
5591723.448979592	8.227489770730205e-09	chr11	2.1747552202712775e-08
8343951.673469388	8.102138219601892e-09	chr11	2.141621306066337e-08
11096179.897959184	7.456276510308318e-09	chr11	1.9709020267964376e-08
13848408.12244898	6.9293267292299385e-09	chr11	1.831614489630736e-08
16600636.346938776	6.813624924776784e-09	chr11	1.8010312728488123e-08
19352864.57142857	6.822023991029871e-09	chr11	1.8032513805230006e-08
22105092.795918368	6.395565727345231e-09	chr11	1.6905265566678035e-08
24857321.020408165	5.45919683459317e-09	chr11	1.4430181191785586e-08
27609549.24489796	4.572696380273392e-09	chr11	1.2086913020655801e-08
30361777.469387755	4.252346070439506e-09	chr11	1.1240137724616835e-08
33114005.69387755	4.380144679570526e-09	chr11	1.1577945124074017e-08
35866233.91836735	4.448684958217468e-09	chr11	1.1759116213847437e-08
38618462.14285714	4.349122199863223e-09	chr11	1.14959440501508e-08
41370690.36734694	4.769129949983345e-09	chr11	1.2606141780663521e-08
44122918.591836736	7.137531590852267e-09	chr11	1.8866488466845562e-08
46875146.81632653	1.3012407707434425e-08	chr11	3.439542603956304e-08
49627375.04081633	2.1527603700076157e-08	chr11	5.690346610120036e-08
52379603.26530612	2.7380029725502745e-08	chr11	7.237306181595547e-08
55131831.48979592	2.5412086331401717e-08	chr11	6.717123806559942e-08
57884059.71428572	1.7314426740896985e-08	chr11	4.576686327186816e-08
60636287.93877551	9.355412299821366e-09	chr11	2.4728966311459678e-08
63388516.16326531	5.095473598372359e-09	chr11	1.3468759143569574e-08
66140744.3877551	3.918335995993225e-09	chr11	1.0357255857526067e-08
