Start	End	Chromosome
158946.0	44343271.22448979	chr10
44343271.22448979	105096718.40816326	chr10
105096718.40816326	135473442.0	chr10
241489.0	52473373.469387755	chr11
52473373.469387755	88210978.63265306	chr11
88210978.63265306	134944770.0	chr11
191619.0	38349486.14285714	chr12
38349486.14285714	84684039.10204081	chr12
84684039.10204081	133744154.0	chr12
19260565.0	58368447.85714286	chr13
58368447.85714286	85743965.85714287	chr13
85743965.85714287	115074878.0	chr13
19035752.0	44249947.71428572	chr14
44249947.71428572	65862115.469387755	chr14
65862115.469387755	82071241.28571428	chr14
82071241.28571428	107285437.0	chr14
20161372.0	45336043.12244898	chr15
45336043.12244898	75545648.46938775	chr15
75545648.46938775	102398631.0	chr15
143503.0	38714011.0	chr16
38714011.0	69937755.57142857	chr16
69937755.57142857	90141355.0	chr16
6888.0	23162343.14285714	chr17
23162343.14285714	43009876.12244898	chr17
43009876.12244898	61203448.02040816	chr17
61203448.02040816	81050981.0	chr17
112535.0	17600749.63265306	chr18
17600749.63265306	38268639.653061226	chr18
38268639.653061226	50987341.20408163	chr18
50987341.20408163	78014582.0	chr18
261033.0	12260430.959183674	chr19
12260430.959183674	25459768.714285713	chr19
25459768.714285713	39859046.26530612	chr19
39859046.26530612	59058083.0	chr19
752721.0	137636103.24489796	chr1
137636103.24489796	183263897.32653064	chr1
183263897.32653064	249170711.0	chr1
69094.0	28281813.18367347	chr20
28281813.18367347	62906514.0	chr20
14665973.0	31039277.48979592	chr21
31039277.48979592	48094803.0	chr21
17087705.0	23358702.959183674	chr22
23358702.959183674	31023256.02040816	chr22
31023256.02040816	41474919.28571428	chr22
41474919.28571428	51229805.0	chr22
118913.0	59610761.0	chr2
59610761.0	94314339.0	chr2
94314339.0	148848533.0	chr2
148848533.0	193467419.0	chr2
193467419.0	243043959.0	chr2
108226.0	48522597.75510204	chr3
48522597.75510204	88867907.55102041	chr3
88867907.55102041	161489465.18367347	chr3
161489465.18367347	197800244.0	chr3
167596.0	120858271.34693877	chr4
120858271.34693877	190936728.0	chr4
157856.0	18579792.42857143	chr5
18579792.42857143	48054890.71428572	chr5
48054890.71428572	95951925.42857143	chr5
95951925.42857143	180692833.0	chr5
183917.0	31554935.428571425	chr6
31554935.428571425	62925953.85714285	chr6
62925953.85714285	118696653.28571428	chr6
118696653.28571428	170981684.0	chr6
46239.0	61727702.12244898	chr7
61727702.12244898	87698844.48979592	chr7
87698844.48979592	116916379.65306123	chr7
116916379.65306123	159119486.0	chr7
113565.0	47841534.30612245	chr8
47841534.30612245	86620509.36734694	chr8
86620509.36734694	113467492.10204083	chr8
113467492.10204083	146280471.0	chr8
212908.0	54814654.71428571	chr9
54814654.71428571	100795073.0	chr9
100795073.0	141027939.0	chr9
2737282.0	61548392.632653065	chrX
61548392.632653065	154408041.0	chrX
