pos	val	Chromosome	valScaled	Type
60881114.795918375	4.633566961495842e-09	chr10	1.2216260044903382e-08	Minima
105114156.10204083	4.820854913596458e-09	chr10	1.2710039102193604e-08	Minima
135524372.0	6.711335287334043e-09	chr10	1.769423379437712e-08	Minima
60683.0	6.64149857481105e-09	chr10	1.7510111400560106e-08	Minima
41529159.2244898	3.95070622109926e-09	chr10	1.0415918224344717e-08	Minima
52587419.55102041	5.776726838574385e-09	chr10	1.5230166706302517e-08	Maxima
80233070.36734694	6.712789416958176e-09	chr10	1.769806756343129e-08	Maxima
127230676.75510205	1.0951070509302027e-08	chr10	2.8872168293542454e-08	Maxima
8354378.24489796	1.2321889949393369e-08	chr10	3.248629255114431e-08	Maxima
104671939.53061225	5.9731160466324614e-09	chr11	1.5747940951411428e-08	Minima
88158570.18367347	5.9171630326713975e-09	chr11	1.5600422511616655e-08	Minima
134946450.0	6.7505340336588906e-09	chr11	1.779758011105233e-08	Minima
87267.0	7.281149827468183e-09	chr11	1.919653270523574e-08	Minima
55131831.48979592	2.334184712775902e-09	chr11	6.154007847747409e-09	Minima
99167483.08163266	6.1971009211357235e-09	chr11	1.6338470341791394e-08	Maxima
77149657.28571428	6.501146467889622e-09	chr11	1.7140077288557385e-08	Maxima
126689765.32653062	1.0661037338900333e-08	chr11	2.8107504555925706e-08	Maxima
8343951.673469388	1.1204737692787707e-08	chr11	2.95409541995346e-08	Maxima
106539467.46938775	7.101425340508165e-09	chr12	1.872269449648961e-08	Minima
60125478.36734694	4.914039907007815e-09	chr12	1.2955718536904579e-08	Minima
84697590.24489796	4.054935076303884e-09	chr12	1.0690714468780822e-08	Minima
60316.0	7.348521552254879e-09	chr12	1.9374156232964417e-08	Minima
133841814.0	8.272310143110672e-09	chr12	2.180969709083648e-08	Minima
38283601.14285714	3.15226789740071e-09	chr12	8.310859578776035e-09	Minima
98348763.51020409	7.3938955959841206e-09	chr12	1.9493783535664773e-08	Maxima
51934774.408163264	5.286488299262458e-09	chr12	1.3937667530174345e-08	Maxima
68316182.32653062	5.879096316185671e-09	chr12	1.5500060757592253e-08	Maxima
8251019.959183674	1.1289637968182861e-08	chr12	2.9764791224170216e-08	Maxima
128381344.69387756	1.2589616423502854e-08	chr12	3.3192145354352905e-08	Maxima
85694619.26530613	5.2171832600327746e-09	chr13	1.3754946877017167e-08	Minima
19020094.0	8.850419500117967e-09	chr13	2.3333865037103318e-08	Minima
115109851.0	8.902110106425342e-09	chr13	2.347014576721405e-08	Minima
58240402.97959184	4.790046366203197e-09	chr13	1.2628813292857224e-08	Minima
73928526.57142857	1.001675866769278e-08	chr13	2.64088832013062e-08	Maxima
24903140.346938774	1.6424749934980215e-08	chr13	4.3303359602998645e-08	Maxima
109226804.65306123	1.6995968287766955e-08	chr13	4.480935962372813e-08	Maxima
29811002.12244898	1.324262110364687e-08	chr14	3.491377256929726e-08	Minima
82063898.71428572	8.168542564530404e-09	chr14	2.153611698835809e-08	Minima
65847482.530612245	7.17682828087981e-09	chr14	1.8921492082751965e-08	Minima
19000058.0	1.1896278273792586e-08	chr14	3.136418015900836e-08	Minima
107289435.0	7.577655273294379e-09	chr14	1.997826040250279e-08	Minima
44225594.28571428	5.4097538282463975e-09	chr14	1.4262653392934869e-08	Minima
31612826.14285714	1.3344934705371402e-08	chr14	3.5183519305490765e-08	Maxima
76658426.65306123	9.576240719801905e-09	chr14	2.5247470870244332e-08	Maxima
55036538.408163264	9.353538058275687e-09	chr14	2.4660321995844966e-08	Maxima
22603706.040816326	1.759861107919743e-08	chr14	4.639820923256695e-08	Maxima
96478490.87755102	1.715693589235414e-08	chr14	4.523374587578466e-08	Maxima
75575392.42857143	6.551688629266932e-09	chr15	1.7273330178123347e-08	Minima
20000446.0	1.4161380453181401e-08	chr15	3.7336053983565796e-08	Minima
102520821.0	9.993331847628155e-09	chr15	2.6347119094234304e-08	Minima
46945874.57142857	4.975778081958458e-09	chr15	1.311848937979131e-08	Minima
60418588.85714286	1.0378366108566146e-08	chr15	2.7362250352054134e-08	Maxima
23368624.57142857	2.067864007758629e-08	chr15	5.451861312503919e-08	Maxima
95784463.85714285	2.0295754211795397e-08	chr15	5.350914604646059e-08	Maxima
20316478.755102042	1.0977102028817077e-08	chr16	2.894079961243833e-08	Minima
68195005.44897959	5.604908723295467e-09	chr16	1.4777173408889405e-08	Minima
60179.0	8.643209268480249e-09	chr16	2.2787561488522713e-08	Minima
90292787.0	1.0856381807742719e-08	chr16	2.8622524377489208e-08	Minima
40572778.510204084	5.539152354670251e-10	chr16	1.4603808719135395e-09	Minima
23999442.346938774	1.1132740325096067e-08	chr16	2.9351135303297983e-08	Maxima
55304632.87755102	1.124300248990129e-08	chr16	2.9641838187181582e-08	Maxima
7426106.183673469	1.7369737536525265e-08	chr16	4.579479101547511e-08	Maxima
82926859.81632653	2.3583270136128736e-08	chr16	6.217658298373793e-08	Maxima
59650045.28571428	8.10394724507481e-09	chr17	2.1365813369847653e-08	Minima
43080602.428571425	6.209250346207277e-09	chr17	1.637050193587507e-08	Minima
51.0	1.145388045024788e-08	chr17	3.019781159227965e-08	Minima
81190321.0	9.846865490742261e-09	chr17	2.5960964945947197e-08	Minima
24854215.285714284	4.5316878460740795e-09	chr17	1.194765881878984e-08	Minima
54679212.428571425	9.798003001856574e-09	chr17	2.5832140462427474e-08	Maxima
33138936.714285713	1.1166060849437205e-08	chr17	2.94389838643669e-08	Maxima
9941716.714285715	1.9402127633737334e-08	chr17	5.1153126428893606e-08	Maxima
74562543.85714285	1.956863442512797e-08	chr17	5.159211658049246e-08	Maxima
62097407.91836735	1.179051496619894e-08	chr18	3.108533837696234e-08	Minima
50953643.06122449	8.690908527372362e-09	chr18	2.2913319151122047e-08	Minima
33442012.57142857	6.727734176508296e-09	chr18	1.7737468972861633e-08	Minima
78017072.0	9.641535678665648e-09	chr18	2.541961906702862e-08	Minima
10718.0	1.350649920953707e-08	chr18	3.560947926534781e-08	Minima
19114314.897959184	6.355840195170108e-09	chr18	1.675698166731181e-08	Minima
58913475.10204082	1.250323047910048e-08	chr18	3.296439140802744e-08	Maxima
46177743.8367347	9.706723626765313e-09	chr18	2.5591485133149327e-08	Maxima
23890214.12244898	8.591439752200225e-09	chr18	2.2651072714640515e-08	Maxima
73241172.7755102	1.760445918697965e-08	chr18	4.641362759298601e-08	Maxima
6378583.632653061	2.5234716816436224e-08	chr18	6.653057252669164e-08	Maxima
13321741.918367347	1.4678315706698673e-08	chr19	3.8698938244400215e-08	Minima
39835817.75510204	9.814822142549193e-09	chr19	2.587648362141066e-08	Minima
64704.0	1.7926408633983275e-08	chr19	4.7262437634708046e-08	Minima
59118782.0	1.1956628119361578e-08	chr19	3.1523290713202784e-08	Minima
25373594.57142857	3.874692109185435e-09	chr19	1.0215509302678481e-08	Minima
15732112.44897959	1.5615702589430935e-08	chr19	4.1170330590145414e-08	Maxima
33809891.428571425	1.2398922308409496e-08	chr19	3.268938605069516e-08	Maxima
3680259.795918367	2.813483818395522e-08	chr19	7.417665535700333e-08	Maxima
54298040.93877551	3.239097650454498e-08	chr19	8.539783613273507e-08	Maxima
218722636.24489796	4.036576586711072e-09	chr1	1.0642312862683164e-08	Minima
96651029.2244898	3.2845216490852e-09	chr1	8.659542620570307e-09	Minima
76305761.3877551	3.2243250084923377e-09	chr1	8.500835986691298e-09	Minima
45787859.63265306	3.453168009749824e-09	chr1	9.104173682261172e-09	Minima
188204734.48979592	2.7980283428167975e-09	chr1	7.376917638808734e-09	Minima
249240538.0	3.40872420972242e-09	chr1	8.9869989391248e-09	Minima
11007.0	4.296221691795953e-09	chr1	1.1326859379321654e-08	Minima
132255247.93877551	1.1472280892597686e-09	chr1	3.024632380556035e-09	Minima
208550002.3265306	4.059006102571841e-09	chr1	1.0701447607192818e-08	Maxima
86478395.30612245	3.323626771688305e-09	chr1	8.762642101116744e-09	Maxima
106823663.14285713	3.5071645477477195e-09	chr1	9.24653393197554e-09	Maxima
61046810.51020408	3.764092292262466e-09	chr1	9.923916209133652e-09	Maxima
162773149.69387755	4.231065002184545e-09	chr1	1.1155075725265847e-08	Maxima
239067904.08163264	5.761094203274439e-09	chr1	1.5188951733129964e-08	Maxima
10183640.918367347	6.754337369943398e-09	chr1	1.7807607492867647e-08	Maxima
14181955.040816326	1.602856914080572e-08	chr20	4.2258840845279096e-08	Minima
61097.0	1.488261866546608e-08	chr20	3.923757685542832e-08	Minima
62963101.0	1.2279348471475628e-08	chr20	3.2374133223081024e-08	Minima
28302813.08163265	3.358885878810597e-09	chr20	8.855601677429411e-09	Minima
15465669.408163264	1.6052454378749707e-08	chr20	4.2321813557313444e-08	Maxima
3912240.102040816	2.3454235557105793e-08	chr20	6.183638719392246e-08	Maxima
57828243.530612245	2.5187088794811934e-08	chr20	6.640500267900808e-08	Maxima
9411244.0	1.9924642485070477e-08	chr21	5.253072113169014e-08	Minima
25210586.448979594	1.9546381599574427e-08	chr21	5.153344767466786e-08	Minima
31530323.42857143	1.5913622637045467e-08	chr21	4.195578784251546e-08	Minima
48119633.0	1.3642644676549085e-08	chr21	3.596842269764832e-08	Minima
12571112.48979592	1.0570461309361593e-08	chr21	2.786870357605967e-08	Minima
10201211.122448979	2.1168639821951594e-08	chr21	5.5810482725466914e-08	Maxima
28370454.93877551	2.3239034692052713e-08	chr21	6.126901658047872e-08	Maxima
18890849.469387755	2.9420283978501794e-08	chr21	7.756569456379595e-08	Maxima
42589863.14285715	4.157985785660853e-08	chr21	1.096240456709551e-07	Maxima
24669454.163265307	2.8832579826461527e-08	chr22	7.601623022876979e-08	Minima
31133590.285714284	1.3005475012395651e-08	chr22	3.428854402648539e-08	Minima
51244236.0	1.7381468460558434e-08	chr22	4.5825719244147985e-08	Minima
16050606.0	1.935752514464443e-08	chr22	5.1035533306805e-08	Minima
41188913.14285714	1.1855292108879289e-08	chr22	3.125612136694064e-08	Minima
26824166.204081632	3.173212088195785e-08	chr22	8.366078308387339e-08	Maxima
36879489.06122449	2.4326373931181047e-08	chr22	6.413575380745751e-08	Maxima
48371286.6122449	3.845526530199607e-08	chr22	1.0138615130173414e-07	Maxima
19641792.734693877	4.411041399593422e-08	chr22	1.1629578088339918e-07	Maxima
59563440.326530606	3.968108794856199e-09	chr2	1.0461799587068512e-08	Minima
29786810.163265303	4.9684012976788716e-09	chr2	1.3099040709727095e-08	Minima
153856102.51020408	2.8465312648445916e-09	chr2	7.504794135113412e-09	Minima
193558276.0612245	2.8478754965813276e-09	chr2	7.508338161690138e-09	Minima
243185993.0	3.460638046015388e-09	chr2	9.123868208383986e-09	Minima
10180.0	3.884597380496671e-09	chr2	1.0241624252814934e-08	Minima
99265613.87755102	2.3860654342517343e-09	chr2	6.290789810786391e-09	Minima
69488983.71428572	4.099497899228979e-09	chr2	1.080820301221005e-08	Maxima
39712353.551020406	5.166735565028366e-09	chr2	1.3621943045204436e-08	Maxima
129042244.04081632	3.6408230198969578e-09	chr2	9.59892047706012e-09	Maxima
173707189.28571427	3.826493571351255e-09	chr2	1.0088435306152838e-08	Maxima
233260449.61224487	5.224779844365908e-09	chr2	1.3774975043317074e-08	Maxima
9935723.387755102	6.152332896858005e-09	chr2	1.6220440791162737e-08	Maxima
133341258.69387756	4.070351031835398e-09	chr3	1.0731358172255616e-08	Minima
161612999.26530612	3.4272116282315865e-09	chr3	9.035740462435823e-09	Minima
197962380.0	4.8743889409222985e-09	chr3	1.2851179956420583e-08	Minima
60196.0	5.814835468369264e-09	chr3	1.5330638963506913e-08	Minima
44487216.89795919	3.4454469145336355e-09	chr3	9.08381724675992e-09	Minima
92953057.87755102	1.5789297115820745e-09	chr3	4.162800734206726e-09	Minima
121224798.4489796	4.214996271062341e-09	chr3	1.1112710998563568e-08	Maxima
145457718.9387755	4.313844056367746e-09	chr3	1.1373320213923604e-08	Maxima
189884739.8367347	7.267481479055225e-09	chr3	1.9160496515409503e-08	Maxima
8137836.1632653065	8.393144774889456e-09	chr3	2.212827396616952e-08	Maxima
64681317.30612245	6.419880834042596e-09	chr3	1.692582288713428e-08	Maxima
