Start	End	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683.0	60881114.795918375	chr10	60820431.795918375	6.0	4.0	2.0	3000.0	1262.0	1.0637080688480644e-08	2.03246956168e-06
60881114.795918375	105114156.10204084	chr10	44233041.30612247	2.0	2.0	0.0	772.0	306.0	7.266259461707954e-09	1.46166529389e-06
105114156.10204084	135524372.0	chr10	30410215.897959158	1.0	1.0	0.0	298.0	52.0	1.162360805189636e-08	2.19240487572e-06
87267.0	30361777.469387755	chr11	30274510.469387755	2.0	1.0	1.0	922.0	122.0	1.182619892947013e-08	2.40834527739e-06
30361777.469387755	88158570.18367347	chr11	57796792.71428572	3.0	2.0	1.0	2134.0	644.0	1.4319196771408064e-08	1.36376747468e-06
88158570.18367347	134946450.0	chr11	46787879.81632653	0.0	0.0	0.0	808.0	302.0	9.574594833683583e-09	2.13895966194e-06
60316.0	38283601.14285714	chr12	38223285.14285714	0.0	0.0	0.0	1148.0	242.0	1.0097146331208255e-08	2.26036726507e-06
38283601.14285714	84697590.24489796	chr12	46413989.10204082	7.0	6.0	1.0	678.0	80.0	5.81054933179556e-09	1.06492322569e-06
84697590.24489796	133841814.0	chr12	49144223.75510204	0.0	0.0	0.0	460.0	110.0	1.0508494397710636e-08	2.14151877425e-06
19020094.0	58240402.97959184	chr13	39220308.97959184	0.0	0.0	0.0	1540.0	348.0	1.0027408463005555e-08	1.84409700969e-06
58240402.97959184	85694619.26530613	chr13	27454216.28571429	2.0	0.0	2.0	464.0	62.0	6.395991166583125e-09	1.89263955272e-06
85694619.26530613	115109851.0	chr13	29415231.73469387	1.0	1.0	0.0	1990.0	1786.0	1.123189682382405e-08	1.65779765071e-06
19000058.0	44225594.28571428	chr14	25225536.285714284	2.0	1.0	1.0	804.0	96.0	1.1766616784096851e-08	1.82671014403e-06
44225594.28571428	65847482.530612245	chr14	21621888.24489796	3.0	2.0	1.0	410.0	10.0	6.921063876014964e-09	1.47347572312e-06
65847482.530612245	107289435.0	chr14	41441952.469387755	1.0	0.0	1.0	736.0	194.0	9.984722973061084e-09	1.65261405816e-06
20000446.0	46945874.57142857	chr15	26945428.571428567	0.0	0.0	0.0	3664.0	2058.0	1.4484187350329165e-08	1.53594000404e-06
46945874.57142857	75575392.42857143	chr15	28629517.857142866	0.0	0.0	0.0	730.0	252.0	8.00378058584018e-09	1.5057177186e-06
75575392.42857143	102520821.0	chr15	26945428.571428567	0.0	0.0	0.0	2674.0	1954.0	1.392555647745925e-08	3.48511833934e-06
60179.0	38731296.71428572	chr16	38671117.71428572	3.0	1.0	2.0	5142.0	2670.0	1.0885946505800839e-08	1.84145553703e-06
38731296.71428572	68195005.44897959	chr16	29463708.73469387	1.0	1.0	0.0	512.0	78.0	8.796813766103172e-09	2.23355588705e-06
68195005.44897959	90292787.0	chr16	22097781.551020414	2.0	1.0	1.0	740.0	306.0	1.7070552225708748e-08	1.65956775853e-06
51.0	41423658.14285714	chr17	41423607.14285714	4.0	2.0	2.0	2504.0	1462.0	2.0708219555951626e-08	2.90936832003e-06
41423658.14285714	81190321.0	chr17	39766662.85714286	2.0	0.0	2.0	1310.0	832.0	1.1084871230819898e-08	2.17201349849e-06
10718.0	31850046.163265307	chr18	31839328.163265307	1.0	1.0	0.0	1188.0	88.0	1.9835868829184653e-08	1.96169960508e-06
31850046.163265307	78017072.0	chr18	46167025.8367347	0.0	0.0	0.0	264.0	68.0	9.881499113571747e-09	2.34161124192e-06
64704.0	24168409.30612245	chr19	24103705.30612245	1.0	1.0	0.0	1060.0	362.0	1.595972040611363e-08	3.48221243769e-06
24168409.30612245	59118782.0	chr19	34950372.69387755	0.0	0.0	0.0	1626.0	754.0	1.3322630764130379e-08	2.11207575918e-06
11007.0	76305761.3877551	chr1	76294754.3877551	3.0	3.0	0.0	2752.0	1360.0	9.686687117186243e-09	2.49397047287e-06
76305761.3877551	188204734.48979592	chr1	111898973.10204083	5.0	3.0	2.0	4812.0	2596.0	8.754756834919193e-09	4.53144021763e-06
188204734.48979592	249240538.0	chr1	61035803.51020408	2.0	2.0	0.0	1570.0	374.0	9.256314502385648e-09	1.80063548403e-06
61097.0	30870241.81632653	chr20	30809144.81632653	2.0	0.0	2.0	628.0	102.0	1.1645883612717435e-08	1.68770806854e-06
30870241.81632653	62963101.0	chr20	32092859.18367347	0.0	0.0	0.0	440.0	90.0	1.2025488917829599e-08	1.94375798567e-06
9411244.0	31530323.42857143	chr21	22119079.42857143	2.0	1.0	1.0	1540.0	98.0	1.2628162598485649e-08	1.8015841034e-06
31530323.42857143	48119633.0	chr21	16589309.57142857	0.0	0.0	0.0	382.0	54.0	1.4534334664177806e-08	1.1301898994e-06
16050606.0	31133590.285714284	chr22	15082984.285714284	0.0	0.0	0.0	2348.0	924.0	1.9137993368415396e-08	4.01381106281e-06
31133590.285714284	41188913.14285714	chr22	10055322.857142858	0.0	0.0	0.0	122.0	60.0	1.117892613524707e-08	1.59247211782e-06
41188913.14285714	51244236.0	chr22	10055322.857142858	0.0	0.0	0.0	280.0	50.0	1.821613332726778e-08	3.30859936904e-06
10180.0	99265613.87755102	chr2	99255433.87755102	1.0	1.0	0.0	3426.0	820.0	8.837628253899205e-09	1.77239009375e-06
99265613.87755102	153856102.51020408	chr2	54590488.63265306	4.0	3.0	1.0	2106.0	622.0	5.820974137812088e-09	1.33756725864e-06
153856102.51020408	193558276.0612245	chr2	39702173.55102041	2.0	2.0	0.0	602.0	56.0	6.1430727122768385e-09	2.19404751732e-06
193558276.0612245	243185993.0	chr2	49627716.93877551	3.0	2.0	1.0	876.0	148.0	8.615379262729647e-09	2.25111959574e-06
60196.0	44487216.89795919	chr3	44427020.89795919	3.0	3.0	0.0	1066.0	162.0	1.0988995540998132e-08	3.28413428516e-06
44487216.89795919	92953057.87755102	chr3	48465840.97959183	3.0	3.0	0.0	918.0	104.0	6.579383154712371e-09	2.09512559065e-06
92953057.87755102	197962380.0	chr3	105009322.12244898	2.0	2.0	0.0	2272.0	470.0	7.454793827251164e-09	1.92017465634e-06
10455.0	31199585.612244897	chr4	31189130.612244897	0.0	0.0	0.0	1784.0	298.0	1.2058138544378052e-08	3.93853893045e-06
31199585.612244897	97476488.1632653	chr4	66276902.551020406	2.0	2.0	0.0	1258.0	278.0	1.221318931370266e-08	3.11652872834e-06
97476488.1632653	191043880.0	chr4	93567391.8367347	3.0	2.0	1.0	1412.0	174.0	7.441969314499754e-09	2.1274538472e-06
10042.0	92288285.87755102	chr5	92278243.87755102	3.0	2.0	1.0	2634.0	1158.0	7.93061887766838e-09	2.81218352126e-06
92288285.87755102	180875400.0	chr5	88587114.12244898	4.0	3.0	1.0	1728.0	784.0	8.187752328788829e-09	1.95838488362e-06
63978.0	62876420.57142857	chr6	62812442.57142857	2.0	2.0	0.0	1338.0	264.0	9.835902404901707e-09	3.62551410928e-06
62876420.57142857	171053405.0	chr6	108176984.42857143	6.0	4.0	2.0	1144.0	128.0	7.211613121046785e-09	3.93385897989e-06
16863.0	61713237.632653065	chr7	61696374.632653065	5.0	2.0	3.0	3350.0	1182.0	1.01394564799068e-08	2.17977629591e-06
61713237.632653065	120162434.65306124	chr7	58449197.020408176	2.0	2.0	0.0	3826.0	2280.0	6.126790400037137e-09	6.22663484284e-06
120162434.65306124	159128566.0	chr7	38966131.34693876	2.0	1.0	1.0	748.0	276.0	1.0724124821261578e-08	3.18250223141e-06
11739.0	32852811.0	chr8	32841072.0	2.0	0.0	2.0	2310.0	566.0	1.6717688948826728e-08	1.98214823255e-06
32852811.0	86592747.0	chr8	53739936.0	0.0	0.0	0.0	852.0	114.0	1.0495243414061146e-08	1.58874848558e-06
