pos	val	Chromosome	valScaled
60683.0	6.7640201797592346e-09	chr10	1.7885719361261807e-08
2825248.0816326533	9.487252279817625e-09	chr10	2.5086609335389256e-08
5589813.1632653065	1.1425673897015638e-08	chr10	3.0212268947221016e-08
8354378.24489796	1.2229972443989371e-08	chr10	3.2339030504924544e-08
11118943.326530613	1.2045587927273667e-08	chr10	3.1851472864217396e-08
13883508.408163266	1.1204319971565213e-08	chr10	2.962695517155146e-08
16648073.48979592	1.0018520357781436e-08	chr10	2.649141173034543e-08
19412638.571428575	8.808415354217795e-09	chr10	2.3291598909537376e-08
22177203.653061226	7.879300832521515e-09	chr10	2.083479346722656e-08
24941768.734693877	7.337151747760013e-09	chr10	1.9401219035999138e-08
27706333.816326533	6.9800134475101306e-09	chr10	1.845685825030219e-08
30470898.897959188	6.4696020879527736e-09	chr10	1.7107206106572493e-08
33235463.97959184	5.6548490175859085e-09	chr10	1.495280023875516e-08
36000029.06122449	4.734404637673558e-09	chr10	1.2518920766303773e-08
38764594.14285715	4.110180293680977e-09	chr10	1.0868319328341108e-08
41529159.2244898	4.0702202681479035e-09	chr10	1.076265527303682e-08
44293724.30612245	4.563698387197677e-09	chr10	1.206753179819257e-08
47058289.3877551	5.235788273159255e-09	chr10	1.384470140537714e-08
49822854.469387755	5.676219947350843e-09	chr10	1.5009310190249488e-08
52587419.55102041	5.67942203532992e-09	chr10	1.50177772919792e-08
55351984.632653065	5.332734998662956e-09	chr10	1.4101052196662656e-08
58116549.71428572	4.9003802428954976e-09	chr10	1.2957800754376318e-08
60881114.795918375	4.633121129325283e-09	chr10	1.2251102463268232e-08
63645679.87755103	4.657599140707421e-09	chr10	1.2315828296495753e-08
66410244.95918368	4.959573271430166e-09	chr10	1.3114321561289688e-08
69174810.04081634	5.4032616773154505e-09	chr10	1.4287541939202915e-08
71939375.12244898	5.8140189583117914e-09	chr10	1.5373684389735494e-08
74703940.20408164	6.109174276974373e-09	chr10	1.615414705207052e-08
77468505.2857143	6.30784191011491e-09	chr10	1.6679472736809127e-08
80233070.36734694	6.4045832738385566e-09	chr10	1.69352805014525e-08
82997635.4489796	6.350246974503432e-09	chr10	1.6791602071286708e-08
85762200.53061225	6.176852781466987e-09	chr10	1.6333105527352282e-08
88526765.6122449	6.0079441296146255e-09	chr10	1.5886469848505456e-08
91291330.69387756	5.911169459147907e-09	chr10	1.5630574012708597e-08
94055895.7755102	5.827092306843866e-09	chr10	1.5408253512349344e-08
96820460.85714287	5.6568301180677225e-09	chr10	1.495803875169606e-08
99585025.93877551	5.37944524322994e-09	chr10	1.4224565477731951e-08
102349591.02040817	5.096345121881594e-09	chr10	1.347597969782437e-08
105114156.10204083	4.980669859654268e-09	chr10	1.317010608682755e-08
107878721.18367347	5.168967056846243e-09	chr10	1.366800980916797e-08
110643286.26530613	5.69038508227967e-09	chr10	1.5046766262425253e-08
113407851.34693879	6.48282653479176e-09	chr10	1.7142174769968535e-08
116172416.42857143	7.4454954215085635e-09	chr10	1.9687706138600252e-08
118936981.51020409	8.480188897791904e-09	chr10	2.242368809162733e-08
121701546.59183675	9.509352373006459e-09	chr10	2.5145047372847518e-08
124466111.6734694	1.0422788733949526e-08	chr10	2.7560395933617406e-08
127230676.75510205	1.0948363900784953e-08	chr10	2.8950144882829057e-08
129995241.8367347	1.0641291178558197e-08	chr10	2.813816969835497e-08
132759806.91836736	9.188144513649937e-09	chr10	2.4295695437696004e-08
135524372.0	6.801396795036205e-09	chr10	1.798455224965534e-08
87267.0	7.308062114130298e-09	chr11	1.93242989485961e-08
2839495.224489796	9.566962439622554e-09	chr11	2.529738244230258e-08
5591723.448979592	1.0889063448012651e-08	chr11	2.879334002002646e-08
8343951.673469388	1.1174069164145236e-08	chr11	2.9546964657391794e-08
11096179.897959184	1.0806361434856506e-08	chr11	2.857465572302384e-08
13848408.12244898	1.028799050438777e-08	chr11	2.720395653215744e-08
16600636.346938776	9.867908693918348e-09	chr11	2.6093157751084865e-08
19352864.57142857	9.436090644185153e-09	chr11	2.4951325490476467e-08
22105092.795918368	8.76399410580251e-09	chr11	2.3174138292667814e-08
24857321.020408165	7.861078868557181e-09	chr11	2.07866101494635e-08
27609549.24489796	7.034762726961603e-09	chr11	1.860162870063742e-08
30361777.469387755	6.566609188600626e-09	chr11	1.7363716544466976e-08
33114005.69387755	6.409607308876451e-09	chr11	1.6948565275649037e-08
35866233.91836735	6.2721338003939095e-09	chr11	1.6585051784118578e-08
38618462.14285714	5.9269061332048005e-09	chr11	1.567218561769811e-08
41370690.36734694	5.337110052335388e-09	chr11	1.411262090581727e-08
44122918.591836736	4.554139303504168e-09	chr11	1.2042255249076922e-08
46875146.81632653	3.6637383942826197e-09	chr11	9.687818041895817e-09
49627375.04081633	2.844191379242893e-09	chr11	7.520735814935027e-09
52379603.26530612	2.3394272134865376e-09	chr11	6.186016229184033e-09
55131831.48979592	2.302089859090482e-09	chr11	6.087287156136886e-09
57884059.71428572	2.68911826934492e-09	chr11	7.110684684039084e-09
60636287.93877551	3.3268974019800083e-09	chr11	8.797128289709432e-09
63388516.16326531	4.054036844641707e-09	chr11	1.071986235352389e-08
66140744.3877551	4.7823944359252235e-09	chr11	1.2645817499447967e-08
68892972.6122449	5.4537157399084494e-09	chr11	1.4420954788394923e-08
71645200.8367347	6.004190780974755e-09	chr11	1.587654507911482e-08
74397429.06122449	6.382027014245027e-09	chr11	1.6875636248743604e-08
77149657.28571428	6.556735731664949e-09	chr11	1.7337608715811252e-08
79901885.51020408	6.520175540537338e-09	chr11	1.7240934652026032e-08
82654113.73469388	6.322602286251072e-09	chr11	1.6718502771939422e-08
85406341.95918368	6.089969265038797e-09	chr11	1.6103364315668095e-08
88158570.18367347	5.961585966441077e-09	chr11	1.5763887556526665e-08
90910798.40816326	6.001083982011493e-09	chr11	1.58683299447876e-08
93663026.63265306	6.156121316825304e-09	chr11	1.6278286477634094e-08
96415254.85714287	6.289505334557814e-09	chr11	1.6630986358036602e-08
99167483.08163266	6.279674535484374e-09	chr11	1.6604991327174535e-08
101919711.30612245	6.1389188954179035e-09	chr11	1.6232799079097402e-08
104671939.53061225	6.040563656407823e-09	chr11	1.5972723834510132e-08
107424167.75510204	6.206295171300778e-09	chr11	1.6410958388209772e-08
110176395.97959185	6.747212588871967e-09	chr11	1.7841275990934775e-08
112928624.20408164	7.596496032346653e-09	chr11	2.0086988588541923e-08
115680852.42857143	8.570274624251309e-09	chr11	2.2661896727776854e-08
118433080.65306123	9.480309812099597e-09	chr11	2.5068251757206556e-08
121185308.87755102	1.0202888834207409e-08	chr11	2.6978926956613688e-08
123937537.10204081	1.065879317933121e-08	chr11	2.8184449257813328e-08
126689765.32653062	1.0724243273812743e-08	chr11	2.8357515273430453e-08
129441993.55102041	1.0175422837787487e-08	chr11	2.6906300162061215e-08
132194221.7755102	8.8099062147063e-09	chr11	2.3295541108347483e-08
134946450.0	6.713195396765336e-09	chr11	1.7751326236896788e-08
60316.0	7.309839909952211e-09	chr12	1.9328999874422357e-08
2790550.6530612246	9.623741219649478e-09	chr12	2.5447519387232947e-08
5520785.306122449	1.0972749686806171e-08	chr12	2.9014626849704978e-08
