pos	val	Chromosome	valScaled
158946.0	7.128100580472403e-09	chr10	1.9579021489316614e-06
2920466.326530612	9.944154770499283e-09	chr10	2.7313983261974754e-06
5681986.653061224	1.1913162179123225e-08	chr10	3.2722329837734894e-06
8443506.979591835	1.2633618759716695e-08	chr10	3.47012349772334e-06
11205027.306122448	1.222124073954379e-08	chr10	3.356854078646876e-06
13966547.632653061	1.1042269502829476e-08	chr10	3.0330216226044845e-06
16728067.959183672	9.518985381342011e-09	chr10	2.6146154537768096e-06
19489588.285714284	8.102582712152495e-09	chr10	2.2255668147388194e-06
22251108.612244897	7.157521277682088e-09	chr10	1.9659832422944167e-06
25012628.93877551	6.739937612897902e-09	chr10	1.8512839692679506e-06
27774149.265306123	6.5472255647094805e-09	chr10	1.7983510274535793e-06
30535669.591836732	6.157199960620272e-09	chr10	1.6912212304250949e-06
33297189.918367345	5.3513732385609715e-09	chr10	1.4698817791961533e-06
36058710.244897954	4.2544353819632955e-09	chr10	1.1685817396651812e-06
38820230.57142857	3.215426355129329e-09	chr10	8.831932292995211e-07
41581750.89795918	2.561775760587922e-09	chr10	7.036525663620371e-07
44343271.22448979	2.424354491276453e-09	chr10	6.659065503713354e-07
47104791.551020406	2.731028209900755e-09	chr10	7.501417720740561e-07
49866311.87755102	3.2945287278744673e-09	chr10	9.04920575011727e-07
52627832.20408163	3.891799173528139e-09	chr10	1.0689750907746338e-06
55389352.530612245	4.341893762328545e-09	chr10	1.1926042613630802e-06
58150872.85714285	4.592837068739872e-09	chr10	1.2615318015031202e-06
60912393.183673464	4.745912982195722e-09	chr10	1.3035777373764076e-06
63673913.51020408	4.978839859849622e-09	chr10	1.367556637386863e-06
66435433.83673469	5.412133992628758e-09	chr10	1.4865711636425416e-06
69196954.1632653	6.003328541717906e-09	chr10	1.6489567900840832e-06
71958474.48979591	6.575911225217157e-09	chr10	1.8062302255256947e-06
74719994.81632653	6.972317018144723e-09	chr10	1.9151124929768654e-06
77481515.14285713	7.137890627078719e-09	chr10	1.9605912177898025e-06
80243035.46938775	7.0650453018844765e-09	chr10	1.940582518820521e-06
83004555.79591836	6.7735371554338095e-09	chr10	1.8605128817659578e-06
85766076.12244898	6.371878453422048e-09	chr10	1.7501877780545548e-06
88527596.44897959	6.0244079444191944e-09	chr10	1.6547467487667808e-06
91289116.77551019	5.813325523565268e-09	chr10	1.5967679477207088e-06
94050637.10204081	5.683762824778365e-09	chr10	1.5611804748010364e-06
96812157.42857142	5.528186671312133e-09	chr10	1.5184477886169323e-06
99573677.75510204	5.302182210865728e-09	chr10	1.4563702949311134e-06
102335198.08163264	5.086351412013185e-09	chr10	1.3970872390723499e-06
105096718.40816326	5.061971232494152e-09	chr10	1.3903906436283372e-06
107858238.73469387	5.406372672234675e-09	chr10	1.4849886801389892e-06
110619759.06122449	6.181542877758155e-09	chr10	1.697907590870975e-06
113381279.3877551	7.298141789280647e-09	chr10	2.0046080061756864e-06
116142799.7142857	8.570508281884463e-09	chr10	2.3540936878062556e-06
118904320.04081632	9.81925175299264e-09	chr10	2.6970907454298516e-06
121665840.36734693	1.0932368541590674e-08	chr10	3.0028347129572523e-06
124427360.69387755	1.1793717537441643e-08	chr10	3.239424675587237e-06
127188881.02040815	1.212995213087737e-08	chr10	3.331779493760881e-06
129950401.34693877	1.1521867742408072e-08	chr10	3.164754671723798e-06
132711921.67346938	9.733302929307873e-09	chr10	2.6734828593330196e-06
135473442.0	7.072643942931707e-09	chr10	1.9426696660861038e-06
241489.0	6.222927806446365e-09	chr11	1.7092749446137108e-06
2990535.551020408	8.356349664977604e-09	chr11	2.295269936440729e-06
5739582.102040816	9.787532742037269e-09	chr11	2.6883783656015363e-06
8488628.653061224	1.0382740752710354e-08	chr11	2.851866384604902e-06
11237675.204081632	1.0414579384602762e-08	chr11	2.8606116211651103e-06
13986721.75510204	1.0253071308119862e-08	chr11	2.81624959141458e-06
16735768.306122448	1.0050160483607622e-08	chr11	2.760515313415983e-06
19484814.85714286	9.678432947558723e-09	chr11	2.6584115154363285e-06
22233861.408163264	8.978238311300157e-09	chr11	2.466086425810529e-06
24982907.95918367	8.056701213213788e-09	chr11	2.2129643711629817e-06
27731954.51020408	7.268921473025139e-09	chr11	1.996581952201946e-06
30481001.06122449	6.871599839251077e-09	chr11	1.8874481273069388e-06
33230047.612244897	6.764978465208113e-09	chr11	1.8581620341880155e-06
35979094.1632653	6.627663357439104e-09	chr11	1.8204451779867655e-06
38728140.71428572	6.2309352582973475e-09	chr11	1.7114743814776427e-06
41477187.26530612	5.537581235353648e-09	chr11	1.5210282287941582e-06
44226233.81632653	4.5967340740127316e-09	chr11	1.2626022065727444e-06
46975280.367346935	3.530437936121896e-09	chr11	9.697186429634838e-07
49724326.91836734	2.6126829652361166e-09	chr11	7.1763543939414e-07
52473373.469387755	2.185130615394659e-09	chr11	6.001980302155095e-07
55222420.02040816	2.4086870023265015e-09	chr11	6.616031023577778e-07
57971466.57142857	3.13146493438959e-09	chr11	8.601312306313154e-07
60720513.12244898	4.0248440876214295e-09	chr11	1.1055190368465083e-06
63469559.67346939	4.833846982724532e-09	chr11	1.3277308994503502e-06
66218606.22448979	5.485644556293923e-09	chr11	1.506762586160273e-06
68967652.7755102	5.996814982559075e-09	chr11	1.647167686334733e-06
71716699.3265306	6.3524553177975345e-09	chr11	1.7448527524682988e-06
74465745.87755102	6.490084043142265e-09	chr11	1.7826557511865514e-06
77214792.42857143	6.351067702810737e-09	chr11	1.7444716110500669e-06
79963838.97959183	5.946630954802965e-09	chr11	1.6333834510147506e-06
82712885.53061225	5.412375254494063e-09	chr11	1.4866374319449038e-06
85461932.08163264	4.979606944464105e-09	chr11	1.3677673353979463e-06
88210978.63265306	4.8400386232769374e-09	chr11	1.3294315806074284e-06
90960025.18367347	5.011439479912989e-09	chr11	1.376510897425123e-06
93709071.73469387	5.326852630842075e-09	chr11	1.4631466118112458e-06
96458118.28571428	5.564551910849834e-09	chr11	1.528436365494247e-06
99207164.83673468	5.622858549176554e-09	chr11	1.544451668756045e-06
101956211.3877551	5.6010351811216155e-09	chr11	1.5384573623164385e-06
104705257.93877551	5.724505276339462e-09	chr11	1.572371356939084e-06
107454304.48979591	6.184019167005847e-09	chr11	1.6985877625358803e-06
110203351.04081632	7.012549335609775e-09	chr11	1.926163254667451e-06
112952397.59183674	8.076515873872067e-09	chr11	2.2184069384002453e-06
115701444.14285713	9.17161072657157e-09	chr11	2.5192007531309374e-06
118450490.69387755	1.0143205281868477e-08	chr11	2.786072277491505e-06
121199537.24489796	1.0936972276864562e-08	chr11	3.0040992382096806e-06
123948583.79591836	1.1530609422377713e-08	chr11	3.167155781781745e-06
126697630.34693877	1.1782729631236011e-08	chr11	3.236406586135581e-06
129446676.89795917	1.1360407692030867e-08	chr11	3.120405833484033e-06
132195723.44897959	9.940405532656851e-09	chr11	2.7303685089627604e-06
134944770.0	7.593672730507857e-09	chr11	2.085782599375128e-06
191619.0	7.152783916753984e-09	chr12	1.9646820135818467e-06
2917180.93877551	9.556336104438454e-09	chr12	2.624874717123207e-06
5642742.87755102	1.097868373600436e-08	chr12	3.0155562812975145e-06
8368304.816326531	1.1231814280223736e-08	chr12	3.0850845982582876e-06
11093866.75510204	1.0656707023972771e-08	chr12	2.9271177289404406e-06
13819428.69387755	9.75083798697883e-09	chr12	2.6782992794589727e-06
