Start	End	chromID	Chromosome	winID	Color
60683	7877759	chr10p	chr10	chr10p0	telomeric
7877759	15694835	chr10p	chr10	chr10p1	arm
15694835	23511911	chr10p	chr10	chr10p2	arm
23511911	31328987	chr10p	chr10	chr10p3	arm
31328987	39146063	chr10p	chr10	chr10p4	arm
42364408	60996401	chr10q	chr10	chr10q0	arm
60996401	79628394	chr10q	chr10	chr10q1	arm
79628394	98260387	chr10q	chr10	chr10q2	arm
98260387	116892380	chr10q	chr10	chr10q3	arm
116892380	135524373	chr10q	chr10	chr10q4	telomeric
87267	10386778	chr11p	chr11	chr11p0	telomeric
10386778	20686289	chr11p	chr11	chr11p1	arm
20686289	30985800	chr11p	chr11	chr11p2	arm
30985800	41285311	chr11p	chr11	chr11p3	arm
41285311	51584822	chr11p	chr11	chr11p4	arm
54703204	70751854	chr11q	chr11	chr11q0	arm
70751854	86800504	chr11q	chr11	chr11q1	arm
86800504	102849154	chr11q	chr11	chr11q2	arm
102849154	118897804	chr11q	chr11	chr11q3	arm
118897804	134946454	chr11q	chr11	chr11q4	telomeric
60316	6899246	chr12p	chr12	chr12p0	telomeric
6899246	13738176	chr12p	chr12	chr12p1	arm
13738176	20577106	chr12p	chr12	chr12p2	arm
20577106	27416036	chr12p	chr12	chr12p3	arm
27416036	34254966	chr12p	chr12	chr12p4	arm
37911537	57097593	chr12q	chr12	chr12q0	arm
57097593	76283649	chr12q	chr12	chr12q1	arm
76283649	95469705	chr12q	chr12	chr12q2	arm
95469705	114655761	chr12q	chr12	chr12q3	arm
114655761	133841817	chr12q	chr12	chr12q4	telomeric
19020094	38238046	chr13q	chr13	chr13q0	arm
38238046	57455998	chr13q	chr13	chr13q1	arm
57455998	76673950	chr13q	chr13	chr13q2	arm
76673950	95891902	chr13q	chr13	chr13q3	arm
95891902	115109854	chr13q	chr13	chr13q4	telomeric
19000058	36657934	chr14q	chr14	chr14q0	arm
36657934	54315810	chr14q	chr14	chr14q1	arm
54315810	71973686	chr14q	chr14	chr14q2	arm
71973686	89631562	chr14q	chr14	chr14q3	arm
89631562	107289438	chr14q	chr14	chr14q4	telomeric
20000446	36504521	chr15q	chr15	chr15q0	arm
36504521	53008596	chr15q	chr15	chr15q1	arm
53008596	69512671	chr15q	chr15	chr15q2	arm
69512671	86016746	chr15q	chr15	chr15q3	arm
86016746	102520821	chr15q	chr15	chr15q4	telomeric
60179	7104554	chr16p	chr16	chr16p0	telomeric
7104554	14148929	chr16p	chr16	chr16p1	arm
14148929	21193304	chr16p	chr16	chr16p2	arm
21193304	28237679	chr16p	chr16	chr16p3	arm
28237679	35282054	chr16p	chr16	chr16p4	arm
46397335	55176426	chr16q	chr16	chr16q0	arm
55176426	63955517	chr16q	chr16	chr16q1	arm
63955517	72734608	chr16q	chr16	chr16q2	arm
72734608	81513699	chr16q	chr16	chr16q3	arm
81513699	90292790	chr16q	chr16	chr16q4	telomeric
51	4450668	chr17p	chr17	chr17p0	telomeric
4450668	8901285	chr17p	chr17	chr17p1	arm
8901285	13351902	chr17p	chr17	chr17p2	arm
13351902	17802519	chr17p	chr17	chr17p3	arm
17802519	22253136	chr17p	chr17	chr17p4	arm
25269196	36453421	chr17q	chr17	chr17q0	arm
36453421	47637646	chr17q	chr17	chr17q1	arm
47637646	58821871	chr17q	chr17	chr17q2	arm
58821871	70006096	chr17q	chr17	chr17q3	arm
70006096	81190321	chr17q	chr17	chr17q4	telomeric
10718	3089584	chr18p	chr18	chr18p0	telomeric
3089584	6168450	chr18p	chr18	chr18p1	arm
6168450	9247316	chr18p	chr18	chr18p2	arm
9247316	12326182	chr18p	chr18	chr18p3	arm
12326182	15405048	chr18p	chr18	chr18p4	arm
18522589	30421486	chr18q	chr18	chr18q0	arm
30421486	42320383	chr18q	chr18	chr18q1	arm
42320383	54219280	chr18q	chr18	chr18q2	arm
54219280	66118177	chr18q	chr18	chr18q3	arm
66118177	78017074	chr18q	chr18	chr18q4	telomeric
64704	4974545	chr19p	chr19	chr19p0	telomeric
4974545	9884386	chr19p	chr19	chr19p1	arm
9884386	14794227	chr19p	chr19	chr19p2	arm
14794227	19704068	chr19p	chr19	chr19p3	arm
19704068	24613909	chr19p	chr19	chr19p4	arm
27743297	34018394	chr19q	chr19	chr19q0	arm
34018394	40293491	chr19q	chr19	chr19q1	arm
40293491	46568588	chr19q	chr19	chr19q2	arm
46568588	52843685	chr19q	chr19	chr19q3	arm
52843685	59118782	chr19q	chr19	chr19q4	telomeric
11007	24303960	chr1p	chr1	chr1p0	telomeric
24303960	48596913	chr1p	chr1	chr1p1	arm
48596913	72889866	chr1p	chr1	chr1p2	arm
72889866	97182819	chr1p	chr1	chr1p3	arm
97182819	121475772	chr1p	chr1	chr1p4	arm
142542466	163882081	chr1q	chr1	chr1q0	arm
163882081	185221696	chr1q	chr1	chr1q1	arm
185221696	206561311	chr1q	chr1	chr1q2	arm
206561311	227900926	chr1q	chr1	chr1q3	arm
227900926	249240541	chr1q	chr1	chr1q4	telomeric
61097	5308012	chr20p	chr20	chr20p0	telomeric
5308012	10554927	chr20p	chr20	chr20p1	arm
10554927	15801842	chr20p	chr20	chr20p2	arm
15801842	21048757	chr20p	chr20	chr20p3	arm
21048757	26295672	chr20p	chr20	chr20p4	arm
29432184	36138368	chr20q	chr20	chr20q0	arm
36138368	42844552	chr20q	chr20	chr20q1	arm
42844552	49550736	chr20q	chr20	chr20q2	arm
49550736	56256920	chr20q	chr20	chr20q3	arm
56256920	62963104	chr20q	chr20	chr20q4	telomeric
14350663	21104457	chr21q	chr21	chr21q0	arm
21104457	27858251	chr21q	chr21	chr21q1	arm
27858251	34612045	chr21q	chr21	chr21q2	arm
34612045	41365839	chr21q	chr21	chr21q3	arm
41365839	48119633	chr21q	chr21	chr21q4	telomeric
16050606	23089332	chr22q	chr22	chr22q0	arm
23089332	30128058	chr22q	chr22	chr22q1	arm
30128058	37166784	chr22q	chr22	chr22q2	arm
37166784	44205510	chr22q	chr22	chr22q3	arm
44205510	51244236	chr22q	chr22	chr22q4	telomeric
10180	18472443	chr2p	chr2	chr2p0	telomeric
18472443	36934706	chr2p	chr2	chr2p1	arm
36934706	55396969	chr2p	chr2	chr2p2	arm
55396969	73859232	chr2p	chr2	chr2p3	arm
73859232	92321495	chr2p	chr2	chr2p4	arm
95328622	124900097	chr2q	chr2	chr2q0	arm
124900097	154471572	chr2q	chr2	chr2q1	arm
154471572	184043047	chr2q	chr2	chr2q2	arm
184043047	213614522	chr2q	chr2	chr2q3	arm
213614522	243185997	chr2q	chr2	chr2q4	telomeric
60196	18144887	chr3p	chr3	chr3p0	telomeric
18144887	36229578	chr3p	chr3	chr3p1	arm
36229578	54314269	chr3p	chr3	chr3p2	arm
54314269	72398960	chr3p	chr3	chr3p3	arm
72398960	90483651	chr3p	chr3	chr3p4	arm
93654937	114516426	chr3q	chr3	chr3q0	arm
114516426	135377915	chr3q	chr3	chr3q1	arm
135377915	156239404	chr3q	chr3	chr3q2	arm
156239404	177100893	chr3q	chr3	chr3q3	arm
177100893	197962382	chr3q	chr3	chr3q4	telomeric
10455	9938301	chr4p	chr4	chr4p0	telomeric
9938301	19866147	chr4p	chr4	chr4p1	arm
19866147	29793993	chr4p	chr4	chr4p2	arm
29793993	39721839	chr4p	chr4	chr4p3	arm
39721839	49649685	chr4p	chr4	chr4p4	arm
52662670	80338912	chr4q	chr4	chr4q0	arm
80338912	108015154	chr4q	chr4	chr4q1	arm
108015154	135691396	chr4q	chr4	chr4q2	arm
135691396	163367638	chr4q	chr4	chr4q3	arm
163367638	191043880	chr4q	chr4	chr4q4	telomeric
10042	9289044	chr5p	chr5	chr5p0	telomeric
9289044	18568046	chr5p	chr5	chr5p1	arm
18568046	27847048	chr5p	chr5	chr5p2	arm
27847048	37126050	chr5p	chr5	chr5p3	arm
37126050	46405052	chr5p	chr5	chr5p4	arm
49415504	75707484	chr5q	chr5	chr5q0	arm
75707484	101999464	chr5q	chr5	chr5q1	arm
101999464	128291444	chr5q	chr5	chr5q2	arm
128291444	154583424	chr5q	chr5	chr5q3	arm
154583424	180875404	chr5q	chr5	chr5q4	telomeric
63978	11805264	chr6p	chr6	chr6p0	telomeric
