Start	End	Chromosome	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
752721.0	76799044.4693878	chr1	76046323.4693878	3.0	3.0	0.0	1974.0	1182.0	1.5926342363340004e-06	0.000503662
76799044.4693878	150310490.489796	chr1	73511446.02040821	3.0	1.0	2.0	4188.0	2460.0	7.93343701151718e-07	0.000618337
150310490.489796	173124387.530612	chr1	22813897.04081598	0.0	0.0	0.0	444.0	118.0	1.5914064707203396e-06	0.000792347
173124387.530612	208612671.816327	chr1	35488284.285715014	4.0	4.0	0.0	522.0	126.0	1.162808465241369e-06	0.000422998
208612671.816327	249170711.0	chr1	40558039.183672994	0.0	0.0	0.0	1150.0	260.0	1.746957092765927e-06	0.000472283
158946.0	27774149.2653061	chr10	27615203.2653061	3.0	2.0	1.0	540.0	196.0	1.7778648033660144e-06	0.00055652
27774149.2653061	60912393.1836735	chr10	33138243.9183674	3.0	2.0	1.0	2388.0	1064.0	1.1932394799512595e-06	0.000573958
60912393.1836735	91289116.7755102	chr10	30376723.591836706	2.0	2.0	0.0	574.0	290.0	1.3259078811593972e-06	0.000267259
91289116.7755102	113381279.387755	chr10	22092162.6122448	0.0	0.0	0.0	226.0	22.0	1.2123224126152767e-06	0.000295996
113381279.387755	135473442.0	chr10	22092162.612244993	1.0	1.0	0.0	170.0	34.0	2.1846155455067304e-06	0.000738505
241489.0	35979094.1632653	chr11	35737605.1632653	2.0	1.0	1.0	798.0	126.0	1.6266156071730145e-06	0.000622663
35979094.1632653	62095036.3979592	chr11	26115942.2346939	1.0	1.0	0.0	742.0	476.0	9.316298391188114e-07	0.000549072
62095036.3979592	79963838.9795918	chr11	17868802.5816326	2.0	1.0	1.0	1296.0	160.0	1.4570444722451556e-06	0.000360523
79963838.9795918	104705257.938776	chr11	24741418.9591842	0.0	0.0	0.0	490.0	236.0	1.0466122790472454e-06	0.000390635
104705257.938776	134944770.0	chr11	30239512.061224	0.0	0.0	0.0	364.0	68.0	1.80854075357452e-06	0.000422574
191619.0	26084457.4183673	chr12	25892838.4183673	0.0	0.0	0.0	826.0	176.0	1.7081263508991546e-06	0.000570972
26084457.4183673	45163390.9897959	chr12	19078933.5714286	1.0	1.0	0.0	446.0	90.0	9.454124684432354e-07	0.000380653
45163390.9897959	68330667.4693878	chr12	23167276.4795919	3.0	3.0	0.0	410.0	44.0	1.3296254334426037e-06	0.000755878
68330667.4693878	105125753.642857	chr12	36795086.1734692	3.0	2.0	1.0	344.0	34.0	1.2747694935820233e-06	0.000360863
105125753.642857	133744154.0	chr12	28618400.357143	0.0	0.0	0.0	214.0	84.0	1.962184613078511e-06	0.000535067
19260565.0	41747597.6428571	chr13	22487032.642857097	0.0	0.0	0.0	794.0	230.0	2.0191368356372337e-06	0.00043651
41747597.6428571	66190024.4285714	chr13	24442426.785714306	1.0	0.0	1.0	778.0	158.0	1.0249980521151292e-06	0.000591373
66190024.4285714	79877783.4285714	chr13	13687759.0	0.0	0.0	0.0	268.0	22.0	1.6394586670571993e-06	0.000329001
79877783.4285714	95520936.5714286	chr13	15643153.142857194	1.0	0.0	1.0	168.0	0.0	9.961650853911689e-07	0.00016721
95520936.5714286	115074878.0	chr13	19553941.428571403	1.0	1.0	0.0	1826.0	1786.0	2.146300216853903e-06	0.000404405
19035752.0	33443863.8367347	chr14	14408111.836734701	1.0	1.0	0.0	762.0	92.0	1.9599952099723216e-06	0.000550193
