Start	End	chromID	Chromosome	winID
60683	7879492	chr10p	chr10	chr10p0
7879492	15698301	chr10p	chr10	chr10p1
15698301	23517110	chr10p	chr10	chr10p2
23517110	31335919	chr10p	chr10	chr10p3
31335919	39154728	chr10p	chr10	chr10p4
42354984	60988862	chr10q	chr10	chr10q0
60988862	79622740	chr10q	chr10	chr10q1
79622740	98256618	chr10q	chr10	chr10q2
98256618	116890496	chr10q	chr10	chr10q3
116890496	135524374	chr10q	chr10	chr10q4
87267	10388309	chr11p	chr11	chr11p0
10388309	20689351	chr11p	chr11	chr11p1
20689351	30990393	chr11p	chr11	chr11p2
30990393	41291435	chr11p	chr11	chr11p3
41291435	51592477	chr11p	chr11	chr11p4
54695472	70745668	chr11q	chr11	chr11q0
70745668	86795864	chr11q	chr11	chr11q1
86795864	102846060	chr11q	chr11	chr11q2
102846060	118896256	chr11q	chr11	chr11q3
118896256	134946452	chr11q	chr11	chr11q4
60316	6899246	chr12p	chr12	chr12p0
6899246	13738176	chr12p	chr12	chr12p1
13738176	20577106	chr12p	chr12	chr12p2
20577106	27416036	chr12p	chr12	chr12p3
27416036	34254966	chr12p	chr12	chr12p4
37905412	57092693	chr12q	chr12	chr12q0
57092693	76279974	chr12q	chr12	chr12q1
76279974	95467255	chr12q	chr12	chr12q2
95467255	114654536	chr12q	chr12	chr12q3
114654536	133841817	chr12q	chr12	chr12q4
19020094	38238046	chr13q	chr13	chr13q0
38238046	57455998	chr13q	chr13	chr13q1
57455998	76673950	chr13q	chr13	chr13q2
76673950	95891902	chr13q	chr13	chr13q3
95891902	115109854	chr13q	chr13	chr13q4
19000058	36657934	chr14q	chr14	chr14q0
36657934	54315810	chr14q	chr14	chr14q1
54315810	71973686	chr14q	chr14	chr14q2
71973686	89631562	chr14q	chr14	chr14q3
89631562	107289438	chr14q	chr14	chr14q4
20000446	36504521	chr15q	chr15	chr15q0
36504521	53008596	chr15q	chr15	chr15q1
53008596	69512671	chr15q	chr15	chr15q2
69512671	86016746	chr15q	chr15	chr15q3
86016746	102520821	chr15q	chr15	chr15q4
60179	7105170	chr16p	chr16	chr16p0
7105170	14150161	chr16p	chr16	chr16p1
14150161	21195152	chr16p	chr16	chr16p2
21195152	28240143	chr16p	chr16	chr16p3
28240143	35285134	chr16p	chr16	chr16p4
46387351	55168439	chr16q	chr16	chr16q0
55168439	63949527	chr16q	chr16	chr16q1
63949527	72730615	chr16q	chr16	chr16q2
72730615	81511703	chr16q	chr16	chr16q3
81511703	90292791	chr16q	chr16	chr16q4
51	4452601	chr17p	chr17	chr17p0
4452601	8905151	chr17p	chr17	chr17p1
8905151	13357701	chr17p	chr17	chr17p2
13357701	17810251	chr17p	chr17	chr17p3
17810251	22262801	chr17p	chr17	chr17p4
25264112	36449354	chr17q	chr17	chr17q0
