Start	End	Chromosome	Color
158946	22251108.6122449	chr10	telomeric
22251108.6122449	27774149.2653061	chr10	arm
27774149.2653061	58150872.8571429	chr10	centromeric
58150872.8571429	105096718.408163	chr10	arm
105096718.408163	135473442	chr10	telomeric
241489	30481001.0612245	chr11	telomeric
30481001.0612245	35979094.1632653	chr11	arm
35979094.1632653	71716699.3265306	chr11	centromeric
71716699.3265306	101956211.387755	chr11	arm
101956211.387755	134944770	chr11	telomeric
191619	19270552.5714286	chr12	telomeric
19270552.5714286	21996114.5102041	chr12	arm
21996114.5102041	51977295.8367347	chr12	centromeric
51977295.8367347	120116344.306122	chr12	arm
120116344.306122	133744154	chr12	telomeric
19260565	38814506.4285714	chr13	arm
38814506.4285714	85743965.8571429	chr13	arm
85743965.8571429	115074878	chr13	telomeric
19035752	29841835.877551	chr14	arm
29841835.877551	82071241.2857143	chr14	arm
82071241.2857143	107285437	chr14	telomeric
20161372	30231240.4489796	chr15	arm
30231240.4489796	83937205.5102041	chr15	arm
83937205.5102041	102398631	chr15	telomeric
143503	16673720.7142857	chr16	telomeric
16673720.7142857	24020484.1428571	chr16	arm
24020484.1428571	55244228.7142857	chr16	centromeric
55244228.7142857	68101064.7142857	chr16	arm
68101064.7142857	90141355	chr16	telomeric
6888	17373479.3571429	chr17	telomeric
17373479.3571429	33086109.6326531	chr17	centromeric
33086109.6326531	61203448.0204082	chr17	arm
61203448.0204082	81050981	chr17	telomeric
112535	12831236.5510204	chr18	telomeric
12831236.5510204	23960100.4081633	chr18	centromeric
23960100.4081633	63706042.755102	chr18	arm
63706042.755102	78014582	chr18	telomeric
261033	12260430.9591837	chr19	telomeric
12260430.9591837	17060190.1428571	chr19	arm
17060190.1428571	33859347.2857143	chr19	centromeric
33859347.2857143	39859046.2653061	chr19	arm
39859046.2653061	59058083	chr19	telomeric
752721	51450269.9795918	chr1	telomeric
51450269.9795918	107217573.857143	chr1	arm
107217573.857143	162984877.734694	chr1	centromeric
162984877.734694	218752181.612245	chr1	arm
218752181.612245	249170711	chr1	telomeric
69094	14175453.5918367	chr20	telomeric
14175453.5918367	18022642.5714286	chr20	arm
18022642.5714286	43670569.1020408	chr20	centromeric
43670569.1020408	46235361.755102	chr20	arm
46235361.755102	62906514	chr20	telomeric
14665973	25581509.3265306	chr21	arm
25581509.3265306	38543708.7142857	chr21	arm
38543708.7142857	48094803	chr21	telomeric
17087705	24055480.5102041	chr22	arm
24055480.5102041	41474919.2857143	chr22	arm
41474919.2857143	51229805	chr22	telomeric
118913	29864837	chr2	telomeric
29864837	74483723	chr2	arm
74483723	124060263	chr2	centromeric
124060263	193467419	chr2	arm
193467419	243043959	chr2	telomeric
108226	48522597.755102	chr3	telomeric
48522597.755102	68695252.6530612	chr3	arm
68695252.6530612	145351341.265306	chr3	centromeric
145351341.265306	161489465.183673	chr3	arm
161489465.183673	197800244	chr3	telomeric
167596	23527081.5510204	chr4	telomeric
23527081.5510204	31313576.7346939	chr4	arm
31313576.7346939	58566309.877551	chr4	centromeric
58566309.877551	148111004.489796	chr4	arm
148111004.489796	190936728	chr4	telomeric
157856	18579792.4285714	chr5	telomeric
18579792.4285714	33317341.5714286	chr5	arm
33317341.5714286	73845601.7142857	chr5	centromeric
73845601.7142857	154902122	chr5	arm
154902122	180692833	chr5	telomeric
183917	28069266.7142857	chr6	telomeric
28069266.7142857	42011941.5714286	chr6	arm
42011941.5714286	108239647.142857	chr6	centromeric
108239647.142857	139610665.571429	chr6	arm
139610665.571429	170981684	chr6	telomeric
46239	26017381.3673469	chr7	telomeric
26017381.3673469	32510166.9591837	chr7	arm
32510166.9591837	77959666.1020408	chr7	centromeric
77959666.1020408	120162772.44898	chr7	arm
120162772.44898	159119486	chr7	telomeric
113565	34418042.9387755	chr8	telomeric
34418042.9387755	71705518.9591837	chr8	centromeric
71705518.9591837	113467492.102041	chr8	arm
113467492.102041	146280471	chr8	telomeric
212908	34698221.7142857	chr9	telomeric
34698221.7142857	83552416.1428571	chr9	centromeric
83552416.1428571	123785282.142857	chr9	arm
123785282.142857	141027939	chr9	telomeric
2737282	21309211.6734694	chrX	telomeric
21309211.6734694	36785819.7346939	chrX	arm
36785819.7346939	70834357.4693878	chrX	centromeric
70834357.4693878	129645468.102041	chrX	arm
129645468.102041	154408041	chrX	telomeric
