track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3341233	944341.6400	595713.0000	1464190.0000	250720.4357	3.5382	1.8230	1.0000e-02	1.0000e-02	46	8344198	3.0917e-01	7090	131724224	4.8807e+00	44	3341233	1.2380e-01	95.6522	40.0426	0.6206	2.5365
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3341233	975825.2900	555689.0000	1406356.0000	257058.0581	3.4240	1.7757	1.0000e-02	1.0000e-02	19	8162649	3.0245e-01	7090	131724224	4.8807e+00	44	3341233	1.2380e-01	231.5789	40.9332	0.6206	2.5365
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1480005	371956.9200	176118.0000	686664.0000	165949.5089	3.9790	1.9924	1.0000e-02	1.0000e-02	18	2511540	9.3058e-02	7090	131724224	4.8807e+00	32	1480005	5.4838e-02	177.7778	58.9282	0.4513	1.1236
HFNHinvs	genomicSuperDups_coords_normal.bed	0	16463.4000	254.0000	41989.0000	12056.6717	0.0001	-14.0071	3.0000e-02	3.0000e-02	27	181549	6.7268e-03	7090	131724224	4.8807e+00	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1480005	383504.7300	190236.0000	738591.0000	176374.8527	3.8591	1.9483	1.0000e-02	1.0000e-02	45	2693089	9.9785e-02	7090	131724224	4.8807e+00	32	1480005	5.4838e-02	71.1111	54.9557	0.4513	1.1236
invs	genomicSuperDups_coords_normal.bed	4604281	1278331.2700	769996.0000	1899403.0000	363100.3492	3.6018	1.8487	1.0000e-02	1.0000e-02	114	11812711	4.3769e-01	7090	131724224	4.8807e+00	98	4604281	1.7060e-01	85.9649	38.9773	1.3822	3.4954
LFinvs	genomicSuperDups_coords_normal.bed	1264165	321383.9400	131574.0000	651909.0000	155015.0402	3.9335	1.9758	1.0000e-02	1.0000e-02	70	3497573	1.2959e-01	7090	131724224	4.8807e+00	56	1264165	4.6840e-02	80.0000	36.1441	0.7898	0.9597
LFNAHRinvs	genomicSuperDups_coords_normal.bed	1064341	199483.7300	36121.0000	593250.0000	146496.5084	5.3355	2.4156	1.0000e-02	1.0000e-02	20	2334528	8.6500e-02	7090	131724224	4.8807e+00	41	1064341	3.9436e-02	205.0000	45.5913	0.5783	0.8080
LFNHinvs	genomicSuperDups_coords_normal.bed	199824	125859.4900	5333.0000	385656.0000	136310.8561	1.5877	0.6669	2.8000e-01	2.8000e-01	50	1163045	4.3094e-02	7090	131724224	4.8807e+00	15	199824	7.4040e-03	30.0000	17.1811	0.2116	0.1517
NAHRinvs	genomicSuperDups_coords_normal.bed	4404457	1158501.6200	670748.0000	1802175.0000	353458.2142	3.8019	1.9267	1.0000e-02	1.0000e-02	38	10479500	3.8829e-01	7090	131724224	4.8807e+00	83	4404457	1.6320e-01	218.4211	42.0293	1.1707	3.3437
NAHRno501invs	genomicSuperDups_coords_normal.bed	2543229	599362.9500	329208.0000	997644.0000	206488.7316	4.2432	2.0852	1.0000e-02	1.0000e-02	37	4828391	1.7890e-01	7090	131724224	4.8807e+00	71	2543229	9.4233e-02	191.8919	52.6724	1.0014	1.9307
NHinvs	genomicSuperDups_coords_normal.bed	199824	141161.3300	12255.0000	403787.0000	122418.5196	1.4156	0.5014	3.0000e-01	3.0000e-01	76	1333211	4.9399e-02	7090	131724224	4.8807e+00	15	199824	7.4040e-03	19.7368	14.9882	0.2116	0.1517
no501invs	genomicSuperDups_coords_normal.bed	2743053	738142.1500	389577.0000	1190338.0000	259581.9582	3.7162	1.8938	1.0000e-02	1.0000e-02	113	6161602	2.2830e-01	7090	131724224	4.8807e+00	86	2743053	1.0164e-01	76.1062	44.5185	1.2130	2.0824
