track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
HFinvs	genomicSuperDups_coords_normal.bed	3438614	930143.1300	519674.0000	1453862.0000	274464.4330	3.6969	1.8863	1.0000e-02	1.0000e-02	24	8545109	1.1326e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	183.3333	40.2407	1.4103	3.3411
HFNAHRinvs	genomicSuperDups_coords_normal.bed	3438614	952566.6900	551416.0000	1428961.0000	264211.1056	3.6098	1.8519	1.0000e-02	1.0000e-02	17	8408023	1.1144e+00	3120	102917743	1.3641e+01	44	3438614	4.5576e-01	258.8235	40.8968	1.4103	3.3411
HFNAHRno501invs	genomicSuperDups_coords_normal.bed	1577386	391552.1000	155493.0000	801243.0000	181175.8858	4.0285	2.0103	1.0000e-02	1.0000e-02	16	2756914	3.6541e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	200.0000	57.2156	1.0256	1.5327
HFNHinvs	genomicSuperDups_coords_normal.bed	0	12691.1100	0.0000	36571.0000	11446.8966	0.0001	-13.6316	1.3000e-01	1.3000e-01	7	137086	1.8170e-02	3120	102917743	1.3641e+01	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
HFno501invs	genomicSuperDups_coords_normal.bed	1577386	392634.6900	173752.0000	797932.0000	187786.8455	4.0174	2.0063	1.0000e-02	1.0000e-02	23	2894000	3.8358e-01	3120	102917743	1.3641e+01	32	1577386	2.0907e-01	139.1304	54.5054	1.0256	1.5327
invs	genomicSuperDups_coords_normal.bed	4350680	1225380.3000	779568.0000	1757880.0000	300546.9337	3.5505	1.8280	1.0000e-02	1.0000e-02	43	10420801	1.3812e+00	3120	102917743	1.3641e+01	80	4350680	5.7665e-01	186.0465	41.7500	2.5641	4.2273
LFinvs	genomicSuperDups_coords_normal.bed	912066	261966.9000	57503.0000	603603.0000	166157.7687	3.4816	1.7997	1.0000e-02	1.0000e-02	20	1887075	2.5012e-01	3120	102917743	1.3641e+01	36	912066	1.2089e-01	180.0000	48.3323	1.1538	0.8862
LFNAHRinvs	genomicSuperDups_coords_normal.bed	714526	135959.9700	21406.0000	414401.0000	109918.9443	5.2554	2.3938	1.0000e-02	1.0000e-02	10	1028605	1.3633e-01	3120	102917743	1.3641e+01	23	714526	9.4705e-02	230.0000	69.4655	0.7372	0.6943
LFNHinvs	genomicSuperDups_coords_normal.bed	197540	112336.0300	859.0000	396039.0000	128500.9449	1.7585	0.8143	2.4000e-01	2.4000e-01	10	858470	1.1378e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	130.0000	23.0107	0.4167	0.1919
NAHRinvs	genomicSuperDups_coords_normal.bed	4153140	1069277.7200	662907.0000	1594591.0000	286986.4835	3.8841	1.9576	1.0000e-02	1.0000e-02	27	9436628	1.2508e+00	3120	102917743	1.3641e+01	67	4153140	5.5047e-01	248.1481	44.0108	2.1474	4.0354
NAHRno501invs	genomicSuperDups_coords_normal.bed	2291912	514616.1700	244151.0000	863239.0000	206446.3372	4.4536	2.1550	1.0000e-02	1.0000e-02	26	3785519	5.0174e-01	3120	102917743	1.3641e+01	55	2291912	3.0378e-01	211.5385	60.5442	1.7628	2.2269
NHinvs	genomicSuperDups_coords_normal.bed	197540	140355.6700	4588.0000	423497.0000	146770.5661	1.4074	0.4931	2.9000e-01	2.9000e-01	16	984173	1.3044e-01	3120	102917743	1.3641e+01	13	197540	2.6182e-02	81.2500	20.0717	0.4167	0.1919
no501invs	genomicSuperDups_coords_normal.bed	2489452	627790.0900	242056.0000	1245814.0000	281374.9739	3.9654	1.9875	1.0000e-02	1.0000e-02	42	4769692	6.3219e-01	3120	102917743	1.3641e+01	68	2489452	3.2996e-01	161.9048	52.1931	2.1795	2.4189
