Start	End	Chromosome	Color	Length(bp)	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	WAvgRate	maxRate
60683.0	23750218.622449	chr10	telomeric	23689535.622449	3.0	2.0	1.0	428.0	84.0	1.4480534052898484e-08	1.73695539334e-06
23750218.622449	39146059.0	chr10	centromeric	15395840.377551	1.0	0.0	1.0	880.0	240.0	7.907886564106286e-09	2.03246956168e-06
52587419.5510204	116172416.428571	chr10	arm	63584996.8775506	4.0	4.0	0.0	940.0	392.0	7.114213158443445e-09	1.46166529389e-06
116172416.428571	135524372.0	chr10	telomeric	19351955.571429	1.0	1.0	0.0	266.0	46.0	1.404343394260864e-08	2.19240487572e-06
42369508.0	52587419.5510204	chr10	centromeric	10217911.551020399	0.0	0.0	0.0	1556.0	858.0	8.110132643456938e-09	6.74195650569e-07
87267.0	29960848.8367347	chr11	telomeric	29873581.8367347	2.0	1.0	1.0	920.0	122.0	1.1957306107929925e-08	2.40834527739e-06
29960848.8367347	51577746.0	chr11	centromeric	21616897.1632653	0.0	0.0	0.0	596.0	324.0	6.098422489428148e-09	1.36376747468e-06
77149657.2857143	107424167.755102	chr11	arm	30274510.469387695	0.0	0.0	0.0	520.0	240.0	6.8707925539526395e-09	1.96071947213e-06
107424167.755102	134946450.0	chr11	telomeric	27522282.244898006	0.0	0.0	0.0	346.0	64.0	1.167428056175297e-08	2.13895966194e-06
54703204.0	77149657.2857143	chr11	centromeric	22446453.2857143	3.0	2.0	1.0	1482.0	318.0	5.388992152244165e-09	9.6193739906e-07
60316.0	21246021.9795918	chr12	telomeric	21185705.9795918	0.0	0.0	0.0	846.0	174.0	1.3119066042360273e-08	2.26036726507e-06
21246021.9795918	34241024.0	chr12	centromeric	12995002.020408198	0.0	0.0	0.0	160.0	54.0	8.159673808180418e-09	1.03029625554e-06
51934774.4081633	106539467.469388	chr12	arm	54604693.06122469	3.0	2.0	1.0	760.0	72.0	6.72967049109861e-09	2.14151877425e-06
106539467.469388	133841814.0	chr12	telomeric	27302346.530612007	0.0	0.0	0.0	170.0	82.0	1.282618000082812e-08	1.81358025604e-06
37911537.0	51934774.4081633	chr12	centromeric	14023237.408163302	4.0	4.0	0.0	248.0	36.0	4.933735192375965e-09	8.38145680783e-07
19020094.0	41571771.6632653	chr13	arm	22551677.663265303	0.0	0.0	0.0	938.0	230.0	1.2935142994715748e-08	1.84409700969e-06
41571771.6632653	97460711.9591837	chr13	arm	55888940.29591839	2.0	0.0	2.0	1214.0	180.0	6.272891644266984e-09	1.89263955272e-06
97460711.9591837	115109851.0	chr13	telomeric	17649139.040816307	1.0	1.0	0.0	1842.0	1786.0	1.4558904541466391e-08	1.65779765071e-06
19000058.0	33414650.1632653	chr14	arm	14414592.163265299	1.0	1.0	0.0	762.0	92.0	1.4253856125034545e-08	1.82671014403e-06
33414650.1632653	89271194.7959184	chr14	arm	55856544.6326531	4.0	2.0	2.0	716.0	38.0	7.1894550813814236e-09	1.52866421852e-06
89271194.7959184	107289435.0	chr14	telomeric	18018240.204081595	1.0	0.0	1.0	472.0	170.0	1.4052287599089482e-08	1.65261405816e-06
20000446.0	35157249.5714286	chr15	arm	15156803.571428597	0.0	0.0	0.0	3432.0	2010.0	1.9495163831617857e-08	1.34801871035e-06
35157249.5714286	85679928.1428571	chr15	arm	50522678.57142851	0.0	0.0	0.0	2908.0	1794.0	7.83190483974208e-09	1.53594000404e-06
85679928.1428571	102520821.0	chr15	telomeric	16840892.857142895	0.0	0.0	0.0	728.0	460.0	1.797553734591702e-08	3.48511833934e-06
