pos	val	Chromosome	valScaled	Type
60912393.183673464	5.480451944888846e-09	chr10	1.8640482587048165e-06	Minima
88527596.44897959	6.430915883904469e-09	chr10	2.187326460630502e-06	Minima
22251108.612244897	8.340694668519584e-09	chr10	2.8368932944923044e-06	Minima
105096718.40816326	5.67735868571186e-09	chr10	1.931021506723292e-06	Minima
135473442.0	4.2819103588988225e-09	chr10	1.4563922152221973e-06	Minima
158946.0	3.347958735610645e-09	chr10	1.1387302934296919e-06	Minima
44343271.22448979	3.228571633364052e-09	chr10	1.0981235474363942e-06	Minima
58150872.85714285	5.643358095636713e-09	chr10	1.9194569968321653e-06	Maxima
96812157.42857142	6.621798191632193e-09	chr10	2.252250637854473e-06	Maxima
27774149.265306123	8.984847216936884e-09	chr10	3.055986801431519e-06	Maxima
74719994.81632653	7.111729937511532e-09	chr10	2.4188895258466046e-06	Maxima
121665840.36734693	1.1566685794279327e-08	chr10	3.934139142287363e-06	Maxima
11205027.306122448	1.0840407977679442e-08	chr10	3.6871126355352067e-06	Maxima
101956211.3877551	6.757887849465321e-09	chr11	2.2985383696442137e-06	Minima
30481001.06122449	6.995387921891607e-09	chr11	2.379318495243411e-06	Minima
85461932.08163264	4.746916639957583e-09	chr11	1.6145532860993482e-06	Minima
241489.0	4.0924307593757534e-09	chr11	1.3919451365683168e-06	Minima
134944770.0	3.8488862273827285e-09	chr11	1.309109128636149e-06	Minima
52473373.469387755	2.706195400304261e-09	chr11	9.204494217592218e-07	Minima
99207164.83673468	6.881190243910766e-09	chr11	2.3404768112128e-06	Maxima
35979094.1632653	7.850751345945145e-09	chr11	2.6702504689565983e-06	Maxima
71716699.3265306	7.704034471272863e-09	chr11	2.6203481365384587e-06	Maxima
16735768.306122448	9.326276212783597e-09	chr11	3.1721159330395346e-06	Maxima
121199537.24489796	1.1933808680803998e-08	chr11	4.059007453192857e-06	Maxima
106488534.61224489	8.747713670498008e-09	chr12	2.975331341121877e-06	Minima
19270552.57142857	9.46404978224608e-09	chr12	3.2189764082037406e-06	Minima
120116344.30612244	1.013896593019492e-08	chr12	3.448533437990143e-06	Minima
62879543.59183673	5.888487722416497e-09	chr12	2.0028321378881802e-06	Minima
84684039.10204081	4.253185403700746e-09	chr12	1.446622089828016e-06	Minima
133744154.0	5.686214986874119e-09	chr12	1.93403377157409e-06	Minima
38349486.14285714	3.543957225584039e-09	chr12	1.205394621046762e-06	Minima
191619.0	2.691770829218637e-09	chr12	9.155432394069073e-07	Minima
103762972.67346938	8.754799261396982e-09	chr12	2.977741340061735e-06	Maxima
21996114.51020408	9.530128072955227e-09	chr12	3.2414514018672554e-06	Maxima
117390782.36734693	1.0213128238282006e-08	chr12	3.473758022137841e-06	Maxima
68330667.46938775	6.3184871088882365e-09	chr12	2.1490864278002216e-06	Maxima
51977295.83673469	7.283088748753058e-09	chr12	2.4771732398396436e-06	Maxima
125567468.18367346	1.0375083289626939e-08	chr12	3.5288432659249927e-06	Maxima
13819428.69387755	9.57474219805161e-09	chr12	3.2566258588346433e-06	Maxima
38814506.42857143	9.785530194261949e-09	chr13	3.3283204930076886e-06	Minima
85743965.85714287	5.630515823040023e-09	chr13	1.9150889965080317e-06	Minima
19260565.0	8.083012589023639e-09	chr13	2.74924872860357e-06	Minima
115074878.0	5.218803621165001e-09	chr13	1.7750546670932108e-06	Minima
58368447.85714286	4.979039507566784e-09	chr13	1.6935044805489285e-06	Minima
44680688.85714286	9.93805096349389e-09	chr13	3.380196885166964e-06	Maxima
74011601.0	1.1776644719071988e-08	chr13	4.005551787101136e-06	Maxima
25126747.42857143	1.5762642825935317e-08	chr13	5.361296332444463e-06	Maxima
105297907.28571428	1.7290112010139203e-08	chr13	5.88082944790147e-06	Maxima
29841835.87755102	1.1657081836819914e-08	chr14	3.964885253627457e-06	Minima
65862115.469387755	8.689535131640468e-09	chr14	2.9555432643096123e-06	Minima
82071241.28571428	8.314449005055768e-09	chr14	2.827966442515451e-06	Minima
19035752.0	9.7079214166721e-09	chr14	3.3019236724203854e-06	Minima
44249947.71428572	4.162001024780929e-09	chr14	1.415607844204517e-06	Minima
107285437.0	3.1043424494013636e-09	chr14	1.0558698799698024e-06	Minima
33443863.836734693	1.237603611383093e-08	chr14	4.209420828727359e-06	Maxima
56857045.57142857	1.096912976211346e-08	chr14	3.7308943565583027e-06	Maxima
74867185.36734694	1.1708064630221142e-08	chr14	3.982225864989281e-06	Maxima
22637779.959183674	1.574293979419375e-08	chr14	5.3545948044722435e-06	Maxima
94678339.14285713	2.0133145038784906e-08	chr14	6.847821006221719e-06	Maxima
30231240.448979594	1.3570562422738847e-08	chr15	4.615711169102207e-06	Minima
65475780.02040816	1.3356294758758108e-08	chr15	4.5428330068709816e-06	Minima
83937205.51020408	9.06008913894652e-09	chr15	3.0815785911441305e-06	Minima
75545648.46938775	8.936697892681776e-09	chr15	3.0396099286958224e-06	Minima
45336043.12244898	5.513046893126269e-09	chr15	1.875134672218798e-06	Minima
102398631.0	4.432299794839466e-09	chr15	1.5075436839353202e-06	Minima
20161372.0	2.5714420028195342e-09	chr15	8.746161878467845e-07	Minima
28552929.040816326	1.3675013025234373e-08	chr15	4.6512376121146375e-06	Maxima
68832402.8367347	1.41695052072179e-08	chr15	4.8194276263759946e-06	Maxima
80580582.69387755	1.0044618880081029e-08	chr15	3.416443483320848e-06	Maxima
60440845.79591837	1.4711865096005316e-08	chr15	5.003898727747184e-06	Maxima
35266174.67346939	1.416929507834087e-08	chr15	4.81935615592588e-06	Maxima
94007073.95918368	2.480851756226684e-08	chr15	8.438040225153233e-06	Maxima
16673720.714285713	1.3039206864925532e-08	chr16	4.434982934961086e-06	Minima
143503.0	3.3254654234195994e-09	chr16	1.1310797164619794e-06	Minima
