Start	End	chromID	winID	Chromosome	Length(bp)	('invCenters', 'NHCenters', 'NAHRCenters', 'allRepCounts', 'intraRepCounts', 'BhererRegsNum', 'SpenceRegsNum', 'BhererRegsMean', 'SpenceRegsMean', 'BhererRegsWeightMean', 'SpenceRegsWeightMean')	invCenters	NHCenters	NAHRCenters	allRepCounts	intraRepCounts	BhererRegsNum	SpenceRegsNum	BhererRegsMean	SpenceRegsMean	BhererRegsWeightMean	SpenceRegsWeightMean
158946	19628429	chr10p	chr10p0	chr10	19469484	0	3.0	2.0	1.0	308.0	80.0	8725.0	9344.0	3.7494440016511876	0.7581888159835188	2.0900200328914047	0.30310560846369516
19628430	39097913	chr10p	chr10p1	chr10	19469484	0	1.0	0.0	1.0	926.0	242.0	5649.0	6851.0	2.331353695821421	0.466009717975478	0.8335593126517887	0.1474360303310913
39154727	87314084	chr10q	chr10q0	chr10	48159358	0	4.0	4.0	0.0	2108.0	1114.0	12635.0	17883.0	2.2018740484686297	0.33247051384594306	0.8749065768889476	0.14922508243787194
87314085	135473442	chr10q	chr10q1	chr10	48159358	0	1.0	1.0	0.0	556.0	170.0	15777.0	17421.0	2.762454087266217	0.5231110941117043	1.3854608395781134	0.1868912776175591
241489	25818210	chr11p	chr11p0	chr11	25576722	0	2.0	1.0	1.0	724.0	120.0	9649.0	12262.0	3.475772076434308	0.615552827154624	1.6593051679972164	0.2489143987043777
25818211	51394932	chr11p	chr11p1	chr11	25576722	0	0.0	0.0	0.0	606.0	314.0	6201.0	9024.0	2.3925659013076577	0.2852691332010195	0.8188691778978016	0.11170711307977191
51592477	93268623	chr11q	chr11q0	chr11	41676147	0	3.0	2.0	1.0	1906.0	548.0	9554.0	14174.0	1.8682658887626327	0.2648719425995485	0.7908094230950288	0.32846311382909826
93268624	134944770	chr11q	chr11q1	chr11	41676147	0	0.0	0.0	0.0	442.0	74.0	14616.0	14931.0	2.8758596448498794	0.5339659253144464	1.4340631313964805	0.19033302591688955
191619	17223292	chr12p	chr12p0	chr12	17031674	0	0.0	0.0	0.0	742.0	160.0	6177.0	7696.0	3.4003373142051814	0.7042250787448024	1.990041812733863	0.2672721526123705
17223293	34254966	chr12p	chr12p1	chr12	17031674	0	0.0	0.0	0.0	226.0	68.0	6025.0	7261.0	2.391676786409095	0.41706384471284946	1.0934675857534277	0.13141085870355926
34810203	84277178	chr12q	chr12q0	chr12	49466976	0	7.0	6.0	1.0	730.0	80.0	12274.0	15140.0	2.0705966256802117	0.2916723993606341	0.7909702476130691	0.1100558321124795
84277179	133744154	chr12q	chr12q1	chr12	49466976	0	0.0	0.0	0.0	456.0	110.0	17314.0	18277.0	2.981981157932393	0.6220734456847404	1.4354684945193699	0.19755703615626863
19260565	67167721	chr13q	chr13q0	chr13	47907157	0	1.0	0.0	1.0	1590.0	388.0	15081.0	19167.0	3.0579026934618865	0.48233956468565764	1.2628218722216478	0.1707716737198941
67167722	115074878	chr13q	chr13q1	chr13	47907157	0	2.0	1.0	1.0	2244.0	1808.0	16331.0	18282.0	2.711490287122942	0.5081650466015754	1.349485763865785	0.18368284333218549
19035752	63160594	chr14q	chr14q0	chr14	44124843	0	4.0	2.0	2.0	1198.0	104.0	13037.0	17060.0	3.002766720303756	0.4743694885943728	1.2581497533028176	0.18360739866705175
63160595	107285437	chr14q	chr14q1	chr14	44124843	0	2.0	1.0	1.0	752.0	196.0	13989.0	16669.0	2.792460549463111	0.5490181739696443	1.369961470165184	0.18530768410911344
20161372	61280001	chr15q	chr15q0	chr15	41118630	0	0.0	0.0	0.0	3592.0	2058.0	11915.0	13487.0	3.3445689365086078	0.579831394510714	1.2763210820408093	0.2320057793981453
61280002	102398631	chr15q	chr15q1	chr15	41118630	0	0.0	0.0	0.0	3198.0	2202.0	13520.0	14762.0	3.2066927005818964	0.6386593613494106	1.6050685445330395	0.22448506394920673
143503	17643147	chr16p	chr16p0	chr16	17499645	0	0.0	0.0	0.0	1164.0	822.0	6759.0	8343.0	3.577471549804768	0.7642388830864197	2.008994494163889	0.31162270832601
17643148	35142792	chr16p	chr16p1	chr16	17499645	0	3.0	1.0	2.0	3952.0	1848.0	3802.0	5007.0	3.4268257310171415	0.5715596552446575	1.1697598980496766	0.17672513146361696
35285130	62713242	chr16q	chr16q0	chr16	27428113	0	1.0	1.0	0.0	500.0	70.0	5264.0	5720.0	2.588525809144428	0.5993061135017482	1.3836024014375738	0.1458956502556548
62713243	90141355	chr16q	chr16q1	chr16	27428113	0	2.0	2.0	0.0	444.0	306.0	10538.0	11289.0	3.2344332889522063	0.7466484584400744	1.7171820872616683	0.2796616855260315
6888	11124621	chr17p	chr17p0	chr17	11117734	0	2.0	2.0	0.0	252.0	124.0	4053.0	5552.0	4.015387661682939	0.9064193464805476	2.6981206919823397	0.36585991494498
11124622	22242355	chr17p	chr17p1	chr17	11117734	0	1.0	0.0	1.0	902.0	526.0	3378.0	4000.0	3.662125585809751	0.7618303780825	1.5732525912645954	0.22722398830058427
22262800	51656890	chr17q	chr17q0	chr17	29394091	0	2.0	0.0	2.0	1830.0	1134.0	6500.0	7516.0	2.362335020058644	0.4318093874157797	0.9958778488613735	0.3683631723766279
