pos	val	Chromosome	valScaled	Type
134946450.0	6.433238790862838e-09	chr11	2.3216309841094734e-08	Minima
147774.0	6.775819478664947e-09	chr11	2.4452617034430295e-08	Minima
55167641.75510204	2.917365889372017e-09	chr11	1.0528207114540748e-08	Minima
123942476.44897959	9.952232911577562e-09	chr11	3.5915676441871305e-08	Maxima
11151747.551020408	1.0393646113437448e-08	chr11	3.750865099100262e-08	Maxima
43080602.428571425	6.7847459685496254e-09	chr17	2.4484831003426824e-08	Minima
81190321.0	9.929829998262657e-09	chr17	3.583482867704082e-08	Minima
51.0	1.0981134418585874e-08	chr17	3.962878222874207e-08	Minima
24854215.285714284	6.12173878923095e-09	chr17	2.2092166810113372e-08	Minima
34795881.0	9.294527151929876e-09	chr17	3.354214404292777e-08	Maxima
74562543.85714285	1.7340652424497574e-08	chr17	6.257904806917182e-08	Maxima
8284772.428571428	1.8512374883588964e-08	chr17	6.680756694471423e-08	Maxima
188204734.48979592	3.0939712555575687e-09	chr1	1.1165541594769772e-08	Minima
11007.0	4.2167115236633705e-09	chr1	1.5217293252494583e-08	Minima
249240538.0	3.4525405343907188e-09	chr1	1.2459548509096014e-08	Minima
132255247.93877551	1.809141526671234e-09	chr1	6.528840541290896e-09	Minima
162773149.69387755	3.812309936677054e-09	chr1	1.3757886435971688e-08	Maxima
15269957.87755102	5.9656414531798925e-09	chr1	2.152884182919116e-08	Maxima
233981587.12244898	5.252005418732048e-09	chr1	1.8953467926850878e-08	Maxima
191043880.0	5.00078271559392e-09	chr4	1.804685396384114e-08	Minima
10455.0	5.205320109427001e-09	chr4	1.8784989709099543e-08	Minima
101375129.48979591	3.4862239239055354e-09	chr4	1.2581105322529545e-08	Minima
179347956.02040815	6.891874072904752e-09	chr4	2.4871435534091878e-08	Maxima
11706378.979591835	7.519652517875372e-09	chr4	2.713696606448336e-08	Maxima
146303787.0	4.487555472430243e-09	chr8	1.619471648169108e-08	Minima
11739.0	9.22643566261575e-09	chr8	3.3296415077339924e-08	Minima
47780571.0	3.2297750474938794e-09	chr8	1.1655631114789918e-08	Minima
131376027.0	8.275081842778909e-09	chr8	2.986316383828887e-08	Maxima
8968395.0	1.3564343941495966e-08	chr8	4.8951083890158177e-08	Maxima
