Start	End	chromID	Chromosome	winID
147774	10436715	chr11p	chr11	chr11p0
10436715	20725656	chr11p	chr11	chr11p1
20725656	31014597	chr11p	chr11	chr11p2
31014597	41303538	chr11p	chr11	chr11p3
41303538	51592479	chr11p	chr11	chr11p4
54695472	70745668	chr11q	chr11	chr11q0
70745668	86795864	chr11q	chr11	chr11q1
86795864	102846060	chr11q	chr11	chr11q2
102846060	118896256	chr11q	chr11	chr11q3
118896256	134946452	chr11q	chr11	chr11q4
51	4452601	chr17p	chr17	chr17p0
4452601	8905151	chr17p	chr17	chr17p1
8905151	13357701	chr17p	chr17	chr17p2
13357701	17810251	chr17p	chr17	chr17p3
17810251	22262801	chr17p	chr17	chr17p4
25264112	36449354	chr17q	chr17	chr17q0
36449354	47634596	chr17q	chr17	chr17q1
47634596	58819838	chr17q	chr17	chr17q2
58819838	70005080	chr17q	chr17	chr17q3
70005080	81190322	chr17q	chr17	chr17q4
11007	24305834	chr1p	chr1	chr1p0
24305834	48600661	chr1p	chr1	chr1p1
48600661	72895488	chr1p	chr1	chr1p2
72895488	97190315	chr1p	chr1	chr1p3
97190315	121485142	chr1p	chr1	chr1p4
142535438	163876458	chr1q	chr1	chr1q0
163876458	185217478	chr1q	chr1	chr1q1
185217478	206558498	chr1q	chr1	chr1q2
206558498	227899518	chr1q	chr1	chr1q3
227899518	249240538	chr1q	chr1	chr1q4
10455	9940241	chr4p	chr4	chr4p0
9940241	19870027	chr4p	chr4	chr4p1
19870027	29799813	chr4p	chr4	chr4p2
29799813	39729599	chr4p	chr4	chr4p3
39729599	49659385	chr4p	chr4	chr4p4
52662544	80338812	chr4q	chr4	chr4q0
80338812	108015080	chr4q	chr4	chr4q1
108015080	135691348	chr4q	chr4	chr4q2
135691348	163367616	chr4q	chr4	chr4q3
163367616	191043884	chr4q	chr4	chr4q4
11739	8777088	chr8p	chr8	chr8p0
8777088	17542437	chr8p	chr8	chr8p1
17542437	26307786	chr8p	chr8	chr8p2
26307786	35073135	chr8p	chr8	chr8p3
35073135	43838484	chr8p	chr8	chr8p4
46839507	66732363	chr8q	chr8	chr8q0
66732363	86625219	chr8q	chr8	chr8q1
86625219	106518075	chr8q	chr8	chr8q2
106518075	126410931	chr8q	chr8	chr8q3
126410931	146303787	chr8q	chr8	chr8q4
