pos	val	Chromosome	valScaled
158946.0	7.157095472850473e-09	chr10	1.966078424135105e-06
2920466.326530612	9.988735572786482e-09	chr10	2.743939572769844e-06
5681986.653061224	1.1964884674969271e-08	chr10	3.2867944400010827e-06
8443506.979591835	1.2674420941262993e-08	chr10	3.481706461168501e-06
11205027.306122448	1.2238000968969319e-08	chr10	3.3618204131699686e-06
13966547.632653061	1.1041337650084945e-08	chr10	3.033092936900123e-06
16728067.959183672	9.517800248221804e-09	chr10	2.6145720403257203e-06
19489588.285714284	8.106824886053546e-09	chr10	2.226972318194253e-06
22251108.612244897	7.156512936359122e-09	chr10	1.965918399383268e-06
25012628.93877551	6.725878226276737e-09	chr10	1.84762158255466e-06
27774149.265306123	6.528692028827159e-09	chr10	1.7934538646845424e-06
30535669.591836732	6.148026424940885e-09	chr10	1.68888373096896e-06
33297189.918367345	5.352378853589827e-09	chr10	1.470316641961582e-06
36058710.244897954	4.253433708228591e-09	chr10	1.1684326797036031e-06
38820230.57142857	3.203151789982393e-09	chr10	8.799166711417287e-07
41581750.89795918	2.542588943952209e-09	chr10	6.984578147813871e-07
44343271.22448979	2.413150964300139e-09	chr10	6.629007623398024e-07
47104791.551020406	2.742974401939921e-09	chr10	7.535043803825533e-07
49866311.87755102	3.334008472826887e-09	chr10	9.158634461666516e-07
52627832.20408163	3.94678211858774e-09	chr10	1.0841944469726527e-06
55389352.530612245	4.392482340999126e-09	chr10	1.2066298111841971e-06
58150872.85714285	4.631532863850944e-09	chr10	1.2722978013682082e-06
60912393.183673464	4.788408108128885e-09	chr10	1.3153919635497482e-06
63673913.51020408	5.0484799807497e-09	chr10	1.3868345898810346e-06
66435433.83673469	5.512055475673893e-09	chr10	1.5141803521369088e-06
69196954.1632653	6.106926094480201e-09	chr10	1.677593330659211e-06
71958474.48979591	6.645431774070537e-09	chr10	1.8255226690246113e-06
74719994.81632653	6.987369627062514e-09	chr10	1.9194541580920415e-06
77481515.14285713	7.110684373392871e-09	chr10	1.9533291375522843e-06
80243035.46938775	7.031932103126831e-09	chr10	1.931695621552804e-06
83004555.79591836	6.7705853827456445e-09	chr10	1.8599027902137417e-06
85766076.12244898	6.41420171028101e-09	chr10	1.7620029854948186e-06
88527596.44897959	6.101646154821571e-09	chr10	1.6761429133100298e-06
91289116.77551019	5.897555272719024e-09	chr10	1.6200784551249124e-06
94050637.10204081	5.742472263111186e-09	chr10	1.5774766258917372e-06
96812157.42857142	5.537276735169974e-09	chr10	1.5211087177445577e-06
99573677.75510204	5.251861942015518e-09	chr10	1.4427043051055755e-06
102335198.08163264	4.978431699744061e-09	chr10	1.3675920892807053e-06
105096718.40816326	4.9072873360217704e-09	chr10	1.3480484910370023e-06
107858238.73469387	5.22411317197299e-09	chr10	1.4350816237701297e-06
110619759.06122449	5.9911841877365235e-09	chr10	1.6457986359425884e-06
113381279.3877551	7.108065273664883e-09	chr10	1.9526096619653808e-06
116142799.7142857	8.381708716490898e-09	chr10	2.302483839623105e-06
118904320.04081632	9.642789021754535e-09	chr10	2.6489068807416385e-06
121665840.36734693	1.0796400517067591e-08	chr10	2.9658078749190875e-06
124427360.69387755	1.1729751717637448e-08	chr10	3.2222026183652226e-06
127188881.02040815	1.2152049148494796e-08	chr10	3.338209156286345e-06
129950401.34693877	1.1614962138273968e-08	chr10	3.1906695312130126e-06
132711921.67346938	9.858675895120688e-09	chr10	2.7082117377732766e-06
135473442.0	7.188404673290475e-09	chr10	1.9746791677881017e-06
241489.0	6.2269071581774714e-09	chr11	1.7105525361825703e-06
2990535.551020408	8.355314331418934e-09	chr11	2.2952332124370972e-06
5739582.102040816	9.79172871866291e-09	chr11	2.6898211211202362e-06
8488628.653061224	1.0383227601285074e-08	chr11	2.8523078722659903e-06
11237675.204081632	1.0376098873214482e-08	chr11	2.850349586463561e-06
13986721.75510204	1.0142463291147212e-08	chr11	2.786169098896338e-06
16735768.306122448	9.871810807120993e-09	chr11	2.7118199426916923e-06
19484814.85714286	9.477273024597784e-09	chr11	2.603439074409653e-06
22233861.408163264	8.811973887866183e-09	chr11	2.42067914291432e-06
24982907.95918367	7.96751924899507e-09	chr11	2.188704586763253e-06
27731954.51020408	7.269780996039282e-09	chr11	1.9970335199130374e-06
30481001.06122449	6.9430684191590945e-09	chr11	1.9072844658820605e-06
33230047.612244897	6.861452686982911e-09	chr11	1.8848643471746492e-06
35979094.1632653	6.6947760402717285e-09	chr11	1.8390777064697527e-06
38728140.71428572	6.2283756419576375e-09	chr11	1.7109559336623621e-06
41477187.26530612	5.457547057811543e-09	chr11	1.4992067046985821e-06
44226233.81632653	4.466613923887116e-09	chr11	1.2269940086740783e-06
46975280.367346935	3.3906222402637694e-09	chr11	9.314154402805887e-07
49724326.91836734	2.482416562075985e-09	chr11	6.819282571997632e-07
52473373.469387755	2.049392235912402e-09	chr11	5.629750047211022e-07
55222420.02040816	2.2389895627442404e-09	chr11	6.15058034068943e-07
57971466.57142857	2.915319408971175e-09	chr11	8.008481389109845e-07
60720513.12244898	3.7738207889953615e-09	chr11	1.036681382544317e-06
63469559.67346939	4.5703468904859e-09	chr11	1.255489806763547e-06
66218606.22448979	5.23206892843408e-09	chr11	1.437267097079122e-06
68967652.7755102	5.7789529053712385e-09	chr11	1.5874979821693159e-06
71716699.3265306	6.2010106844102e-09	chr11	1.703438686922329e-06
74465745.87755102	6.424962628447876e-09	chr11	1.7649590462476779e-06
77214792.42857143	6.3625438015334545e-09	chr11	1.747812382587567e-06
79963838.97959183	5.997833090082682e-09	chr11	1.647625111989548e-06
82712885.53061225	5.46284768564719e-09	chr11	1.5006628051602243e-06
85461932.08163264	5.006859915746526e-09	chr11	1.3754014167280083e-06
88210978.63265306	4.842362248444681e-09	chr11	1.3302133490643106e-06
90960025.18367347	4.997805126718306e-09	chr11	1.3729140354417016e-06
93709071.73469387	5.309320101145947e-09	chr11	1.4584882564843695e-06
96458118.28571428	5.5569492174960165e-09	chr11	1.5265128154259607e-06
99207164.83673468	5.639577885123758e-09	chr11	1.5492111909407466e-06
101956211.3877551	5.65551348118782e-09	chr11	1.553588753279566e-06
104705257.93877551	5.8297157080604394e-09	chr11	1.601442696403527e-06
