pos	val	Chromosome	valScaled	Type
105096718.40816326	5.061971232494152e-09	chr10	1.3903906436283372e-06	Minima
135473442.0	7.072643942931707e-09	chr10	1.9426696660861038e-06	Minima
158946.0	7.128100580472403e-09	chr10	1.9579021489316614e-06	Minima
44343271.22448979	2.424354491276453e-09	chr10	6.659065503713354e-07	Minima
77481515.14285713	7.137890627078719e-09	chr10	1.9605912177898025e-06	Maxima
127188881.02040815	1.212995213087737e-08	chr10	3.331779493760881e-06	Maxima
8443506.979591835	1.2633618759716695e-08	chr10	3.47012349772334e-06	Maxima
101956211.3877551	5.6010351811216155e-09	chr11	1.5384573623164385e-06	Minima
88210978.63265306	4.8400386232769374e-09	chr11	1.3294315806074284e-06	Minima
134944770.0	7.593672730507857e-09	chr11	2.085782599375128e-06	Minima
241489.0	6.222927806446365e-09	chr11	1.7092749446137108e-06	Minima
52473373.469387755	2.185130615394659e-09	chr11	6.001980302155095e-07	Minima
99207164.83673468	5.622858549176554e-09	chr11	1.544451668756045e-06	Maxima
74465745.87755102	6.490084043142265e-09	chr11	1.7826557511865514e-06	Maxima
126697630.34693877	1.1782729631236011e-08	chr11	3.236406586135581e-06	Maxima
11237675.204081632	1.0414579384602762e-08	chr11	2.8606116211651103e-06	Maxima
106488534.61224489	7.043406764227686e-09	chr12	1.93463898044032e-06	Minima
60153981.65306122	5.4142384246361076e-09	chr12	1.487149195883102e-06	Minima
84684039.10204081	4.367130333924438e-09	chr12	1.1995360852341725e-06	Minima
191619.0	7.152783916753984e-09	chr12	1.9646820135818467e-06	Minima
133744154.0	8.478768748047853e-09	chr12	2.328895245610763e-06	Minima
38349486.14285714	2.6488843038252444e-09	chr12	7.275789969825429e-07	Minima
98311848.79591836	7.163505200874246e-09	chr12	1.9676268689442796e-06	Maxima
54702857.7755102	5.539867428717957e-09	chr12	1.5216561861090585e-06	Maxima
68330667.46938775	6.107329857347329e-09	chr12	1.6775232219215353e-06	Maxima
8368304.816326531	1.1231814280223736e-08	chr12	3.0850845982582876e-06	Maxima
128293030.12244897	1.2787603581040151e-08	chr12	3.5124190867331223e-06	Maxima
85743965.85714287	4.959694720830157e-09	chr13	1.3622979701718555e-06	Minima
19260565.0	8.212766873132623e-09	chr13	2.255831511922277e-06	Minima
115074878.0	9.316805245164425e-09	chr13	2.5590818766864652e-06	Minima
58368447.85714286	4.069188268124169e-09	chr13	1.1176992193956683e-06	Minima
74011601.0	8.76756753470351e-09	chr13	2.4082206926381243e-06	Maxima
27082141.57142857	1.6958247905230356e-08	chr13	4.6579856219657755e-06	Maxima
107253301.42857143	1.8546509293941985e-08	chr13	5.094239340739424e-06	Maxima
29841835.87755102	1.4043973106971744e-08	chr14	3.857510821467131e-06	Minima
82071241.28571428	8.417900451116524e-09	chr14	2.312176321962275e-06	Minima
65862115.469387755	7.084175197183415e-09	chr14	1.9458369989855786e-06	Minima
19035752.0	8.946014753158879e-09	chr14	2.457235460112336e-06	Minima
107285437.0	6.090440642905678e-09	chr14	1.6728841979801974e-06	Minima
44249947.71428572	5.255707598390378e-09	chr14	1.4436049386333178e-06	Minima
31642849.85714286	1.416229910325175e-08	chr14	3.890011867120972e-06	Maxima
76668199.34693877	9.59968503355348e-09	chr14	2.636781530237027e-06	Maxima
55056031.591836736	9.529450503521991e-09	chr14	2.617489948177344e-06	Maxima
24438793.93877551	1.6030785165122542e-08	chr14	4.403235948976343e-06	Maxima
96479353.12244898	1.9235770144847538e-08	chr14	5.2835612064913534e-06	Maxima
82258894.10204083	7.858164039819025e-09	chr15	2.1584314203377197e-06	Minima
65475780.02040816	1.0550954355887872e-08	chr15	2.89807024654858e-06	Minima
